province	city	school_url	school_grades	school_board	school_language	response_url	school_name	school_type	postal_code	phone_number	street_address
Québec	aile C Repentigny	www.centrelacroisee.com		Commission scolaire des Affluents	French	https://www.csaffluents.qc.ca/spip.php?article152	Centre la Croisée 	Formation générale des adultes	J5Y 1A2	450 492-3799	777, boulevard Iberville
Québec	" 
Mascouche"	limpactmas.csaffluents.qc.ca 	secondaire	Commission scolaire des Affluents	French	https://www.csaffluents.qc.ca/spip.php?article98	l’Impact	école secondaire	J7K 1X9	450492-3738	815, rue Bombardier, locaux 11 à 19
Québec	"
Repentigny"	www.cfpriverains.qc.ca		Commission scolaire des Affluents	French	https://www.csaffluents.qc.ca/spip.php?article157	CFP des Riverains à Repentigny	Formation professionnelle	J5Y 1N9	450492-3538	120, rue Valmont
Québec	" 
Terrebonne"			Commission scolaire des Affluents	French	https://www.csaffluents.qc.ca/spip.php?article158	CFP des Moulins à Terrebonne	Formation professionnelle	J6X 4J9	450492-3551	2525, boulevard des Entreprises 
Québec	" 
Mascouche"	http://leprelude.csaffluents.qc.ca	secondaire	Commission scolaire des Affluents	French	https://www.csaffluents.qc.ca/spip.php?article100	Le Prélude	école secondaire	J7K 1X6	450 492-3607	2995, avenue des Ancêtres
Québec	" 
L’Assomption"	http://paularseneau.csaffluents.qc.ca/	secondaire	Commission scolaire des Affluents	French	https://www.csaffluents.qc.ca/spip.php?article101	Paul-Arseneau	école secondaire	J5W 3L1	450492-3558	170, boulevard Hector-Papin
Québec	" 
Repentigny"	www.eshorizon.ca	secondaire	Commission scolaire des Affluents	French	https://www.csaffluents.qc.ca/spip.php?article97	l’Horizon	école secondaire	J5Z 4M6	450492-3571	239, boulevard J.-A. Paré
Québec	"
Repentigny"		secondaire	Commission scolaire des Affluents	French	https://www.csaffluents.qc.ca/spip.php?article96	l’Envolée	école secondaire	J6A 2P1	450492-3745	129, rue Notre-Dame
Québec	"
Repentigny"	jean-claude-crevier.csaffluents.qc.ca	secondaire	Commission scolaire des Affluents	French	https://www.csaffluents.qc.ca/spip.php?article2586	Jean-Claude-Crevier	école secondaire	J5Z 1S6	450 492-3729	391, rue du Village
Québec	"
Mascouche"	coteau.csaffluents.qc.ca	secondaire	Commission scolaire des Affluents	French	https://www.csaffluents.qc.ca/spip.php?article93	du Coteau	école secondaire	J7L 4C9	450492-3510	2121, rue de l’Alizé
