province	city	school_url/0	school_grades	school_board	school_language	response_url	school_name/0	school_type	postal_code	phone_number/0	street_address/0
Québec	La Prairie Québec	http://ceag.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	Centre d’éducation des adultes du Goéland – Édifice du Goéland		J5R 4V1	: 514 380-8899, poste 4903	397, rue Conrad-Pelletier
Québec	La Prairie Québec	http://ceag.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	Centre d’éducation des adultes du Goéland – Édifice l’Envol		J5R 3G5	: 514 380-8899, poste 4861	275, rue Léon-Bloy Ouest
Québec	Saint-Rémi Québec	http://ceag.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	Centre d’éducation des adultes du Goéland – Édifice Maison de l’Éducation des adultes		J0L 2L0	: 514 380-8899, poste 8241	58, rue Saint-Viateur
Québec	Sainte-Catherine Québec	http://ceag.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	Centre d’éducation des adultes du Goéland – Édifice Sainte-Catherine		J5C 1L9	: 514 380-8899, poste 4241	5405, boul. Marie-Victorin
Québec	Châteauguay Québec	http://laccore.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	Centre d’éducation des adultes l’Accore		J6J 1K3	: 514 380-8899, poste 4871	25, rue d’Abbotsford
Québec	La Prairie Québec	http://www.competence-rs.com/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	Centre de formation Compétence-de-la-Rive-Sud		J5R 4V1	: 514 380-8899, poste 4851	399, rue Conrad-Pelletier
Québec	Mercier Québec	http://bonnier.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Bonnier		J6R 2K8	: 514 380-8899, poste 4551	14, rue Marleau
Québec	Napierville Québec	http://daigneau.csdgs.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École Daigneau		J0J 1L0	: 514 380-8899, poste 4771	285, rue de l'Église
Québec	Châteauguay Québec	http://efpc.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École de formation professionnelle de Châteauguay		J6K 3X4	: 514 380-8899, poste 4881	225, boulevard Brisebois
Québec	Châteauguay Québec	http://efpc.qc.ca/		Commission scolaire des Grandes-Seigneuries	French	http://www.csdgs.qc.ca/ecoles-centres-et-programmes/carte-des-etablissements/?filter=0&program_id=0&city=0&loade_carte=1	École de formation professionnelle de Châteauguay – point de service des métiers de la construction		J6J 4Z2	: 514 380-8899, poste 7621	226, boulevard Industriel
