province	city	school_url	school_grades	school_board	school_language	response_url	school_name	school_type	postal_code	phone_number	street_address
QC	Chomedey	www.cslaval.qc.ca/saintmaxime	secondaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article108	Saint-Maxime	école secondaire	H7V 1E8	450 662-7000, poste 4100 	3680  boul. Lévesque Ouest
QC	Duvernay	www.cslaval.qc.ca/leblanc	secondaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article114	Leblanc	école secondaire	H7E 4P2	450 662-7000, poste 4899 	1750  montée Masson
QC	Laval (Chomedey)	www.cslaval.qc.ca/alphonsedesjardins	secondaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article103	Alphonse-Desjardins	école secondaire	H7V 1E8	 450 662-7000, 	3680  boul. Lévesque Ouest
QC	Laval-des-Rapides	www2.cslaval.qc.ca/mdls/	secondaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article109	Mont-de-La Salle	école secondaire	H7N 2T6	450 662-7000, poste 4400	125  boul. des Prairies
QC	Laval	www2.cslaval.qc.ca/odyssee/	secondaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article112	L’Odyssée-des-Jeunes	école secondaire	H7K 2S4	450 662-7000, poste 3899	4600  rue Cyrille-Delage
QC	Fabreville	www.cslaval.qc.ca/polyjeunesse	secondaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article110	Poly-Jeunesse	école secondaire	H7P 4K6	 450 662-7000, 	3578  boul. Sainte-Rose
QC	Chomedey	www.cslaval.qc.ca/saintmartin	secondaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article107	Saint-Martin	école secondaire	H7T 1B7	450 662-7000, poste 4200 	4055  boul. Saint-Martin Ouest
QC	Auteuil	www.cslaval.qc.ca/horizonjeunesse	secondaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article113	Horizon Jeunesse	école secondaire	H7H 1P2	 450 662-7000, poste 3700 	155  boul. Sainte-Rose Est
QC	 Saint-Vincent-de-Paul	www.cslaval.qc.ca/georgesvanier	secondaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article115	Georges-Vanier	école secondaire	H7E 2R3	450 662-7000, poste 4700 	3995  boul. Lévesque Est
QC	Chomedey	www.cslaval.qc.ca/eeil/	secondaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article102	École d’éducation internationale de Laval	école secondaire	H7W 1E1	450 662-7000, 	5075  chemin du Souvenir Ouest
QC	Laval 	www.secondairelaval.com	secondaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article1717	Centre de qualification professionnelle et d’entrepreneuriat de Laval	école secondaire	H7N 1B3	450 662-7000	705, chemin du Trait-Carré
QC	Sainte-Rose	www2.cslaval.qc.ca/cureantoinelabelle	secondaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article111	Curé-Antoine-Labelle	école secondaire	H7L 1Z5	 450 662-7000, poste 3599	216  boul. Marc-Aurèle-Fortin
QC	 Laval			Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article1718	Centre de qualification professionnelle et d’entrepreneuriat de Laval	Centre d’éducation d'adultes	H7G 2C8	450 662-7000, poste 4500	200  boulevard de la Concorde Est
QC	Duvernay	http://www2.cslaval.qc.ca/valdesarbres	primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article100	Val-des-Arbres	école primaire	H7E 1H6	450 662-7000, poste 6870	3145  avenue du Saguenay
QC	Chomedey		primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article99	Simon-Vanier	école primaire	H7S 1J7	450 662-7000, poste 6840 	1755  avenue Dumouchel
QC	Laval-des-Rapides	www.cslaval.qc.ca/saintemarguerite	primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article98	Sainte-Marguerite	école primaire	H7N 3K1	450 662-7000, poste 6810	40  avenue Dussault
QC	Auteuil		primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article96	Sainte-Béatrice	école primaire	H7K 2L7	450 662-7000, poste 6720 	5409  rue de Prince-Rupert
QC	Chomedey	www2.cslaval.qc.ca/saintpaul/	primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article95	Saint-Paul	école primaire	H7W 3N3	450 662-7000, poste 6690 	280, 92e avenue
QC	Pont-Viau	www2.cslaval.qc.ca/saintjulien/	primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article93	Saint-Julien	école primaire	H7G 3R9	450 662-7000, poste 6630 	525  avenue de la Sorbonne
QC	Sainte-Dorothée	www2.cslaval.qc.ca/sainte-dorothee	primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article97	Sainte-Dorothée	école primaire	H7X 2B8	450 662-7000, poste 6780 	956, montée Gravel
QC	Chomedey 	www.cslaval.qc.ca/saintnorbert	primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article94	Saint-Norbert	école primaire	H7V 2L2	450 662-7000, poste 6660	475, 66e avenue
QC	 Sainte-Dorothée	www.cslaval.qc.ca/st-francois	primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article91	Saint-François	école primaire	H7X 1P7	 450 662-7000, poste 6540 	530, rue Huberdeau
QC	 Sainte-Dorothée	www.cslaval.qc.ca/pierrelaporte	primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article89	Pierre-Laporte 	école primaire	H7X 2N4	450 662-7000, poste 6420	805, rue Lauzon,
QC	Fabreville	www2.cslaval.qc.ca/pepin	primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article87	Pépin	école primaire	Fabreville	 450 662-7000, 	3220  rue Esther
QC	 Duvernay Est	www.cslaval.qc.ca/notredamedusourire	primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article84	Notre-Dame-du-Sourire	école primaire	H7A 2W7	450 662-7000, 	240  rue des Sapins
QC	Vimont	www.cslaval.qc.ca/paulcomtois	primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article85	Paul-Comtois	école primaire	H7M 2E9	450 662-7000, poste 6270 	1701  rue de Lucerne
QC	Vimont	www2.cslaval.qc.ca/perevimont	primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article88	Père-Vimont	école primaire	H7K 2C1	450 662-7000, poste 6390 	2255  boulevard Prudentiel
QC	 Laval-des-Rapides	www2.cslaval.qc.ca/marcel-vaillancourt/	primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article83	Marcel-Vaillancourt	école primaire	H7N 3T3	450 662-7000, poste 5990	150  avenue Legrand
QC	Sainte-Dorothée	www2.cslaval.qc.ca/paul-vi	primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article86	Paul-VI	école primaire	H7X 1J6	450 662-7000, poste 6300 	510  boul. Samson
QC	Fabreville	www.cslaval.qc.ca/marcaurelefortin	primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article82	Marc-Aurèle-Fortin	école primaire	H7P 1K2	 450 662-7000, poste 5960 	3225  rue Christiane
QC	Laval-des-Rapides	www2.cslaval.qc.ca/ecoleleonguilbault	primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article78	Léon-Guilbault	école primaire	H7N 2H7	450 662-7000, poste 5870 	133, boul. Cartier Ouest
QC	Vimont		primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article76	Le Sentier	école primaire	H7M 2X1	450 662-7000, poste 5780 	1865  rue André
QC	Fabreville	www.cslaval.qc.ca/lepetitprince	primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article75	Le Petit-Prince	école primaire	H7P 3B8	450 662-7000, poste 5750 	700  rue Fleury
QC	Fabreville	www2.cslaval.qc.ca/lasource/	primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article73	La Source	école primaire	H7R 1N7	450 662-7000, poste 5660	4525  boul. Frenette
QC	Chomedey	www2.cslaval.qc.ca/lharmonie/	primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article71	L’Harmonie	école primaire	H7W 3J7	450 662-7000, poste 5600 	1125  boul. Élisabeth
QC	Fabreville 	www2.cslaval.qc.ca/loree-des-bois	primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article72	L’Orée-des-Bois	école primaire	H7R 2V2	450 662-7000, poste 5630	4185, rue Séguin
QC	Sainte-Rose	www.cslaval.qc.ca/lebaluchon/	primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article74	Le Baluchon	école primaire	H7L 1W1	450 662-7000, poste 5720	216  boul. Je-Me-Souviens
QC	Saint-François		primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article70	L’Escale	école primaire	H7A 1G3	:450 662-7000, poste 5570 	8050  rue Mylène
QC	Sainte-Rose	www2.cslaval.qc.ca/lenvolee/	primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article69	L’Envolée	école primaire	H7L 4M4	450 662-7000, poste 5540 	2589  boul. des Oiseaux
QC	Sainte-Rose	 www2.cslaval.qc.ca/aquarelle	primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article67	L’Aquarelle	école primaire	H7L 5M6	450 662-7000, poste 5480 	707  avenue Marc-Aurèle-Fortin
QC	Saint-Vincent-de-Paul	www.cslaval.qc.ca/lenvol	primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article68	L’Envol (école alternative)	école primaire	H7E 2E1	450 662-7000, 	3661  boul. de la Concorde Est
QC	Duvernay	http://www.cslaval.qc.ca/jjeanjoubert/	primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article64	J.-Jean-Joubert	école primaire	H7G 2P8	450 662-7000, poste 5360 	1775  rue Rochefort
QC	Sainte-Dorothée	http://www2.cslaval.qc.ca/jeanlemonde	primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article65	Jean-Lemonde	école primaire	H7X 1H3	 450 662-7000, poste 5390 	400  boul. Sainte-Dorothée
QC	Saint-Vincent-de-Paul	www.cslaval.qc.ca/jeanxxiii	primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article66	Jean-XXIII	école primaire	H7C 1C6	450 662-7000, poste 5450 	4561  rue de la Fabrique
QC	Saint-François	www2.cslaval.qc.ca/hebert/	primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article61	Hébert	école primaire	H7B 1B3	 450 662-7000, poste 5330 	50  rue Paré
QC	Saint-François	www.cslaval.qc.ca/fleursoleil	primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article58	Fleur-Soleil	école primaire	H7A 1L1	450 662-7000, poste 5300 	8585  rue de l’Église
QC	Laval	www2.cslaval.qc.ca/delequinoxe	primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article1905	De l’Équinoxe	école primaire	H7L 0H3	450 662-7000, poste 6930	2949, boulevard de la Renaissance
QC	Laval-Ouest	www2.cslaval.qc.ca/fleurdevie	primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article54	Fleur-de-Vie	école primaire	H7R 1K7	 450 662-7000, poste 5270	3600, rue Duhamel
QC	H7W	 www2.cslaval.qc.ca/delavenir	primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article1904	De l’Avenir	école primaire	H7W 1E1	450 662-7000, poste 6960 	5055  chemin du Souvenir
QC	Sainte-Rose	http://www.cslaval.qc.ca/duparc/	primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article53	Du Parc	école primaire	H7L 1C1	450 662-7000, poste 5240 	5  rue du Ruisseau
QC	Saint-Vincent-de-Paul	www2.cslaval.qc.ca/duboisjoli	primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article50	Du Bois-Joli	école primaire	H7E 3A9	450 662-7000, poste 6330 	955  rue Miville-Déchêne
QC	Sainte-Rose	www2.cslaval.qc.ca/descardinaux	primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article47	Des Cardinaux	école primaire	H7L 6B7	450 662-7000, poste 6900 	6060  rue des Cardinaux
QC	Duvernay	www.cslaval.qc.ca/desormeaux	primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article49	Des Ormeaux	école primaire	H7E 1S8	450 662-7000, poste 5210 	2825  rue Dollard
QC	Fabreville	http://www2.cslaval.qc.ca/descedres/	primaire	Commission scolaire de Laval	French	http://www2.cslaval.qc.ca/spip.php?article48	Des Cèdres	école primaire	H7P 1C6	450 662-7000, poste 5180 	3785  boul. Sainte-Rose
