province	city	school_url	school_grades	school_board	school_language	response_url	school_name	school_type	postal_code	phone_number	street_address
Québec	Montreal	http://www3.csmb.qc.ca/ecoles/Default.aspx?alias=www3.csmb.qc.ca/ecoles/academie-saint-clement	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/academie-saint-clement.aspx	Académie Saint-Clément	École primaire	Régent Mont-Royal	514739-5070	"1345, ch. Régent
Mont-Royal "
Québec	Montreal	http://levissauve.ecoleverdun.com/	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/levis-sauve.aspx	Lévis-Sauvé	École primaire	Willibrord Verdun	514765-7585	"655, rue Willibrord
Verdun "
Québec	Montreal	http://www3.csmb.qc.ca/ecoles/Default.aspx?alias=www3.csmb.qc.ca/ecoles/lalande	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/lalande.aspx	Lalande | Territoire en consultation*	École primaire	Sud Roxboro	514855-4238	"50, 3e Avenue Sud
Roxboro "
Québec	Montreal	http://laurentide.ecolesaintlaurent.ca/	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/laurentide.aspx	Laurentide	École primaire	Cardinal Saint-Laurent	514744-2101	"465, rue Cardinal
Saint-Laurent "
Québec	Montreal	http://www2.csmb.qc.ca/jhenrico/	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/joseph-henrico.aspx	Joseph-Henrico	École primaire	Baie d'Urfé	514855-4213	"20, rue Maughan
Baie d'Urfé "
Québec	Montreal	http://www.leauvive.ecolelasalle.com	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/leau-vive.aspx	L'Eau-Vive	École primaire	Orchard LaSalle	514687-7594	"171, av. Orchard
LaSalle "
Québec	Montreal	http://www2.csmb.qc.ca/laurendeau-Dunton/	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/laurendeau-dunton.aspx	Laurendeau-Dunton	École primaire	Rancourt LaSalle	514595-2049	"1515, rue Rancourt
LaSalle "
Québec	Montreal	http://jonathanwilson.ecoleouestmtl.com	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/jonathan-wilson.aspx	Jonathan-Wilson	École primaire	Chevremont L'Île-Bizard	514855-4242	"3243, bd Chevremont
L'Île-Bizard "
Québec	Montreal	http://lajoie.ecoleoutremont.com/	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/lajoie.aspx	Lajoie	École primaire	Lajoie Outremont	514272-5723	"1276, av. Lajoie
Outremont "
Québec	Montreal		primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/jardin-des-saints-anges.aspx	Jardin-des-Saints-Anges	École primaire	Saint-Louis Lachine	514855-4200	"1225, rue Saint-Louis
Lachine "
Québec	Montreal	http://www3.csmb.qc.ca/ecoles/Default.aspx?alias=www3.csmb.qc.ca/ecoles/katimavik-hebert	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/katimavik-hebert.aspx	Katimavik-Hébert	École primaire	Décarie Saint-Laurent	514748-65452	"705, bd Décarie
Saint-Laurent "
Québec	Montreal	http://www3.csmb.qc.ca/ecoles/Default.aspx?alias=www3.csmb.qc.ca/ecoles/jacques-bizard	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/jacques-bizard.aspx	Jacques-Bizard	École primaire	l'Église L'Île-Bizard	514855-4214	"515, montée de l'Église
L'Île-Bizard "
Québec	Montreal	http://jonathan.ecolesaintlaurent.ca/	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/jonathan.aspx	Jonathan	École primaire	Décarie Saint-Laurent	514748-2460	"705, bd Décarie
Saint-Laurent "
Québec	Montreal	http://www.henriforest.ecolelasalle.com	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/henri-forest.aspx	Henri-Forest	École primaire	Trésor-Caché LaSalle	514595-2046	"100, rue Trésor-Caché
LaSalle "
Québec	Montreal	http://www3.csmb.qc.ca/ecoles/Default.aspx?alias=www3.csmb.qc.ca/ecoles/jean-grou	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/jean-grou.aspx	Jean-Grou	École primaire	Tassé Saint-Laurent	514747-1260	"805, rue Tassé
Saint-Laurent "
Québec	Montreal	http://tss.ecolelachine.com/	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/tres-saint-sacrement.aspx	Très-Saint-Sacrement	École primaire	Avenue Lachine	514855-4234	"704, 5e Avenue
Lachine "
Québec	Montreal	http://victortherien.ecolelachine.com/ 	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/victor-therien.aspx	Victor-Thérien	École primaire	Avenue Lachine	514855-4202	"305, 43e Avenue
Lachine "
Québec	Montreal	http://saint-luc.ecoleouestmtl.com	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/saint-luc.aspx	Saint-Luc	École primaire	Dollard-Des Ormeaux	514855-4212	"98, rue Fredmir
Dollard-Des Ormeaux "
Québec	Montreal	http://tdj.ecolelasalle.com/	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/terre-des-jeunes.aspx	Terre-des-Jeunes | Territoire en consultation*	École primaire	Ménard LaSalle	514595-2056	"2311, rue Ménard
LaSalle "
Québec	Montreal	http://autresorduboise.ecolesaintlaurent.ca/ 	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/tresor-du-boise.aspx	au Trésor-du-Boisé	École primaire	Claude-Henri-Grignon Saint-Laurent	514748-4609	"3925, rue Claude-Henri-Grignon
Saint-Laurent "
Québec	Montreal	http://ecolestgo.ca/	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/saint-germain-doutremont.aspx	Saint-Germain-d'Outremont	École primaire	Vincent-d'Indy Outremont	514735-6691	"46, av. Vincent-d'Indy
Outremont "
Québec	Montreal	http://saintremi.ecoleouest.com/	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/saint-remi.aspx	Saint-Rémi	École primaire	Neveu Beaconsfield	514855-4206	"16, rue Neveu
Beaconsfield "
Québec	Montreal	http://www3.csmb.qc.ca/ecoles/Default.aspx?alias=www3.csmb.qc.ca/ecoles/ile-des-soeurs	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/ile-des-soeurs.aspx	Île-des-Soeurs	École primaire	Gaspé Verdun	514765-7695	"530, rue de Gaspé
Verdun "
Québec	Montreal	http://esco.ecolemontroyal.com/	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/saint-clement-ouest.aspx	Saint-Clément-Ouest | Territoire en consultation*	École primaire	Mitchell Mont-Royal	514735-0400	"555, avenue Mitchell
Mont-Royal "
Québec	Montreal	http://saintlouis.ecoleouest.com/	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/saint-louis.aspx	Saint-Louis | Territoire en consultation*	École primaire	Winthrop Pointe-Claire	514855-4205	"151, rue Winthrop
Pointe-Claire "
Québec	Montreal	http://saint-gerard.ecoleouest.com/	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/saint-gerard.aspx	Saint-Gérard	École primaire	Pierrefonds Pierrefonds	514855-4243	"14385, bd Pierrefonds
Pierrefonds "
Québec	Montreal	http://www.ecolesaintlaurent.ca/	secondaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/secondaire/ecoles/liste/saint-laurent.aspx	Saint-Laurent | Territoire en consultation*	École secondaire	Thimens Saint-Laurent	514332-3190	"2395, bd Thimens
Saint-Laurent "
Québec	Montreal	http://saintgeorges.ecoleouest.com/	secondaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/secondaire/ecoles/liste/saint-georges.aspx	Saint-Georges	École secondaire	Sainte-Anne Senneville	514855-4241	"300, rue Sainte-Anne
Senneville "
Québec	Montreal	http://www2.csmb.qc.ca/scl/	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/sainte-catherine-laboure.aspx	Sainte-Catherine-Labouré | Territoire en consultation*	École primaire	Trudeau LaSalle	514595-2054	"441, rue Trudeau
LaSalle "
Québec	Montreal	http://www3.csmb.qc.ca/ecoles/Default.aspx?alias=www3.csmb.qc.ca/ecoles/pointe-claire	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/pointe-claire.aspx	Pointe-Claire	École primaire	Douglas-Shand Pointe-Claire	514855-4245	"93, av. Douglas-Shand
Pointe-Claire "
Québec	Montreal	http://www3.csmb.qc.ca/ecoles/Default.aspx?alias=www3.csmb.qc.ca/ecoles/saintegenevievesud	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/sainte-genevieve-sud.aspx	Sainte-Geneviève (Sud)	École primaire	Édouard LaSalle	514595-2055	"7520, rue Édouard
LaSalle "
Québec	Montreal	http://sgo.ecoleouest.com/	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/sainte-genevieve-ouest.aspx	Sainte-Geneviève (Ouest) | Territoire en consultation*	École primaire	Sainte-Anne Sainte-Geneviève	514855-4215	"35, rue Sainte-Anne
Sainte-Geneviève "
Québec	Montreal	http://www.pierreremy.ecolelasalle.com 	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/pierre-remy.aspx	Pierre-Rémy	École primaire	Avenue LaSalle	514595-2067	"360, 80e Avenue
LaSalle "
Québec	Montreal	http://pauljarry.ecolelachine.com/	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/paul-jarry.aspx	Paul-Jarry	École primaire	Avenue Lachine	514855-4201	"676, 11e  Avenue
Lachine "
Québec	Montreal	http://www2.csmb.qc.ca/perceneige/	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/perce-neige.aspx	Perce-Neige	École primaire	Lalande Pierrefonds	514855-4239	"4770, bd Lalande
Pierrefonds "
Québec	Montreal	http://ndl.ecoleverdun.com/	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/notre-dame-de-lourdes.aspx	Notre-Dame-de-Lourdes	École primaire	Avenue Verdun	514765-7595	"504, 5e Avenue
Verdun "
Québec	Montreal	http://pierrelaporte.ecolemontroyal.com/	secondaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/secondaire/ecoles/liste/pierre-laporte.aspx	Pierre-Laporte | Territoire en consultation*	École secondaire	Rockland Mont-Royal	514739-6311	"1101, ch. Rockland
Mont-Royal "
Québec	Montreal	http://philippemorin.ecolelachine.com/	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/philippe-morin.aspx	Philippe-Morin	École primaire	Provost Lachine	514855-4233	"1825, rue Provost
Lachine "
Québec	Montreal	http://www3.csmb.qc.ca/ecoles/Default.aspx?alias=www3.csmb.qc.ca/ecoles/nouvelle-querbes	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/nouvelle-querbes.aspx	Nouvelle-Querbes	École primaire	Bloomfield Outremont	514272-7887	"215, av. Bloomfield
Outremont "
Québec	Montreal	http://www.paul-gerin-lajoie-doutremont.ca/	secondaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/secondaire/ecoles/liste/paul-gerin-lajoie-doutremont.aspx	Paul-Gérin-Lajoie-d'Outremont	École secondaire	Bloomfield Outremont	514276-3746	"475, av. Bloomfield
Outremont "
Québec	Montreal	http://ecolendsd.wix.com/ndsd	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/notre-dame-des-sept-douleurs.aspx	Notre-Dame-des-Sept-Douleurs	École primaire	l'Église Verdun	514765-7575	"320, rue de l'Église
Verdun "
Québec	Montreal	http://www3.csmb.qc.ca/ecoles/Default.aspx?alias=www3.csmb.qc.ca/ecoles/notre-dame-de-la-garde	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/notre-dame-de-la-garde.aspx	Notre-Dame-de-la-Garde	École primaire	Brault Verdun	514765-7611	"755, rue Brault
Verdun "
Québec	Montreal	http://www3.csmb.qc.ca/ecoles/Default.aspx?alias=www3.csmb.qc.ca/ecoles/martin-belanger	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/martin-belanger.aspx	Martin-Bélanger	École primaire	Ouellette Lachine	514595-2057	"29, av. Ouellette
Lachine "
Québec	Montreal	http://www3.csmb.qc.ca/ecoles/Default.aspx?alias=www3.csmb.qc.ca/ecoles/saint-clement	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/saint-clement-est.aspx	Saint-Clément Est | Territoire en consultation*	École primaire	Laird Mont-Royal	514739-5322	"1560, bd Laird
Mont-Royal "
Québec	Montreal	http://epmb.ecoleouestmtl.com	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/marguerite-bourgeoys.aspx	Marguerite-Bourgeoys	École primaire	Sainte-Anne Pointe-Claire	514855-4236	"3, rue Sainte-Anne
Pointe-Claire "
Québec	Montreal	http://nddlp.ecoleverdun.com/	primaire	Commission scolaire Marguerite-Bourgeoys	French	http://www.csmb.qc.ca/fr-CA/enseignement/primaire/ecoles/liste/notre-dame-de-la-paix.aspx	Notre-Dame-de-la-Paix	École primaire	Caisse Verdun	514765-7565	"454, rue Caisse
Verdun "
