province	city	school_url	school_grades	school_board	school_language	response_url	school_name	school_type	postal_code	phone_number	street_address
Québec	Saint-Bruno-de-Montarville	http://cfr.csp.qc.ca/		Commission scolaire des Patriotes		http://csp.ca/trouver-un-etablissement/centre/	Centre de formation du Richelieu	Centre de formation	J3V 3T5	450 645-2365	1430, rue Montarville
Québec	Sainte-Julie	http://cfpp.csp.qc.ca/		Commission scolaire des Patriotes		http://csp.ca/trouver-un-etablissement/centre/	Centre de formation professionnelle des Patriotes	Centre de formation	J3E 0C9	450 645-2370	2121, rue Darwin
Québec	Sainte-Julie	http://sae.csp.qc.ca/		Commission scolaire des Patriotes		http://csp.ca/trouver-un-etablissement/centre/	Service aux entreprises et à la communauté	Centre de formation	J3V 0C9	450 645-2370 poste 7103	2121, rue Darwin
Québec	Beloeil	http://polybel.csp.qc.ca/	secondaire	Commission scolaire Marie-Victorin	French	http://csp.ca/etablissement/ecole-polybel/	École secondaire Polybel	école secondaire	J3G 2M1	450 467-0262	725  rue De Lévis
Québec	Saint-Amable	http://francoiswilliams.csp.qc.ca/	secondaire	Commission scolaire Marie-Victorin	French	http://csp.ca/etablissement/ecole-francois-williams/	École secondaire François-Williams	école secondaire	J0L 1N0	450 645-2362	950  rue de Normandie
Québec	Boucherville	http://demortagne.csp.qc.ca/	secondaire	Commission scolaire Marie-Victorin	French	http://csp.ca/etablissement/ecole-de-mortagne/	École secondaire De Mortagne	école secondaire	J4B 1Z6	450 655-7311	955  boulevard De Montarville
Québec	Chambly	http://letremplin.csp.qc.ca/	secondaire	Commission scolaire Marie-Victorin	French	http://csp.ca/etablissement/ecole-le-tremplin/	École le Tremplin	école secondaire	J3L 4V8	450 461-5909	1501  avenue De Salaberry
Québec	Mont-Saint-Hilaire	http://oziasleduc.csp.qc.ca/	secondaire	Commission scolaire Marie-Victorin	French	http://csp.ca/etablissement/ecole-ozias-leduc/	École secondaire Ozias-Leduc	école secondaire	J3H 3N2	450 467-0261	525  rue Jolliet
Québec	McMasterville	http://eei.csp.qc.ca/	secondaire	Commission scolaire Marie-Victorin	French	http://csp.ca/etablissement/ecole-deducation-internationale/	École d’éducation internationale	école secondaire	J3G 1H1	450 467-4222	720  rue Morin
Québec	Beloeil	http://aucoeurdesmonts.csp.qc.ca/	primaire	Commission scolaire Marie-Victorin	French	http://csp.ca/etablissement/ecole-au-coeur-des-monts/	École au Cœur-des-Monts	école primaire	J3G 0P3	450 467-6681	2035  rue Paul-Perreault
Québec	Sainte-Julie	http://dugrandcoteau.csp.qc.ca	secondaire	Commission scolaire Marie-Victorin	French	http://csp.ca/etablissement/ecole-du-grand-coteau/	École secondaire du Grand-Coteau	école secondaire	J3E 2G2	450 645-2361	2020  rue Borduas
Québec	Chambly	http://madeleinebrousseau.csp.qc.ca	primaire	Commission scolaire Marie-Victorin	French	http://csp.ca/etablissement/ecole-madeleine-brousseau/	École Madeleine-Brousseau	école primaire	J3L 0Z9	450 461-5910	1700  boulevard Lebel
Québec	Chambly	http://desalaberry.csp.qc.ca/	primaire	Commission scolaire Marie-Victorin	French	http://csp.ca/etablissement/ecole-de-salaberry/	École De Salaberry	école primaire	J3L 2M5	450 461-5905	1371  rue Hertel
Québec	Saint-Bruno-de-Montarville	http://dumontbruno.csp.qc.ca/	secondaire	Commission scolaire Marie-Victorin	French	http://csp.ca/etablissement/ecole-du-mont-bruno/	École secondaire du Mont-Bruno	école secondaire	J3V 5J3	450 653-1541	221  boulevard Clairevue Est
Québec	Chambly	http://jacquesdechambly.csp.qc.ca/	primaire	Commission scolaire Marie-Victorin	French	http://csp.ca/etablissement/ecole-jacques-de-chambly/	École Jacques-De Chambly	école primaire	J3L 3H3	450 461-5902	5  rue des Voltigeurs
Québec	Varennes	http://lecarrefour.csp.qc.ca/	secondaire	Commission scolaire Marie-Victorin	French	http://csp.ca/etablissement/ecole-le-carrefour/	École secondaire le Carrefour	école secondaire	J3X 1P7	450 645-2363	123  chemin du Petit-Bois
Québec	Chambly	http://secdechambly.csp.qc.ca/	secondaire	Commission scolaire Marie-Victorin	French	http://csp.ca/etablissement/ecole-de-chambly/	École secondaire de Chambly	école secondaire	J3L 6H3	450 461-5908	535  boulevard Brassard
Québec	Boucherville	http://eoi.csp.qc.ca/	secondaire	Commission scolaire Marie-Victorin	French	http://csp.ca/etablissement/ecole-orientante-limpact/	École orientante l’Impact	école secondaire	J4B 3K9	450 655-4521	544  rue Saint-Sacrement
Québec	Chambly	http://debourgogne.csp.qc.ca/	primaire	Commission scolaire Marie-Victorin	French	http://csp.ca/etablissement/ecole-de-bourgogne/	École De Bourgogne	école primaire	J3L 1Y4	450 461-5901	1415  avenue Bourgogne
Québec	Carignan	http://duparchemin.csp.qc.ca/	primaire	Commission scolaire Marie-Victorin	French	http://csp.ca/etablissement/ecole-du-parchemin/	École du Parchemin	école primaire	J3L 3P9	450 461-5906	1800  rue Gilbert-Martel
Québec	Boucherville	http://pierreboucher.csp.qc.ca/	primaire	Commission scolaire Marie-Victorin	French	http://csp.ca/etablissement/ecole-pierre-boucher/	École Pierre-Boucher	école primaire	J4B 1L1	450 655-8088	225  rue Joseph-Martel
Québec	Carignan	http://carignansalieres.csp.qc.ca/	primaire	Commission scolaire Marie-Victorin	French	http://csp.ca/etablissement/ecole-carignan-salieres/	École Carignan-Salières	école primaire	J3L 0X1	450 461-1187	1551  rue de l’École
