province	city	school_url	school_grades	school_board	school_language	response_url	school_name	school_type	postal_code	phone_number	street_address
Québec	Montréal	www.cspi.qc.ca/ml	Écoles spécialisées	Commission scolaire de la Pointe de l'Ile	French	/index.php?option=com_mtree&task=viewlink&link_id=73876&Itemid=13	Marc-Laflamme/Le Prélude	Écoles spécialisées	H1B 3E3	(514) 395-9101	555, 19e Avenue
Québec	Montréal	www.cspi.qc.ca/gv/	Écoles spécialisées	Commission scolaire de la Pointe de l'Ile	French	/index.php?option=com_mtree&task=viewlink&link_id=7022&Itemid=13	Guy-Vanier	Écoles spécialisées	H1C 1H1	(514) 881-4690	10 905 boul. Henri-Bourassa
Québec	Montréal	www.cspi.qc.ca/lt/	Écoles spécialisées	Commission scolaire de la Pointe de l'Ile	French	/index.php?option=com_mtree&task=viewlink&link_id=7019&Itemid=13	Le Tournesol	Écoles spécialisées	H1A 3P9	(514) 642-0341	15 150 rue Sherbrooke Est
Québec	Montréal	www.cspi.qc.ca/stx/	L'école secondaire	Commission scolaire de la Pointe de l'Ile	French	/index.php?option=com_mtree&task=viewlink&link_id=16235&Itemid=13	Antoine-de-St-Exupéry	L'école secondaire	H1R 1P9	325-0480	5150 Robert
Québec	Montréal	www.cspi.qc.ca/clv/	L'école secondaire	Commission scolaire de la Pointe de l'Ile	French	/index.php?option=com_mtree&task=viewlink&link_id=7014&Itemid=13	Calixa-Lavallée	L'école secondaire	H1H 3J3	(514) 328-3250	4444 rue Henri-Bourassa Est
Québec	Montréal	www.cspi.qc.ca/hb/	L'école secondaire	Commission scolaire de la Pointe de l'Ile	French	/index.php?option=com_mtree&task=viewlink&link_id=7013&Itemid=13	Henri-Bourassa	L'école secondaire	H1G 1Y6	(514) 328-3200	6051 boul. Maurice-Duplessis
Québec	Montréal	www.cspi.qc.ca/pas/	Écoles spécialisées	Commission scolaire de la Pointe de l'Ile	French	/index.php?option=com_mtree&task=viewlink&link_id=7023&Itemid=13	La Passerelle	Écoles spécialisées	H1C 1S4	(514) 881-4690	12 165 boul. St-Jean-Baptiste
Québec	Montréal	www.cspi.qc.ca/anjou/	L'école secondaire	Commission scolaire de la Pointe de l'Ile	French	/index.php?option=com_mtree&task=viewlink&link_id=7017&Itemid=13	Anjou	L'école secondaire	H1K 4E1	(514) 353-9970	8205 rue Fonteneau
Québec	Montréal	www.ecole-albatros.ca/	L'école primaire	Commission scolaire de la Pointe de l'Ile	French	/index.php?option=com_mtree&task=viewlink&link_id=6974&Itemid=13	Albatros	L'école primaire	H1M 1W2	(514) 353-5131	6440 boul. Les Galeries d'Anjou
Québec	Montréal	cspi.qc.ca/sites/br/	L'école primaire	Commission scolaire de la Pointe de l'Ile	French	/index.php?option=com_mtree&task=viewlink&link_id=7001&Itemid=13	De la Belle-rive (pavillon de la pointe)	L'école primaire	H1A 1Z5	(514) 642-7337	16 360 rue Bureau
Québec	Montréal	www.cspi.qc.ca/chenier/	L'école primaire	Commission scolaire de la Pointe de l'Ile	French	/index.php?option=com_mtree&task=viewlink&link_id=6992&Itemid=13	Chénier	L'école primaire	H1K 3P4	(514) 352-4550	5800 av. Saint-Donat
Québec	Montréal	www.cspi.qc.ca/cl/	L'école primaire	Commission scolaire de la Pointe de l'Ile	French	/index.php?option=com_mtree&task=viewlink&link_id=6975&Itemid=13	Cardinal-Léger	L'école primaire	H1K 2X7	(514) 352-5500	6951 rue Des Ormeaux
Québec	Montréal	www.cspi.qc.ca/ap	L'école primaire	Commission scolaire de la Pointe de l'Ile	French	/index.php?option=com_mtree&task=viewlink&link_id=6995&Itemid=13	Alphonse-Pesant	L'école primaire	H1R 1S7	(514) 727-8915	4600 rue Compiègne
Québec	Montréal	www.cspi.qc.ca/calixa-lavallee	Centres de formation professionnelle	Commission scolaire de la Pointe de l'Ile	French	/index.php?option=com_mtree&task=viewlink&link_id=17453&Itemid=22	École Hôtelière de Montréal Calixa-Lavallée	Centres de formation professionnelle	H1H 0A6	955-4555	4500 Henri-Bourassa Est
Québec	Montréal	www.cspi.qc.ca/dj/	L'école secondaire	Commission scolaire de la Pointe de l'Ile	French	/index.php?option=com_mtree&task=viewlink&link_id=7021&Itemid=13	Daniel-Johnson	L'école secondaire	H1B 3A8	(514) 642-0240	1200 boul. du Tricentenaire
