province	city	school_url	school_grades	school_board	school_language	response_url	school_name	school_type	postal_code	phone_number	street_address
Québec	Lachute	http://www.csrdn.qc.ca/template.asp?id=346		Commission scolaire de la Rivière-du-Nord	French	http://www.csrdn.qc.ca/template.asp?id=86	Édifice Le Parallèle	Formation générale des adultes	rue Mary	450566-0088	190  rue Mary
Québec	Saint-Jérôme	http://www.csrdn.qc.ca/template.asp?id=140		Commission scolaire de la Rivière-du-Nord	French	http://www.csrdn.qc.ca/template.asp?id=86	Édifice Marchand	Formation générale des adultes	rue Melançon	450436-5850	471  rue Melançon
Québec	Saint-Jérôme	http://www.csrdn.qc.ca/template.asp?id=139	Secondaire	Commission scolaire de la Rivière-du-Nord	French	http://www.csrdn.qc.ca/template.asp?id=85	Cap-Jeunesse	Secondaire	36e Avenue	450436-1858	600  36e Avenue
Québec	Mirabel	http://www.csrdn.qc.ca/template.asp?id=350	Secondaire	Commission scolaire de la Rivière-du-Nord	French	http://www.csrdn.qc.ca/template.asp?id=85	de Mirabel	Secondaire	du Val-d’Espoir	450569-2014	17 777  rue du Val-d’Espoir
Québec	Saint-Jérôme	http://www.csrdn.qc.ca/template.asp?id=342	Secondaire	Commission scolaire de la Rivière-du-Nord	French	http://www.csrdn.qc.ca/template.asp?id=85	des Hauts-Sommets	Secondaire	112e Avenue	450436-7414	1000  112e Avenue
Québec	Saint-Jérôme	http://www.csrdn.qc.ca/template.asp?id=340	Secondaire	Commission scolaire de la Rivière-du-Nord	French	http://www.csrdn.qc.ca/template.asp?id=85	des-Studios	Secondaire	montée Saint-Nicolas	450431-2114	909  montée Saint-Nicolas
Québec	Saint-Colomban	http://www.csrdn.qc.ca/template.asp?id=316	primaire	Commission scolaire de la Rivière-du-Nord	French	http://www.csrdn.qc.ca/template.asp?id=84	à l'Orée-des-Bois	Préscolaire / primaire	côte Saint-Nicholas	450431-1288	360  côte Saint-Nicholas
Québec	Mirabel	http://www.csrdn.qc.ca/template.asp?id=302	primaire	Commission scolaire de la Rivière-du-Nord	French	http://www.csrdn.qc.ca/template.asp?id=84	à l'Unisson	Préscolaire / primaire	Paul VI	450569-2233	13 300  rue Paul VI
Québec	Lachute	http://www.csrdn.qc.ca/template.asp?id=344	Secondaire	Commission scolaire de la Rivière-du-Nord	French	http://www.csrdn.qc.ca/template.asp?id=85	École polyvalente Lavigne	Secondaire	avenue Argenteuil	450562-8841	452  avenue Argenteuil
Québec	Saint-Jérôme	http://www.csrdn.qc.ca/template.asp?id=338	Secondaire	Commission scolaire de la Rivière-du-Nord	French	http://www.csrdn.qc.ca/template.asp?id=85	École polyvalente Saint-Jérôme	Secondaire	rue Filion	450436-4330	535  rue Filion
Québec	Saint-Jérôme	http://www.csrdn.qc.ca/template.asp?id=248	Secondaire	Commission scolaire de la Rivière-du-Nord	French	http://www.csrdn.qc.ca/template.asp?id=85	Frenette	Secondaire	rue Marie-Victorin	450438-4108	109  rue Marie-Victorin
Québec	Lachute	http://www.csrdn.qc.ca/template.asp?id=306	Secondaire	Commission scolaire de la Rivière-du-Nord	French	http://www.csrdn.qc.ca/template.asp?id=85	Le Tremplin	Secondaire	rue Hammond	450566-3108	77  rue Hammond
Québec	Saint-Jérôme	http://www.csrdn.qc.ca/template.asp?id=308	primaire	Commission scolaire de la Rivière-du-Nord	French	http://www.csrdn.qc.ca/template.asp?id=84	alternative de la Fourmilière	Préscolaire / primaire	rue Duvernay	450438-1220	175  rue Duvernay
Québec	Saint-Jérôme	http://www.csrdn.qc.ca/template.asp?id=2779	primaire	Commission scolaire de la Rivière-du-Nord	French	http://www.csrdn.qc.ca/template.asp?id=84	aux Couleurs-du-Savoir	Préscolaire / primaire	montée Sainte-Thérèse	450569-2082	1801  montée Sainte-Thérèse
