province	city	school_url	school_grades	school_board	school_language	response_url	school_name	school_type	postal_code	phone_number	street_address
QC	Rawdon	http://www.cssamares.qc.ca/?page=ecoleinfo&type=2&no=109	secondaire	Commission scolaire des Samarres	French	site/default.aspx?page=ecoleinfo&type=2&no=109	des Chutes	L'école secondaire	J0K 1S0	450758-3749	3144 18e Avenue
QC	Joliette	http://www.cssamares.qc.ca/?page=ecoleinfo&type=2&no=105	secondaire	Commission scolaire des Samarres	French	site/default.aspx?page=ecoleinfo&type=2&no=105	Barthélemy-Joliette	L'école secondaire	J6E 6E6	450758-3754	345 rue Sir-Mathias-Tellier
QC	Saint-Gabriel-de-Brandon	http://www.cssamares.qc.ca/?page=ecoleinfo&type=2&no=108	secondaire	Commission scolaire des Samarres	French	site/default.aspx?page=ecoleinfo&type=2&no=108	Bermon	L'école secondaire	J0K 2N0	450758-3640	1919 6e Rang
QC	Saint-Roch-de-l'Achigan	http://www.cssamares.qc.ca/?page=ecoleinfo&type=2&no=098	secondaire	Commission scolaire des Samarres	French	site/default.aspx?page=ecoleinfo&type=2&no=098	de l'Achigan	L'école secondaire	J0K 3H0	450588-7410	60 montée Rémi-Henri
QC	Berthierville	http://www.cssamares.qc.ca/?page=ecoleinfo&type=2&no=104	secondaire	Commission scolaire des Samarres	French	site/default.aspx?page=ecoleinfo&type=2&no=104	Pierre-de-Lestage	L'école secondaire	J0K 1A0	450758-3599	881 rue Pierre-de-Lestage
QC	Saint-Félix-de-Valois	http://www.cssamares.qc.ca/?page=ecoleinfo&type=2&no=099	secondaire	Commission scolaire des Samarres	French	site/default.aspx?page=ecoleinfo&type=2&no=099	de l'Érablière	L'école secondaire	J0K 2M0	450758-3570	5211 rue Principale
QC	Lavaltrie	http://www.cssamares.qc.ca/?page=ecoleinfo&type=2&no=012	secondaire	Commission scolaire des Samarres	French	site/default.aspx?page=ecoleinfo&type=2&no=012	de la Rive	L'école secondaire	J5T 1G7	450758-3594	60 rue Douaire-de-Bondy
QC	Sainte-Julienne	http://www.cssamares.qc.ca/?page=ecoleinfo&type=2&no=009	secondaire	Commission scolaire des Samarres	French	site/default.aspx?page=ecoleinfo&type=2&no=009	de Sainte-Julienne (pavillon du Havre-Jeunesse)	L'école secondaire	J0K 2T0	450758-3744	2175 rue du Domaine-Malo
QC	Saint-Michel-des-Saints	http://www.cssamares.qc.ca/?page=ecoleinfo&type=2&no=107	secondaire	Commission scolaire des Samarres	French	site/default.aspx?page=ecoleinfo&type=2&no=107	des Montagnes	L'école secondaire	J0K 3B0	450758-3643	290 rue Brassard
QC	Saint-Charles-Borromée	http://www.cssamares.qc.ca/?page=ecoleinfo&type=2&no=062	secondaire	Commission scolaire des Samarres	French	site/default.aspx?page=ecoleinfo&type=2&no=062	de l'Espace-Jeunesse (pavillon de l'Espace-Jeunesse)	L'école secondaire	J6E 0B9	450758-3556	90 boul. des Mésanges
QC	Joliette	http://www.cssamares.qc.ca/?page=ecoleinfo&type=2&no=103	secondaire	Commission scolaire des Samarres	French	site/default.aspx?page=ecoleinfo&type=2&no=103	Thérèse-Martin	L'école secondaire	J6E 3W7	450758-3620	916 rue Ladouceur
QC	Saint-Jean-de-Matha	http://www.cssamares.qc.ca/?page=ecoleinfo&type=1&no=025	primaire	Commission scolaire des Samarres	French	site/default.aspx?page=ecoleinfo&type=1&no=025	Bernèche	L'école primaire	J0K 2S0	450758-3688	239 rue du Collège
QC	Saint-Lin-Laurentides	http://www.cssamares.qc.ca/?page=ecoleinfo&type=1&no=001	primaire	Commission scolaire des Samarres	French	site/default.aspx?page=ecoleinfo&type=1&no=001	de l'Aubier	L'école primaire	J5M 2H2	450439-6051	250 chemin Saint-Stanislas
QC	Saint-Jacques	http://www.cssamares.qc.ca/?page=ecoleinfo&type=1&no=095	primaire	Commission scolaire des Samarres	French	site/default.aspx?page=ecoleinfo&type=1&no=095	de Grand-Pré	L'école primaire	J0K 2R0	450758-3736	20 rue Beaudry
QC	Saint-Zénon	http://www.cssamares.qc.ca/?page=ecoleinfo&type=1&no=031	primaire	Commission scolaire des Samarres	French	site/default.aspx?page=ecoleinfo&type=1&no=031	Bérard	L'école primaire	J0K 3N0	450758-3693	90 rue du Collège
QC	Joliette	http://www.cssamares.qc.ca/?page=ecoleinfo&type=2&no=850	secondaire	Commission scolaire des Samarres	French	site/default.aspx?page=ecoleinfo&type=2&no=850	de l'Intervalle	L'école secondaire	J6E 3W7	450759-0765	1170 rue Ladouceur
QC	Mandeville	http://www.cssamares.qc.ca/?page=ecoleinfo&type=1&no=033	primaire	Commission scolaire des Samarres	French	site/default.aspx?page=ecoleinfo&type=1&no=033	Youville	L'école primaire	J0K 1L0	450758-3694	275 rue Desjardins
QC	Saint-Michel-des-Saints	http://www.cssamares.qc.ca/?page=ecoleinfo&type=1&no=040	primaire	Commission scolaire des Samarres	French	site/default.aspx?page=ecoleinfo&type=1&no=040	Saint-Jean-Baptiste	L'école primaire	J0K 3B0	450758-3697	380 rue Brassard
QC	Saint-Jacques	http://www.cssamares.qc.ca/?page=ecoleinfo&type=1&no=094	primaire	Commission scolaire des Samarres	French	site/default.aspx?page=ecoleinfo&type=1&no=094	Saint-Louis-de-France	L'école primaire	J0K 2R0	450758-3734	4 rue du Collège
QC	Saint-Damien	http://www.cssamares.qc.ca/?page=ecoleinfo&type=1&no=016	primaire	Commission scolaire des Samarres	French	site/default.aspx?page=ecoleinfo&type=1&no=016	Saint-Coeur-de-Marie	L'école primaire	J0K 2E0	450758-3687	6960 rue Principale
QC	Saint-Liguori	http://www.cssamares.qc.ca/?page=ecoleinfo&type=1&no=089	primaire	Commission scolaire des Samarres	French	site/default.aspx?page=ecoleinfo&type=1&no=089	Saint-Joseph	L'école primaire	J0K 2X0	450758-3731	740 rue Principale
QC	Crabtree	http://www.cssamares.qc.ca/?page=ecoleinfo&type=1&no=084	primaire	Commission scolaire des Samarres	French	site/default.aspx?page=ecoleinfo&type=1&no=084	Sacré-Coeur-de-Jésus	L'école primaire	J0K 1B0	450758-3724	141 8e Rue, C.P. 240
QC	Sainte-Mélanie	http://www.cssamares.qc.ca/?page=ecoleinfo&type=1&no=037	primaire	Commission scolaire des Samarres	French	site/default.aspx?page=ecoleinfo&type=1&no=037	Sainte-Hélène	L'école primaire	J0K 3A0	450758-3696	100 rue de l'Église
QC	Joliette	http://www.cssamares.qc.ca/?page=ecoleinfo&type=1&no=075	primaire	Commission scolaire des Samarres	French	site/default.aspx?page=ecoleinfo&type=1&no=075	Sainte-Thérèse	L'école primaire	J6E 4K3	450758-3718	305 rue Calixa-Lavallée
QC	Saint-Cuthbert	http://www.cssamares.qc.ca/?page=ecoleinfo&type=1&no=007	primaire	Commission scolaire des Samarres	French	site/default.aspx?page=ecoleinfo&type=1&no=007	Sainte-Anne	L'école primaire	J0K 2C0	450758-3682	1950 rue Principale
QC	Sainte-Béatrix	http://www.cssamares.qc.ca/?page=ecoleinfo&type=1&no=027	primaire	Commission scolaire des Samarres	French	site/default.aspx?page=ecoleinfo&type=1&no=027	Panet	L'école primaire	J0K 1Y0	450758-3690	891 rue de l'Église
QC	Notre-Dame-de-Lourdes	http://www.cssamares.qc.ca/?page=ecoleinfo&type=1&no=017	primaire	Commission scolaire des Samarres	French	site/default.aspx?page=ecoleinfo&type=1&no=017	Sainte-Bernadette	L'école primaire	J0K 1K0	450758-3576	3961 rue Principale
QC	Saint-Ambroise-de-Kildare	http://www.cssamares.qc.ca/?page=ecoleinfo&type=1&no=085	primaire	Commission scolaire des Samarres	French	site/default.aspx?page=ecoleinfo&type=1&no=085	Notre-Dame-de-la-Paix	L'école primaire	J0K 1C0	450758-3726	961 rue des Commissaires
QC	Entrelacs	http://www.cssamares.qc.ca/?page=ecoleinfo&type=1&no=051	primaire	Commission scolaire des Samarres	French	site/default.aspx?page=ecoleinfo&type=1&no=051	Notre-Dame-de-la-Merci — Saint-Émile (pavillon Saint-Émile)	L'école primaire	J0T 2E0	450228-4350	2500 chemin d'Entrelacs
QC	Saint-Norbert	http://www.cssamares.qc.ca/?page=ecoleinfo&type=1&no=004	primaire	Commission scolaire des Samarres	French	site/default.aspx?page=ecoleinfo&type=1&no=004	Sainte-Anne	L'école primaire	J0K 3C0	450758-3579	2130 rue Principale
QC	Notre-Dame-de-la-Merci	http://www.cssamares.qc.ca/?page=ecoleinfo&type=1&no=050	primaire	Commission scolaire des Samarres	French	site/default.aspx?page=ecoleinfo&type=1&no=050	Notre-Dame-de-la-Merci — Saint-Émile (pavillon Notre-Dame-de-la-Merci)	L'école primaire	J0T 2A0	819424-2466	1936 route 125
QC	Saint-Alexis	http://www.cssamares.qc.ca/?page=ecoleinfo&type=1&no=091	primaire	Commission scolaire des Samarres	French	site/default.aspx?page=ecoleinfo&type=1&no=091	Notre-Dame	L'école primaire	J0K 1T0	450758-3732	225 rue Principale
QC	Saint-Roch-de-l'Achigan	http://www.cssamares.qc.ca/?page=ecoleinfo&type=1&no=059	primaire	Commission scolaire des Samarres	French	site/default.aspx?page=ecoleinfo&type=1&no=059	Notre-Dame	L'école primaire	J0K 3H0	450588-7851	20 rue Vézina
QC	Joliette	http://www.cssamares.qc.ca/?page=ecoleinfo&type=1&no=070	primaire	Commission scolaire des Samarres	French	site/default.aspx?page=ecoleinfo&type=1&no=070	Monseigneur J.-A.-Papineau	L'école primaire	J6E 5H1	450758-3716	485 rue Laval
QC	Joliette	http://www.cssamares.qc.ca/?page=ecoleinfo&type=1&no=073	primaire	Commission scolaire des Samarres	French	site/default.aspx?page=ecoleinfo&type=1&no=073	Lorenzo-Gauthier — Rose-des-Vents (pavillon Rose-des-Vents)	L'école primaire	J6E 2S7	450758-3564	273 rue Richard
QC	Saint-Paul	http://www.cssamares.qc.ca/?page=ecoleinfo&type=1&no=046	primaire	Commission scolaire des Samarres	French	site/default.aspx?page=ecoleinfo&type=1&no=046	La Passerelle (pavillon Vert-Demain)	L'école primaire	J0K 3E0	450758-3674	157 rue des Tourelles
QC	Saint-Calixte	http://www.cssamares.qc.ca/?page=ecoleinfo&type=1&no=123	primaire	Commission scolaire des Samarres	French	site/default.aspx?page=ecoleinfo&type=1&no=123	Louis-Joseph-Martel — de la Gentiane (pavillon de la Gentiane)	L'école primaire	J0K 1Z0	450439-6245	100 rue Marie-Fournier
