province	city	school_url	school_grades	school_board	school_language	response_url	school_name	school_type	postal_code	phone_number	street_address
Québec	"
						Bois-des-Filion (Québec)"	http://sites.cssmi.qc.ca/lerucher/	primaire	Commission scolaire de la Seigneurie-des-Mille-Îles	French	http://gestiondoc.cssmi.qc.ca/gesdoc/php/accueilBV/ecoCentreInfoDrupal.php?ecoid=282	Le Rucher	école primaire	 J6Z 2C4	450621-1750	100, 33e Avenue
Québec	"
						Terrebonne (Québec)"	http://sites.cssmi.qc.ca/jeunesdumonde/	primaire	Commission scolaire de la Seigneurie-des-Mille-Îles	French	http://gestiondoc.cssmi.qc.ca/gesdoc/php/accueilBV/ecoCentreInfoDrupal.php?ecoid=283	Jeunes du monde	école primaire	 J6Y 1R2	450621-5642	452, rue de Neuilly
Québec	"
						Lorraine (Québec)"	http://sites.cssmi.qc.ca/lecarrefour	primaire	Commission scolaire de la Seigneurie-des-Mille-Îles	French	http://gestiondoc.cssmi.qc.ca/gesdoc/php/accueilBV/ecoCentreInfoDrupal.php?ecoid=280	Le Carrefour	école primaire	 J6Z 3L5	450621-2500	59, boul. de Vignory
Québec	"
						Saint-Eustache (Québec)"	http://www.ecolehorizonsoleil.com/	primaire	Commission scolaire de la Seigneurie-des-Mille-Îles	French	http://gestiondoc.cssmi.qc.ca/gesdoc/php/accueilBV/ecoCentreInfoDrupal.php?ecoid=252	Horizon-Soleil	école primaire	 J7P 4M2	450472-1440	425, rue Hamel
Québec	"
						Mirabel (Québec)"	http://sites.cssmi.qc.ca/girouard/	primaire	Commission scolaire de la Seigneurie-des-Mille-Îles	French	http://gestiondoc.cssmi.qc.ca/gesdoc/php/accueilBV/ecoCentreInfoDrupal.php?ecoid=203	Girouard	école primaire	 J7N 2N8	450434-8612	9030, rue Dumouchel
Québec	"
						Sainte-Marthe-sur-le-Lac (Québec)"	http://sites.cssmi.qc.ca/hordulac/	primaire	Commission scolaire de la Seigneurie-des-Mille-Îles	French	http://gestiondoc.cssmi.qc.ca/gesdoc/php/accueilBV/ecoCentreInfoDrupal.php?ecoid=209	Horizon-du-Lac	école primaire	 J0N 1P0	450473-2043	3099, chemin d'Oka
Québec	"
						Boisbriand (Québec)"	http://sites.cssmi.qc.ca/gastonpilon/	primaire	Commission scolaire de la Seigneurie-des-Mille-Îles	French	http://gestiondoc.cssmi.qc.ca/gesdoc/php/accueilBV/ecoCentreInfoDrupal.php?ecoid=274	Gaston-Pilon	école primaire	 J7G 1V7	450433-5520	1025, rue Castelneau
Québec	"
						Boisbriand (Québec)"	http://sites.cssmi.qc.ca/gabrielleroy/	primaire	Commission scolaire de la Seigneurie-des-Mille-Îles	French	http://gestiondoc.cssmi.qc.ca/gesdoc/php/accueilBV/ecoCentreInfoDrupal.php?ecoid=273	Gabrielle-Roy	école primaire	 J7G 3G7	450433-5380	500, rue Marie-C.-Daveluy
Québec	"
						Deux-Montagnes (Québec)"	http://sites.cssmi.qc.ca/emmanuelchenard/	primaire	Commission scolaire de la Seigneurie-des-Mille-Îles	French	http://gestiondoc.cssmi.qc.ca/gesdoc/php/accueilBV/ecoCentreInfoDrupal.php?ecoid=240	Emmanuel-Chénard	école primaire	 J7R 6L2	450491-5454	600, 28e Avenue
Québec	"
						Sainte-Thérèse (Québec)"	http://sites.cssmi.qc.ca/traitdunion/	primaire	Commission scolaire de la Seigneurie-des-Mille-Îles	French	http://gestiondoc.cssmi.qc.ca/gesdoc/php/accueilBV/ecoCentreInfoDrupal.php?ecoid=214	du Trait-d'Union (pavillon Charles-Ducharme)	école primaire	 J7E 3M7	450433-5505	66, rue Saint-Stanislas
Québec	"
						Lorraine (Québec)"	http://sites.cssmi.qc.ca/ruisselet/	primaire	Commission scolaire de la Seigneurie-des-Mille-Îles	French	http://gestiondoc.cssmi.qc.ca/gesdoc/php/accueilBV/ecoCentreInfoDrupal.php?ecoid=285	du Ruisselet	école primaire	 J6Z 4X1	450434-8896	65, boulevard de Chambord
Québec	"
						Boisbriand (Québec)"	http://sites.cssmi.qc.ca/dumai/	primaire	Commission scolaire de la Seigneurie-des-Mille-Îles	French	http://gestiondoc.cssmi.qc.ca/gesdoc/php/accueilBV/ecoCentreInfoDrupal.php?ecoid=275	du Mai	école primaire	 J7H 1R3	450433-5370	3233, rue de la Bastille
Québec	"
						Saint-Joseph-du-Lac (Québec)"	https://portraitecole.cssmi.qc.ca/PeAdmin/PeAdmin?page=PeAdmin.PageFormationPrimaire&EtablissementId=231	primaire	Commission scolaire de la Seigneurie-des-Mille-Îles	French	http://gestiondoc.cssmi.qc.ca/gesdoc/php/accueilBV/ecoCentreInfoDrupal.php?ecoid=231	du Grand-Pommier	école primaire	 J0N 1M0	450491-8415	257, rue Yvon
Québec	"
						Sainte-Anne-des-Plaines (Québec)"	http://sites.cssmi.qc.ca/boisjoli/	primaire	Commission scolaire de la Seigneurie-des-Mille-Îles	French	http://gestiondoc.cssmi.qc.ca/gesdoc/php/accueilBV/ecoCentreInfoDrupal.php?ecoid=287	Du Bois-Joli	école primaire	 J0N 1H0	450434-8509	200, rue Neuville-en-Ferrain
Québec	"
						Sainte-Thérèse (Québec)"	http://cms.cssmi.qc.ca		Commission scolaire de la Seigneurie-des-Mille-Îles	French	http://gestiondoc.cssmi.qc.ca/gesdoc/php/accueilBV/ecoCentreInfoDrupal.php?ecoid=305	Centre multiservice de Sainte-Thérèse	un centre de information	 J7E 5A4	450433-5432	125, rue Beauchamp
Québec	"
						Blainville (Québec)"	http://sites.cssmi.qc.ca/dessemailles/	primaire	Commission scolaire de la Seigneurie-des-Mille-Îles	French	http://gestiondoc.cssmi.qc.ca/gesdoc/php/accueilBV/ecoCentreInfoDrupal.php?ecoid=226	des Semailles	école primaire	 J7C 4Y7	450433-4616	1100, boul. Céloron
Québec	"
						Saint-Eustache (Québec)"	http://www.cfp-cssmi-csswl.cssmi.qc.ca		Commission scolaire de la Seigneurie-des-Mille-Îles	French	http://gestiondoc.cssmi.qc.ca/gesdoc/php/accueilBV/ecoCentreInfoDrupal.php?ecoid=460	Nouveau centre de formation professionnelle CSSMI - CSSWL	un centre de information	 	450491-8416	246, Allée du golf
Québec	"
						Deux-Montagnes (Québec)"	http://www.lemergence.qc.ca		Commission scolaire de la Seigneurie-des-Mille-Îles	French	http://gestiondoc.cssmi.qc.ca/gesdoc/php/accueilBV/ecoCentreInfoDrupal.php?ecoid=402	Centre de formation professionnelle, l'Émergence	un centre de information	 J7R 7B4	450623-3079	1415, chemin de l'Avenir
Québec	"
						Sainte-Thérèse (Québec)"	http://www.cfpauto.com		Commission scolaire de la Seigneurie-des-Mille-Îles	French	http://gestiondoc.cssmi.qc.ca/gesdoc/php/accueilBV/ecoCentreInfoDrupal.php?ecoid=403	Centre de formation professionnelle de l'automobile	un centre de information	 J7E 4S4	450433-5435	301, boul. du Domaine
Québec	"
						Sainte-Thérèse (Québec)"	http://www.cfnt.qc.ca/		Commission scolaire de la Seigneurie-des-Mille-Îles	French	http://gestiondoc.cssmi.qc.ca/gesdoc/php/accueilBV/ecoCentreInfoDrupal.php?ecoid=404	Centre de formation des Nouvelles-Technologies	un centre de information	 J7E 5R8	450433-5480	75, rue Duquet
Québec	"
						Sainte-Marthe-sur-le-Lac (Québec)"	http://cfcp.cssmi.qc.ca/		Commission scolaire de la Seigneurie-des-Mille-Îles	French	http://gestiondoc.cssmi.qc.ca/gesdoc/php/accueilBV/ecoCentreInfoDrupal.php?ecoid=306	Centre de formation continue des Patriotes	un centre de information	 J0N 1P0	450491-4488	2801, boul. des Promenades, local 120
Québec	"
						Mirabel (Québec)"	http://www.cfam.qc.ca		Commission scolaire de la Seigneurie-des-Mille-Îles	French	http://gestiondoc.cssmi.qc.ca/gesdoc/php/accueilBV/ecoCentreInfoDrupal.php?ecoid=407	Centre de formation agricole de Mirabel	un centre de information	 J7N 2X8	450434-8150	9850, rue de Belle-Rivière
Québec	"
						Bois-des-Filion (Québec)"	http://sites.cssmi.qc.ca/rivenord/	secondaire	Commission scolaire de la Seigneurie-des-Mille-Îles	French	http://gestiondoc.cssmi.qc.ca/gesdoc/php/accueilBV/ecoCentreInfoDrupal.php?ecoid=173	secondaire Rive-Nord	école secondaire	 J6Z 4P7	450621-3686	400, rue Joseph-Paquette
Québec	"
						Blainville (Québec)"	http://sites.cssmi.qc.ca/lucilleteasdale/	secondaire	Commission scolaire de la Seigneurie-des-Mille-Îles	French	http://gestiondoc.cssmi.qc.ca/gesdoc/php/accueilBV/ecoCentreInfoDrupal.php?ecoid=106	secondaire Lucille-Teasdale	école secondaire	 J7C 5A8	450430-2251	1275, boulevard Céloron
Québec	"
						Sainte-Marthe-sur-le-Lac (Québec)"	http://sites.cssmi.qc.ca/libjeu/	secondaire	Commission scolaire de la Seigneurie-des-Mille-Îles	French	http://gestiondoc.cssmi.qc.ca/gesdoc/php/accueilBV/ecoCentreInfoDrupal.php?ecoid=107	secondaire Liberté-Jeunesse	école secondaire	 J0N 1P0	450623-4666	2919, boul. des Promenades
Québec	"
						Boisbriand (Québec)"	https://sites.google.com/site/secondairejjrboisbriand/home	secondaire	Commission scolaire de la Seigneurie-des-Mille-Îles	French	http://gestiondoc.cssmi.qc.ca/gesdoc/php/accueilBV/ecoCentreInfoDrupal.php?ecoid=171	secondaire Jean-Jacques-Rousseau	école secondaire	 J7H 1P1	450433-5455	2700, rue Jean-Charles-Bonenfant
Québec	"
						Blainville (Québec)"	http://sites.cssmi.qc.ca/henri-dunant/	secondaire	Commission scolaire de la Seigneurie-des-Mille-Îles	French	http://gestiondoc.cssmi.qc.ca/gesdoc/php/accueilBV/ecoCentreInfoDrupal.php?ecoid=108	secondaire Henri-Dunant	école secondaire	 J7C 5Y8	450434-8951	200, rue Marie-Chapleau
Québec	"
						Rosemère (Québec)"	http://sites.cssmi.qc.ca/hubert-maisonneuve/	secondaire	Commission scolaire de la Seigneurie-des-Mille-Îles	French	http://gestiondoc.cssmi.qc.ca/gesdoc/php/accueilBV/ecoCentreInfoDrupal.php?ecoid=174	secondaire Hubert-Maisonneuve	école secondaire	 J7A 1Z1	450621-2003	364, rue de l'Académie
Québec	"
						Sainte-Anne-des-Plaines (Québec)"	http://harfang.danym.org/	secondaire	Commission scolaire de la Seigneurie-des-Mille-Îles	French	http://gestiondoc.cssmi.qc.ca/gesdoc/php/accueilBV/ecoCentreInfoDrupal.php?ecoid=172	secondaire du Harfang	école secondaire	 J0N 1H0	450434-8570	140, rue des Saisons
Québec	"
						Oka (Québec)"	http://eso.cssmi.qc.ca	secondaire	Commission scolaire de la Seigneurie-des-Mille-Îles	French	http://gestiondoc.cssmi.qc.ca/gesdoc/php/accueilBV/ecoCentreInfoDrupal.php?ecoid=102	secondaire d'Oka	école secondaire	 J0N 1E0	450491-8410	1700, chemin d'Oka
Québec	"
						Saint-Eustache (Québec)"	http://esp.cssmi.qc.ca	secondaire	Commission scolaire de la Seigneurie-des-Mille-Îles	French	http://gestiondoc.cssmi.qc.ca/gesdoc/php/accueilBV/ecoCentreInfoDrupal.php?ecoid=143	secondaire des Patriotes	école secondaire	 J7P 4S4	450472-6060	99, rue Grignon
Québec	"
						Sainte-Thérèse (Québec)"	http://sites.cssmi.qc.ca/stg/	secondaire	Commission scolaire de la Seigneurie-des-Mille-Îles	French	http://gestiondoc.cssmi.qc.ca/gesdoc/php/accueilBV/ecoCentreInfoDrupal.php?ecoid=104	Saint-Gabriel	école secondaire	 J7E 1V3	450433-5445	8, rue Tassé
