province	city	school_url	school_grades	school_board	school_language	response_url	school_name	school_type	postal_code	phone_number	street_address
QC	Saint-Lazare 	http://www.cstrois-lacs.qc.ca/ecoles/primaire/oree-du-bois	primaire	Commission scolaire des Trois-Lacs	French	http://www.cstrois-lacs.qc.ca/prescolaire-et-primaire/liste-des-ecoles-primaires/ecole-loree-du-bois	École à l'Orée-du-Bois	école primaire	J7T 3B5	 514 477-7001	1355, rue du Bois
QC	L'Île-Perrot 	http://www.cstrois-lacs.qc.ca/ecoles/primaire/francois-perrot	primaire	Commission scolaire des Trois-Lacs	French	http://www.cstrois-lacs.qc.ca/prescolaire-et-primaire/liste-des-ecoles-primaires/ecole-francois-perrot	École François-Perrot	école primaire	J7V 4X2	 514 453-4011	300, Grand-Boulevard
QC	Vaudreuil-Dorion	http://www.cstrois-lacs.qc.ca/ecoles/primaire/harwood	primaire	Commission scolaire des Trois-Lacs	French	http://www.cstrois-lacs.qc.ca/prescolaire-et-primaire/liste-des-ecoles-primaires/ecole-harwood	École Harwood	école primaire	J7V 3B2	 514 477-7003	186, 8e Avenue
QC	 Saint-Télesphore 	http://www.cstrois-lacs.qc.ca/ecoles/primaire/val-des-pres	primaire	Commission scolaire des Trois-Lacs	French	http://www.cstrois-lacs.qc.ca/prescolaire-et-primaire/liste-des-ecoles-primaires/ecole-du-val-des-pres-immaculee-conception	École du Val-des-Prés (Immaculée-Conception)	école primaire	J0P 1Y0	 450 267-3453	1485, Route 340 Ouest
QC	St-Polycarpe 	http://www.cstrois-lacs.qc.ca/ecoles/primaire/val-des-pres 	primaire	Commission scolaire des Trois-Lacs	French	http://www.cstrois-lacs.qc.ca/prescolaire-et-primaire/liste-des-ecoles-primaires/ecole-du-val-des-pres-sacre-coeur	École du Val-des-Prés (Sacré-Coeur)	école primaire	J0P 1X0	 450 267-3454	1228, ch. de l'Église
QC	Vaudreuil-Dorion 		primaire	Commission scolaire des Trois-Lacs	French	http://www.cstrois-lacs.qc.ca/prescolaire-et-primaire/liste-des-ecoles-primaires/ecole-du-papillon-bleu-pavillon-st-jean-baptiste	École du Papillon-Bleu (pavillon St-Jean-Baptiste)	école primaire	J7V 0J2	 514 477-7008	2, avenue de la Fabrique
QC	Sainte-Justine-de-Newton 	Cette adresse e-mail est protégée contre les robots spammeurs. Vous devez activer le JavaScript pour la visualiser.	primaire	Commission scolaire des Trois-Lacs	French	http://www.cstrois-lacs.qc.ca/prescolaire-et-primaire/liste-des-ecoles-primaires/ecole-du-val-des-pres-ste-justine	École du Val-des-Prés (Sainte-Justine)	école primaire	J0P 1T0	 450 267-3455	2753, rue Sainte-Anne
QC	Vaudreuil-Dorion 	http://www.cstrois-lacs.qc.ca/ecoles/primaire/hymne-au-printemps/	primaire	Commission scolaire des Trois-Lacs	French	http://www.cstrois-lacs.qc.ca/prescolaire-et-primaire/liste-des-ecoles-primaires/ecole-de-hymne-au-printemps	École de l'Hymne-au-Printemps	école primaire	J7V 0H6	514 477-7009	99, rue Maurice-Richard
QC	Vaudreuil-Dorion 	http://www.cstrois-lacs.qc.ca/ecoles/primaire/papillon-bleu	primaire	Commission scolaire des Trois-Lacs	French	http://www.cstrois-lacs.qc.ca/prescolaire-et-primaire/liste-des-ecoles-primaires/ecole-du-papillon-bleu-pavillon-ste-trinite	École du Papillon-Bleu (pavillon Ste-Trinité)	école primaire	J7V 1K6	 514 477-7008	175, rue des Loisirs
QC	Coteau-du-Lac 	http://www.cstrois-lacs.qc.ca/ecoles/primaire/coteau-du-lac	primaire	Commission scolaire des Trois-Lacs	French	http://www.cstrois-lacs.qc.ca/prescolaire-et-primaire/liste-des-ecoles-primaires/ecole-saint-ignace	École de Coteau-du-Lac (pavillon Saint-Ignace)	école primaire	J0P 1B0	 450 267-3458	1, rue du Parc
