province	city	school_url	school_grades	school_board	school_language	response_url	school_name	school_type	postal_code	phone_number	street_address
QC	Beauharnois		primaire	Commission scolaire de la Vallée-des-Tisserands	French	http://www.csvt.qc.ca/prescolaire-primaire-et-secondaire/les-ecoles	Saint-Eugène	École primaire	J6N 1R4	450-429-5262	480, rue De l’Église,
QC	Beauharnois		primaire	Commission scolaire de la Vallée-des-Tisserands	French	http://www.csvt.qc.ca/prescolaire-primaire-et-secondaire/les-ecoles	Notre-Dame-de-la-Paix	École primaire	J6N 0M8	450-429-4833	222, rue Principale,
QC	Beauharnois 		primaire	Commission scolaire de la Vallée-des-Tisserands	French	http://www.csvt.qc.ca/prescolaire-primaire-et-secondaire/les-ecoles	Saint-Étienne	École primaire	J0S 1S0	450-429-4572	426, rue De l’Église
QC	Beauharnois		primaire	Commission scolaire de la Vallée-des-Tisserands	French	http://www.csvt.qc.ca/prescolaire-primaire-et-secondaire/les-ecoles	Jésus-Marie	École primaire	J6N 1Z3	450-429-3388	25, rue Saint-Joseph,
QC	Beauharnois		primaire	Commission scolaire de la Vallée-des-Tisserands	French	http://www.csvt.qc.ca/prescolaire-primaire-et-secondaire/les-ecoles	Saint-Paul	École primaire	J6N 2R4	450-429-5251	205, rue Edmour-Daoust,
QC	Sainte-Martine		primaire	Commission scolaire de la Vallée-des-Tisserands	French	http://www.csvt.qc.ca/prescolaire-primaire-et-secondaire/les-ecoles	Sacré-Coeur	École primaire	J0S 1V0	450-225-4970	9, Ronaldo-Bélanger,
QC	Saint-Urbain-Premier		primaire	Commission scolaire de la Vallée-des-Tisserands	French	http://www.csvt.qc.ca/prescolaire-primaire-et-secondaire/les-ecoles	Saint-Urbain	École primaire	J0S 1Y0	450-225-4971	9, De l’École,
QC	Saint-Chrysostome		primaire	Commission scolaire de la Vallée-des-Tisserands	French	http://www.csvt.qc.ca/prescolaire-primaire-et-secondaire/les-ecoles	Montpetit	École primaire	J0S 1R0	1-866-451-3266	57, rue Wood,
QC	Howick		primaire	Commission scolaire de la Vallée-des-Tisserands	French	http://www.csvt.qc.ca/prescolaire-primaire-et-secondaire/les-ecoles	Saint-Jean	École primaire	J0S 1G0	450-377-6061	9, rue Académie,
QC	Franklin		primaire	Commission scolaire de la Vallée-des-Tisserands	French	http://www.csvt.qc.ca/prescolaire-primaire-et-secondaire/les-ecoles	Centrale St-Antoine-Abbé	École primaire	J0S 1N0	450-377-6062	4110, De l’Église,
QC	St-Louis-de-Gonzague		primaire	Commission scolaire de la Vallée-des-Tisserands	French	http://www.csvt.qc.ca/prescolaire-primaire-et-secondaire/les-ecoles	Omer-Séguin	École primaire	J0S 1T0	450-373-2996	12, St-Thomas,
QC	Ormstown		primaire	Commission scolaire de la Vallée-des-Tisserands	French	http://www.csvt.qc.ca/prescolaire-primaire-et-secondaire/les-ecoles	Notre-Dame-du-Rosaire	École primaire	J0S 1K0	450-377-6063	8, rue Bridge,
QC	Huntingdon		primaire	Commission scolaire de la Vallée-des-Tisserands	French	http://www.csvt.qc.ca/prescolaire-primaire-et-secondaire/les-ecoles	Notre-Dame	École primaire	J0S 1H0	450-377-6064	15, rue York,
QC	Saint-Anicet		primaire	Commission scolaire de la Vallée-des-Tisserands	French	http://www.csvt.qc.ca/prescolaire-primaire-et-secondaire/les-ecoles	Des Jeunes-Riverains	École primaire	J0S 1M0	450-377-6060	1545, Route 132,
QC	St-Stanislas-de-Kostka		primaire	Commission scolaire de la Vallée-des-Tisserands	French	http://www.csvt.qc.ca/prescolaire-primaire-et-secondaire/les-ecoles	Notre-Dame-de-l’Assomption	École primaire	J0S 1W0	450-377-8887	115, Centrale,
QC	Salaberry-de-Valleyfield		primaire	Commission scolaire de la Vallée-des-Tisserands	French	http://www.csvt.qc.ca/prescolaire-primaire-et-secondaire/les-ecoles	Marie-Rose – Saint-André (intégrée)	École primaire	J6S 6G8	450-373-3265	5383, boul. Hébert,
QC	Salaberry-de-Valleyfield		primaire	Commission scolaire de la Vallée-des-Tisserands	French	http://www.csvt.qc.ca/prescolaire-primaire-et-secondaire/les-ecoles	Élisabeth-Monette	École primaire	J6S 4T3	450-373-1256	10, rue Kent,
QC	Salaberry-de-Valleyfield		primaire	Commission scolaire de la Vallée-des-Tisserands	French	http://www.csvt.qc.ca/prescolaire-primaire-et-secondaire/les-ecoles	Montpetit	École primaire	J6S 4A7	450-373-2420	537, rue Montpetit,
QC	Salaberry-de-Valleyfield 		primaire	Commission scolaire de la Vallée-des-Tisserands	French	http://www.csvt.qc.ca/prescolaire-primaire-et-secondaire/les-ecoles	Sainte-Agnès	École primaire	J6S 3N3	450-373-2616	269, rue Grande-Ile,
QC	Salaberry-de-Valleyfield		primaire	Commission scolaire de la Vallée-des-Tisserands	French	http://www.csvt.qc.ca/prescolaire-primaire-et-secondaire/les-ecoles	Saint-Joseph Artisan	École primaire	J6S 1H7	450-373-7431	65, rue Meloche,
QC	Salaberry-de-Valleyfield 		primaire	Commission scolaire de la Vallée-des-Tisserands	French	http://www.csvt.qc.ca/prescolaire-primaire-et-secondaire/les-ecoles	Langlois	École primaire	J6T 2A9	450-373-6661	316, rue St-Jean-Baptiste,
QC	Salaberry-de-Valleyfield		primaire	Commission scolaire de la Vallée-des-Tisserands	French	http://www.csvt.qc.ca/prescolaire-primaire-et-secondaire/les-ecoles	Frédéric-Girard	École primaire	J6T 3K3	450-373-7897	84, boul. Quévillon,
QC	Salaberry-de-Valleyfield		primaire	Commission scolaire de la Vallée-des-Tisserands	French	http://www.csvt.qc.ca/prescolaire-primaire-et-secondaire/les-ecoles	Notre-Dame-du-Saint-Esprit	École primaire	J6T 2R3	450-373-2450	92, rue Des Syndics,
QC	Salaberry-de-Valleyfield		primaire	Commission scolaire de la Vallée-des-Tisserands	French	http://www.csvt.qc.ca/prescolaire-primaire-et-secondaire/les-ecoles	Sacré-Coeur	École primaire	J6S 2P2	450-373-1270	285, rue Alphonse-Desjardins,
QC	Salaberry-de-Valleyfield		primaire	Commission scolaire de la Vallée-des-Tisserands	French	http://www.csvt.qc.ca/prescolaire-primaire-et-secondaire/les-ecoles	Saint-Eugène	École primaire	J6S 2A9	450-373-0673	415, rue Dufferin,
QC	Salaberry-de-Valleyfield		primaire	Commission scolaire de la Vallée-des-Tisserands	French	http://www.csvt.qc.ca/prescolaire-primaire-et-secondaire/les-ecoles	Edgar-Hébert	École primaire	J6T 4K1	450-371-2008	161, rue Saint-Thomas,
QC	Ste-Martine		secondaire	Commission scolaire de la Vallée-des-Tisserands	French	http://www.csvt.qc.ca/prescolaire-primaire-et-secondaire/les-ecoles	Sainte-Martine	École primaire et secondaire	J0S 1V0	450-225-4972	5, Ronald-Bélanger,
QC	Salaberry-de-Valleyfield		secondaire	Commission scolaire de la Vallée-des-Tisserands	French	http://www.csvt.qc.ca/prescolaire-primaire-et-secondaire/les-ecoles	Du Parcours	Écoles secondaires	J6T 5H3,	450-370-3701	301, rue Jacques Cartier,
QC	Beauharnois 		secondaire	Commission scolaire de la Vallée-des-Tisserands	French	http://www.csvt.qc.ca/prescolaire-primaire-et-secondaire/les-ecoles	Patriotes-de-Beauharnois	Écoles secondaires	J6N 2W8	450-225-2260	250, rue Gagnon,
QC	Salaberry-de-Valleyfield		secondaire	Commission scolaire de la Vallée-des-Tisserands	French	http://www.csvt.qc.ca/prescolaire-primaire-et-secondaire/les-ecoles	De la Baie-Saint-François	Écoles secondaires	J6T 3G2	450-377-9457	70, rue Louis VI Major,
QC	Huntingdon		secondaire	Commission scolaire de la Vallée-des-Tisserands	French	http://www.csvt.qc.ca/prescolaire-primaire-et-secondaire/les-ecoles	Arthur-Pigeon	Écoles secondaires	J0S 1H0	450-377-6065	1, rue Arthur-Pigeon,
QC	Beauharnois			Commission scolaire de la Vallée-des-Tisserands	French	http://www.csvt.qc.ca/prescolaire-primaire-et-secondaire/les-ecoles	CFP des Moissons	Centres de formation professionnelle	J6N 2W8	450-225-1084	260, rue Gagnon
QC	Saint-Chrysostome			Commission scolaire de la Vallée-des-Tisserands	French	http://www.csvt.qc.ca/prescolaire-primaire-et-secondaire/les-ecoles	Centre Saint-Joseph	Centres de formation professionnelle	J0S 1R0	450-225-4975	51, St-Pierre
QC	Salaberry-de-Valleyfield			Commission scolaire de la Vallée-des-Tisserands	French	http://www.csvt.qc.ca/prescolaire-primaire-et-secondaire/les-ecoles	CFP de la Pointe-du-Lac	Centres de formation professionnelle	J6T 6L9	450-371-2009	445, rue Jacques-Cartier, 
QC	Salaberry-de-Valleyfield			Commission scolaire de la Vallée-des-Tisserands	French	http://www.csvt.qc.ca/prescolaire-primaire-et-secondaire/les-ecoles	Centre Sainte-Cécile	Centres de formation professionnelle	J6T 4J2	450-371-7631 #4300	30, rue Saint-Thomas, 
