province	city	school_url	school_grades	school_board	school_language	response_url	school_name	school_type	postal_code	phone_number	street_address
QC	Montreal			English Montreal School Board	English	http://www.emsb.qc.ca/emsb_en/schools_en/outreach.asp?id=83	FOCUS	Outreach School	H4V 2E2	514-481-1818	4850 Coronation
QC	Montreal	 http://www.pmehs.com		English Montreal School Board	English	http://www.emsb.qc.ca/emsb_en/schools_en/outreach.asp?id=64	Programme Mile End	Outreach School	H3W 1J3	514-277-9826	4810 Van Horne
QC	Montreal	 http://www.emsb.qc.ca/venture		English Montreal School Board	English	http://www.emsb.qc.ca/emsb_en/schools_en/outreach.asp?id=71	Venture	Outreach School	H4E 1T4	514-768-1398	1741 De Biencourt Street
QC	Montreal			English Montreal School Board	English	http://www.emsb.qc.ca/emsb_en/schools_en/outreach.asp?id=72	Vezina	Outreach School	H3K 2S4	514-482-6964	600 Dublin Street
QC	Montreal	 http://www.emsb.qc.ca/perspectives2		English Montreal School Board	English	http://www.emsb.qc.ca/emsb_en/schools_en/outreach.asp?id=203	Perspectives II	Outreach School	H2A 2K9	798-2136	7770 20th Avenue
QC	Montreal	 http://www.perspectives1.ca/		English Montreal School Board	English	http://www.emsb.qc.ca/emsb_en/schools_en/outreach.asp?id=202	Perspectives I	Outreach School	H2A 2K9	798-2136	7770 20th Avenue
QC	Montreal	 http://www.outreachschool.blogspot.com		English Montreal School Board	English	http://www.emsb.qc.ca/emsb_en/schools_en/outreach.asp?id=62	Outreach	Outreach School	H4V 2E2	514-933-7488	4850 Coronation Avenue
QC	Montreal	 http://www.emsb.qc.ca/optionsii		English Montreal School Board	English	http://www.emsb.qc.ca/emsb_en/schools_en/outreach.asp?id=61	Options	Outreach School	H4E 1T4	514-769-5282	1741 De Biencourt Street
QC	Montreal	 http://face-english.csdm.ca/	Secondary	English Montreal School Board	English	http://www.emsb.qc.ca/emsb_en/schools_en/highschool.asp?id=51	FACE (3 & 4)	High School	H3A 2A8	514-350-8899	3449 University Street
QC	Westmount	 http://www.emsb.qc.ca/westmount	Secondary	English Montreal School Board	English	http://www.emsb.qc.ca/emsb_en/schools_en/highschool.asp?id=75	Westmount High School	High School	H3Z 1R1	514-933-2701	4350 St. Catherine Street West
QC	Montreal	 http://www.emsb.qc.ca/willingdon	Elementary	English Montreal School Board	English	http://www.emsb.qc.ca/emsb_en/schools_en/elementary.asp?id=49	"
  Willingdon
"	Elementary School	H4A 1B5	514-484-2881	5870 Terrebonne Avenue
QC	Westmount	 http://www.emsb.qc.ca/westmountpark	Elementary	English Montreal School Board	English	http://www.emsb.qc.ca/emsb_en/schools_en/elementary.asp?id=48	"
  Westmount Park
"	Elementary School	H3Z 2K4	514-935-4388 514-935-7338	15 Park Place
QC	Montreal	 http://www.vmc.qc.ca	Secondary	English Montreal School Board	English	http://www.emsb.qc.ca/emsb_en/schools_en/highschool.asp?id=73	Vincent Massey Collegiate	High School	H1T 3J5	514-374-1999	5925 27th Avenue
QC	Montreal West	 http://www.emsb.qc.ca/royalwest	Secondary	English Montreal School Board	English	http://www.emsb.qc.ca/emsb_en/schools_en/highschool.asp?id=111	Royal West Academy	High School	H4X 1L4	514-489-8454	189 Easton Street
QC	Montreal	 http://www.emsb.qc.ca/royalvale/	Secondary	English Montreal School Board	English	http://www.emsb.qc.ca/emsb_en/schools_en/highschool.asp?id=110	Royal Vale High School	High School	H3X 2A5	514-481-2463	5851 Somerled Avenue
QC	Montreal	 http://www.emsb.qc.ca/marymount	Secondary	English Montreal School Board	English	http://www.emsb.qc.ca/emsb_en/schools_en/highschool.asp?id=59	Marymount Academy International	High School	H3W 2G9	514-488-8144	5100 Côte St. Luc Road
QC	Montreal	 http://www.emsb.qc.ca/mind	Secondary	English Montreal School Board	English	http://www.emsb.qc.ca/emsb_en/schools_en/highschool.asp?id=2	M.I.N.D. High School	High School	H2T 2V9	514-842-0792	4563 St. Urbain Street
QC	Montreal	 http://www.emsb.qc.ca/rosemount/	Secondary	English Montreal School Board	English	http://www.emsb.qc.ca/emsb_en/schools_en/highschool.asp?id=65	Rosemount High School	High School	H1X 1H2	514-376-4720	3737 Beaubien Street East
