province	city	school_url	school_grades	school_board	school_language	response_url	school_name	school_type	postal_code	phone_number	street_address
QC	Baie D'Urfe	http://dorset.lbpsb.qc.ca/		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=012	Dorset		H9X 2Z6	514-457-3631	106, chemin Dorset
QC	Saint-Lazare	http://foresthilljr.lbpsb.qc.ca/		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=015	Forest Hill Jr.		J7T 3C2	514-798-0777	1950, rue Chanterel
QC	Dollard-des-Ormeaux	http://westpark.lbpsb.qc.ca/		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=040	Westpark		H9A 2L2	514-684-1418	6 Howard
QC	Saint-Lazare	http://evergreen.lbpsb.qc.ca/index.htm		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=014	Evergreen		J7T 2Z9	514-798-4445	2625, rue du Bordelais
QC	Dollard-des-Ormeaux	http://sunshineacademy.lbpsb.qc.ca/		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=084	Sunshine Academy		H9B 1G9	514-798-5610	65, avenue Sunshine
QC	Dollard-des-Ormeaux	http://springdale.lbpsb.qc.ca/		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=085	Springdale Elementary		H9B 1L6	514-798-0767	150, rue Hyman
QC	St. Lazare	http://birchwood.lbpsb.qc.ca/		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=050	Birchwood Elementary		J7T 1Z4	514-798-8757	1325 Jolicoeur
QC	Beaconsfield	http://stedmund.lbpsb.qc.ca/		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=030	St. Edmund		H9W 3Z8	514-697-7621	115, boulevard Beaconsfield
QC	Beaconsfield	http://sherbrooke.lbpsb.qc.ca/		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=092	Sherbrooke Academy Senior		H9W 1W1	514-798-0769	313 Windermere Road
QC	Beaconsfield	http://sherbrooke.lbpsb.qc.ca/		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=091	Sherbrooke Academy Junior		H9W 1P5	514-697-7830	230, rue Sherbrooke
QC	Pointe Claire	http://stthomas.lbpsb.qc.ca/		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=065	St. Thomas High School		H9R 1S8	514-694-3770	120 rue Ambassador
QC	Pointe Claire	http://stjohnfisher.lbpsb.qc.ca/		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=031	St. John Fisher Sr.		H9R 2L8	514-695-1112	121, avenue Summerhill
QC	Pointe Claire	http://stjohnfisher.lbpsb.qc.ca/		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=086	St. John Fisher Jr.		H9R 2N7	514-798-0746	87, avenue Belmont
QC	Beaconsfield	http://www.lbpce.ca/Our-Centres/Place-Cartier		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=302	Place Cartier		H9W 4A5	514-694-8500	257 Beaconsfield Blvd
QC	Beaconsfield	http://www.lbpce.ca/Our-Centres/Gordon-Robertson-Beauty-Academy		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=400	Gordon Robertson		H9W 6G4	514-426-5096	240 Beaurepaire Drive
QC	Pierrefonds	http://terryfox.lbpsb.qc.ca/		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=037	Terry Fox		H8Z 1P7	514-626-6253	13350 Purcell
QC	Pierrefonds	http://stcharles.lbpsb.qc.ca/		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=029	St. Charles		H9H 4G7	514-626-0480	4331, rue Saint-Anne
QC	Pierrefonds	http://www.lbpce.ca/Our-Centres/West-Island-Career-Centre		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=403	W.I.C.C.		H9A 1A7	514-620-0707	13700 Pierrefonds Blvd
QC	Pierrefonds	http://riverdale.lbpsb.qc.ca/		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=063	Riverdale High School		H8Y 3E4	514-684-9920	5060 Sources Blvd.
QC	Pierrefonds	http://pchs.lbpsb.qc.ca/		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=062	Pierrefonds Comprehensive H.S.		H9A 1A7	514-626-9610	13800 Pierrefonds Boul.
QC	Pierrefonds	http://thorndale.lbpsb.qc.ca/		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=038	Thorndale		H9H 1X1	514-626-3924	4348, rue Thorndale
QC	Pierrefonds	http://beechwood.lbpsb.qc.ca/		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=004	Beechwood		H9A 1L4	514-626-3484	13155, Shelborne
QC	Pierrefonds	http://stanthony.lbpsb.qc.ca/		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=027	St. Anthony		H9J 3P9	514-624-6614	17750, rue Meloche
QC	Pierrefonds	http://kingsdale.lbpsb.qc.ca/		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=090	Kingsdale Academy		H9H 2E8	514-626-7880	4381, rue King
QC	LaSalle	http://www.lbpce.ca/Our-Centres/PACC-Career-Centre		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=251	P.A.C.C Vocational		H8P 1E5	514-363-6213	8310 George Street
QC	LaSalle	http://www.lbpce.ca/Our-Centres/PACC-Adult-Education-Centre-		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=261	P.A.C.C Adult		H8P 1E5	514-798-5588	8300 George Street
QC	LaSalle	http://orchard.lbpsb.qc.ca/		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=089	Orchard Elementary		H8R 2T3	514-798-8351	400 80e Ave
QC	LaSalle	http://lasalle.lbpsb.qc.ca/		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=094	Lasalle Sr.		H8N 1R7	514-798-0744	1555, rue Rancourt
QC	LaSalle	http://lcchs.lbpsb.qc.ca/		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=059	Lasalle Community Comp. High School		H8P 2N9	514-595-2050	240, 9e Avenue
QC	Verdun	http://verdun.lbpsb.qc.ca/		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=047	Verdun Elementary		H4H 1S6	514-767-5344	610 Desmarchais
QC	Verdun	http://riverview.lbpsb.qc.ca/		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=024	Riverview		H4H 2C3	514-761-4524	971, avenue Riverview
QC	LaSalle	http://lasalle.lbpsb.qc.ca/		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=093	Lasalle Jr.		H8N 2A1	514-798-0743	8340, rue David-Boyer
QC	LaSalle	http://cwa.lbpsb.qc.ca/		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=009	Children's World		H8N 1J4	514-595-2043	2241, rue Ménard
QC	LaSalle	http://allion.lbpsb.qc.ca/		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=002	Allion		H8P 2N9	514-595-2040	140 - 9th Avenue
QC	Lachine	http://www.lbpce.ca/Our-Centres/Pearson-Electrotechnology-Centre		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=404	Pearson Electrotechnology		H8T 1M7	514-798-1818	5000 Rene-Huguet Street
QC	Lachine	http://maplegrove.lbpsb.qc.ca/		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=021	Maple Grove		H8T 2X6	514-798-8747	740, 52e Avenue
QC	Verdun	http://beurling.lbpsb.qc.ca/		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=069	Beurling Academy		H4H 1A5	514-766-2357	6100 Champlain Blvd.
QC	St-Télesphore	http://soulanges.lbpsb.qc.ca		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=032	Soulanges		J0P 1Y0	450-269-2452	1135, chemin St-Georges
QC	Lachine	http://lakesideacademy.lbpsb.qc.ca/		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=058	Lakeside Academy		H8T 1H8	514-637-2505	5050 Sherbrooke Street
QC	Vaudreuil-Dorion	http://petes.lbpsb.qc.ca		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=045	Pierre Elliott Trudeau		J7V 6N2	514-798-4454	490, rue Bourget
QC	Kirkland	http://margaretmanson.lbpsb.qc.ca/		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=046	Margaret Manson Elementary School		H9J 4C1	514-694-7808	18750 Elkas
QC	Hudson	http://westwood.lbpsb.qc.ca/		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=055	Westwood High School Senior Campus		J0P 1H0	514-798-4900	69 Cote St. Charles
QC	Hudson	http://mtpleasant.lbpsb.qc.ca/		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=022	Mount Pleasant		J0P 1H0	514-798-0400	97, rue  Mount Pleasant
QC	Saint-Lazare	http://westwood.lbpsb.qc.ca/		Lester B. Pearson School Board		http://www.lbpsb.qc.ca/eng/schools/elemresult.asp?myeco=066	Westwood High School Junior Campus		J7T 3E3	514-798-4500	2800, rue Du Bordelais
