province	city	school_url	school_grades	school_board	school_language	response_url	school_name	school_type	postal_code	phone_number	street_address
Québec	Montréal	http://academie-de-roberval.csdm.ca/	secondaire	Commission scolaire de Montréal	French	http://rechercheetab.csdm.qc.ca/Rechercheetablissement.aspx?recherche=nomecole&nom=&niveau=PR	Académie De Roberval	École secondaire	H2E 1R9	 514 596-5523	1370, rue De Castelnau Est
Québec	Montréal	http://Academie-Dunton.csdm.ca	secondaire	Commission scolaire de Montréal	French	http://rechercheetab.csdm.qc.ca/Rechercheetablissement.aspx?recherche=nomecole&nom=&niveau=PR	Académie Dunton	École secondaire	H1K 4B6	 514 596-2028	5555, rue De Boucherville
Québec	Montréal	http://acces-ouest.csdm.ca	secondaire	Commission scolaire de Montréal	French	http://rechercheetab.csdm.qc.ca/Rechercheetablissement.aspx?recherche=nomecole&nom=&niveau=PR	Annexe Accès	École secondaire	H2E 1Z6	 514 596-4769	8150, rue Rousselot
Québec	Montréal		primaire	Commission scolaire de Montréal	French	http://rechercheetab.csdm.qc.ca/Rechercheetablissement.aspx?recherche=nomecole&nom=&niveau=PR	Annexe Charlevoix	École primaire	H4C 3C7	 514 596-5670	633, rue De Courcelle
Québec	Montréal		primaire	Commission scolaire de Montréal	French	http://rechercheetab.csdm.qc.ca/Rechercheetablissement.aspx?recherche=nomecole&nom=&niveau=PR	Annexe la Passerelle	École primaire	H3K 1Z7	 514 596-4300	2120, rue Favard
Québec	Montréal	http://centre-champagnat.csdm.ca/		Commission scolaire de Montréal	French	http://rechercheetab.csdm.qc.ca/Rechercheetablissement.aspx?recherche=nomecole&nom=&niveau=PR	Centre Champagnat	Centre FGA	H2J 2X9	 514 350-8060	5017, rue Saint-Hubert
Québec	Montréal		primaire	Commission scolaire de Montréal	French	http://rechercheetab.csdm.qc.ca/Rechercheetablissement.aspx?recherche=nomecole&nom=&niveau=PR	Centre de réadaptation Marie-Enfant de l'Hôpital Sainte-Justine	École primaire	H1T 1C9	 514 596-8459	5200, rue Bélanger Est
Québec	Montréal		secondaire	Commission scolaire de Montréal	French	http://rechercheetab.csdm.qc.ca/Rechercheetablissement.aspx?recherche=nomecole&nom=&niveau=PR	Centre de réadaptation Marie-Enfant de l'Hôpital Sainte-Justine	École secondaire	H1T 1C9	 514 596-8459	5200, rue Bélanger Est
Québec	Montréal	http://centre-ressources-educatives.csdm.ca/		Commission scolaire de Montréal	French	http://rechercheetab.csdm.qc.ca/Rechercheetablissement.aspx?recherche=nomecole&nom=&niveau=PR	Centre de ressources éducatives et pédagogiques (CREP)	Centre FGA	H2T 2V5	 514 596-4567	5643, rue Clark
Québec	Montréal		secondaire	Commission scolaire de Montréal	French	http://rechercheetab.csdm.qc.ca/Rechercheetablissement.aspx?recherche=nomecole&nom=&niveau=PR	Centre Dollard-Cormier	École secondaire	H2X 2N7	 514 596-4288	3530, rue Saint-Urbain
Québec	Montréal	http://centre-gabrielle-roy.csdm.ca		Commission scolaire de Montréal	French	http://rechercheetab.csdm.qc.ca/Rechercheetablissement.aspx?recherche=nomecole&nom=&niveau=PR	Centre Gabrielle-Roy	Centre FGA	H1Z 3G1	 514 596-4455	8699, boulevard Saint-Michel
Québec	Montréal	http://centre-gedeon-ouimet.csdm.ca		Commission scolaire de Montréal	French	http://rechercheetab.csdm.qc.ca/Rechercheetablissement.aspx?recherche=nomecole&nom=&niveau=PR	Centre Gédéon-Ouimet	Centre FGA	H2K 3H2	 514 596-4514	1960, rue Poupart
Québec	Montréal	http://centre-tetreaultville.csdm.ca/		Commission scolaire de Montréal	French	http://rechercheetab.csdm.qc.ca/Rechercheetablissement.aspx?recherche=nomecole&nom=&niveau=PR	Centre Hochelaga-Maisonneuve	Centre FGA	H1V 3C6	 514 596-7441	2500, rue Théodore
Québec	Montréal	http://centre-lartigue.csdm.ca		Commission scolaire de Montréal	French	http://rechercheetab.csdm.qc.ca/Rechercheetablissement.aspx?recherche=nomecole&nom=&niveau=PR	Centre Lartigue	Centre FGA	H2K 4J5	 514 596-4433	2217, avenue Papineau
Québec	Montréal	http://centre-marie-mediatrice.csdm.ca/		Commission scolaire de Montréal	French	http://rechercheetab.csdm.qc.ca/Rechercheetablissement.aspx?recherche=nomecole&nom=&niveau=PR	Centre Marie-Médiatrice	Centre FGA	H2G 2J5	 514 596-5150	6200, rue des Écores
Québec	Montréal	http://centre-pauline-julien.csdm.ca/		Commission scolaire de Montréal	French	http://rechercheetab.csdm.qc.ca/Rechercheetablissement.aspx?recherche=nomecole&nom=&niveau=PR	Centre Pauline-Julien	Centre FGA	H3S 2A8	 514 736-8105	6830, chemin de la Côte-des-Neiges
Québec	Montréal	http://centre-ste-croix.csdm.ca		Commission scolaire de Montréal	French	http://rechercheetab.csdm.qc.ca/Rechercheetablissement.aspx?recherche=nomecole&nom=&niveau=PR	Centre Sainte-Croix	Centre FGA	H2P 1S6	 514 596-4381	85, rue Jarry Ouest
Québec	Montréal	http://centre-st-louis.csdm.ca		Commission scolaire de Montréal	French	http://rechercheetab.csdm.qc.ca/Rechercheetablissement.aspx?recherche=nomecole&nom=&niveau=PR	Centre Saint-Louis	Centre FGA	H2W 2L7	 514 596-5800	4285, rue Drolet, 3e étage
Québec	Montréal	http://centre-st-paul.csdm.ca		Commission scolaire de Montréal	French	http://rechercheetab.csdm.qc.ca/Rechercheetablissement.aspx?recherche=nomecole&nom=&niveau=PR	Centre Saint-Paul	Centre FGA	H4C 1S8	 514 596-4544	4976, rue Notre-Dame Ouest
Québec	Montréal	http://centre-tetreaultville.csdm.ca/		Commission scolaire de Montréal	French	http://rechercheetab.csdm.qc.ca/Rechercheetablissement.aspx?recherche=nomecole&nom=&niveau=PR	Centre Tétreaultville	Centre FGA	H1L 1H4	 514 596-5222	8300, rue De Teck
Québec	Montréal	http://centre-william-hingston.csdm.ca		Commission scolaire de Montréal	French	http://rechercheetab.csdm.qc.ca/Rechercheetablissement.aspx?recherche=nomecole&nom=&niveau=PR	Centre William-Hingston	Centre FGA	H3N 1K2	 514 596-4700	419, rue Saint-Roch 2 ième étage
Québec	Montréal	http://centre-yves-theriault.csdm.ca/		Commission scolaire de Montréal	French	http://rechercheetab.csdm.qc.ca/Rechercheetablissement.aspx?recherche=nomecole&nom=&niveau=PR	Centre Yves-Thériault	Centre FGA	H2A 1H1	 514 596-7110	3925, rue Villeray
Québec	Montréal		secondaire	Commission scolaire de Montréal	French	http://rechercheetab.csdm.qc.ca/Rechercheetablissement.aspx?recherche=nomecole&nom=&niveau=PR	CHSLD Marie-Rollet	École secondaire	H1T 1N6	 514 596-8459	5003, rue Saint-Zotique Est
