province	city	school_url	school_grades	school_board	school_language	response_url	school_name	school_type	postal_code	phone_number	street_address
QC	Laval	http://crestview.schoolqc.ca	Elementary	Sir Wilfred Laurier School Board	English	http://www.swlauriersb.qc.ca/?page=schools/crestview-elementary	Crestview Elementary School	Elementary School	H7W 4C7	450681-6703	750 Devonshire
QC	Laurentides	http://www.swlauriersb.qc.ca/schools/steagathe	Elementary	Sir Wilfred Laurier School Board	English	http://www.swlauriersb.qc.ca/?page=schools/ste-agathe-academy	Ste-Agathe Academy	Elementary School	J8C 1Z3	819326-2563	26 Napoleon
QC	Laurentides		Secondary	Sir Wilfred Laurier School Board	English	http://www.swlauriersb.qc.ca/?page=schools/mountainview-batshaw	Mountainview High School	Secondary School	J0R 1T0	514932-7722	3065 boul. Labelle
QC	Laurentides	http://www.ltmhs.ca	Secondary	Sir Wilfred Laurier School Board	English	http://www.swlauriersb.qc.ca/?page=schools/ltm-high	Lake of Two Mountains High School	Secondary School	J7R 1W6	450621-7830	2105 Guy Street
QC	Laurentides		Elementary	Sir Wilfred Laurier School Board	English	http://www.swlauriersb.qc.ca/?page=schools/pet-elementary	Pierre Elliott Trudeau Elementary School	Elementary School	J7C 5V4	450621-7606	1455, rue Jean-Paul-Riopelle
QC	Laurentides	http://www.swlauriersb.qc.ca/schools/lrhs	Secondary	Sir Wilfred Laurier School Board	English	http://www.swlauriersb.qc.ca/?page=schools/lrhs-high	Laurentian Regional High School	Secondary School	J8H 1W9	450562-8571	448 Argenteuil
QC	Laurentides	http://steadele.schoolqc.ca	Elementary	Sir Wilfred Laurier School Board	English	http://www.swlauriersb.qc.ca/?page=schools/ste-adele-elementary	Ste. Adèle Elementary School	Elementary School	J8B 2X5	450229-3226	60 Henri-Dunant
QC	Laurentides	http://www.stjudeelementary.wixsite.com/stjudeelementary	Elementary	Sir Wilfred Laurier School Board	English	http://www.swlauriersb.qc.ca/?page=schools/st-jude-elementary	St. Jude Elementary School	Elementary School	J7R 3L6	450621-7805	122 St. Jude
QC	Laurentides	http://www.swlauriersb.qc.ca/schools/mccaig	Elementary	Sir Wilfred Laurier School Board	English	http://www.swlauriersb.qc.ca/?page=schools/mccaig-elementary	McCaig Elementary School	Elementary School	J7A 1Y1	450621-6111	501 Northcote
QC	Laurentides	http://www.swlauriersb.qc.ca/schools/morinheights	Elementary	Sir Wilfred Laurier School Board	English	http://www.swlauriersb.qc.ca/?page=schools/morin-heights-elementary	Morin Heights Elementary School	Elementary School	J0R 1H0	450226-2017	647, rue Du Village
QC	Laurentides	http://www.swlauriersb.qc.ca/schools/grenville	Elementary	Sir Wilfred Laurier School Board	English	http://www.swlauriersb.qc.ca/?page=schools/grenville-elementary	Grenville Elementary School	Elementary School	J0V 1J0	819242-2852	184 Principale
QC	Lanaudière	http://joliettehighschool.com/	Secondary	Sir Wilfred Laurier School Board	English	http://www.swlauriersb.qc.ca/?page=schools/joliette-high	Joliette High School	Secondary School	J6E 6E8	450755-1556	107 Delorimier
QC	Laurentides	http://laurentianelementaryschool.ca	Elementary	Sir Wilfred Laurier School Board	English	http://www.swlauriersb.qc.ca/?page=schools/laurentian-elementary	Laurentian Elementary School	Elementary School	J8H 1T2	450562-2401	455 Court
QC	Laurentides		Elementary	Sir Wilfred Laurier School Board	English	http://www.swlauriersb.qc.ca/?page=schools/mountainview-elementary	Mountainview Elementary School	Elementary School	J7R 1W6	450621-7780	2001 Guy
QC	Laurentides	http://www.swlauriersb.qc.ca/schools/laurentia	Elementary	Sir Wilfred Laurier School Board	English	http://www.swlauriersb.qc.ca/?page=schools/laurentia-elementary	Laurentia Elementary School	Elementary School	J7Z 1H7	450438-6078	457, rue Filion
QC	Laurentides	http://www.swlauriersb.qc.ca/schools/arundel/	Elementary	Sir Wilfred Laurier School Board	English	http://www.swlauriersb.qc.ca/?page=schools/arundel-elementary	Arundel Elementary School	Elementary School	J0T 1A0	819687-9159	5 School Street
QC	Laurentides	http://www.swlauriersb.qc.ca/schools/rhs	Secondary	Sir Wilfred Laurier School Board	English	http://www.swlauriersb.qc.ca/?page=schools/rosemere-high	Rosemere High School	Secondary School	J7A 1Y2	450621-5900	530 Northcote
QC	Lanaudière		Elementary	Sir Wilfred Laurier School Board	English	http://www.swlauriersb.qc.ca/?page=schools/rawdon-elementary-middle	Rawdon Elementary School	Elementary School	J0K 1S0	450834-2427	4121 Queen Street
QC	Laval	http://lsa.schoolqc.ca	Secondary	Sir Wilfred Laurier School Board	English	http://www.swlauriersb.qc.ca/?page=schools/laval-senior-academy_overview	Laval Senior Academy	Secondary School	H7V 1W9	450686-6326	3200, Souvenir Blvd
QC	Laval	http://lja.schoolqc.ca	Secondary	Sir Wilfred Laurier School Board	English	http://www.swlauriersb.qc.ca/?page=schools/laval-junior-academy_overview	Laval Junior Academy	Secondary School	H7T 1H8	450686-1577	2323, Daniel Johnson Blvd
QC	Lanaudière		Elementary	Sir Wilfred Laurier School Board	English	http://www.swlauriersb.qc.ca/?page=schools/franklin-hill-elementary	Franklin Hill Elementary School	Elementary School	J5Y 4C8	450470-0755	1111, BasileRouthier
QC	Laval	http://phoenix.schoolqc.ca/	Secondary	Sir Wilfred Laurier School Board	English	http://www.swlauriersb.qc.ca/?page=schools/phoenix-high	Phoenix Alternative High School	Secondary School	H7G 4B8	450680-3036	1105, boul. Victor-Morin
QC	Lanaudière		Elementary	Sir Wilfred Laurier School Board	English	http://www.swlauriersb.qc.ca/?page=schools/joliette-elementary	Joliette Elementary School	Elementary School	J6E 0R3	450759-1600	345, boul. l'Assomption Ouest
QC	Laval	http://stvincent.swlsb.ca/	Elementary	Sir Wilfred Laurier School Board	English	http://www.swlauriersb.qc.ca/?page=schools/st-vincent-elementary	Saint Vincent Elementary School	Elementary School	H7C 1G6	450 680-3055 	4881, Saint-Jacques Saint-Vincent-de-Paul, 
QC	Laval	http://twinoaks.schoolqc.ca/	Elementary	Sir Wilfred Laurier School Board	English	http://www.swlauriersb.qc.ca/?page=schools/twin-oaks-elementary	Twin Oaks Elementary School	Elementary School	H7P 3T2	450680-3045	700 Lisane
