province	city	school_url	school_grades	school_board	school_language	response_url	school_name	school_type	postal_code	phone_number	street_address
Quebec	Montreal	www.solomonschechter.ca	Junior PreK-6	Private schools		https://www.cais.ca/page.cfm?p=368&start=1	Academie Solomon Schechter Academy	Day	H3X 2C9	514-485-0866	5555 chemin de la Côte St-Luc
British Columbia	Victoria	www.mygns.ca	JK-12	Private schools		https://www.cais.ca/page.cfm?p=329&start=1	Glenlyon Norfolk School	Day	V8S 4A8	250.370.6800	801 Bank Street
British Columbia	Vancouver	www.fraseracademy.ca	1-12	Private schools		https://www.cais.ca/page.cfm?p=328&start=1	Fraser Academy	Day	V6K 2H8	604-736-5575	2294 West 10th Ave
Ontario	Ottawa	www.elmwood.ca	K-12	Private schools		https://www.cais.ca/page.cfm?p=327&start=1	Elmwood School	Day	K1M 0V9	613-749-6761	261 Buena Vista Road
British Columbia	Vancouver	www.croftonhouse.ca	JK-12	Private schools		https://www.cais.ca/page.cfm?p=326&start=1	Crofton House School	Day	V6N 3E1	604-263-3255	3200 West 41st Avenue
Ontario	Toronto	www.crescentschool.org	3-12	Private schools		https://www.cais.ca/page.cfm?p=325&start=1	Crescent School	Day	M2L 1A2	416-449-2556	2365 Bayview Avenue
British Columbia	West Vancouver	www.collingwood.org	JK-12	Private schools		https://www.cais.ca/page.cfm?p=323&start=1	Collingwood School	Day	V7S 1B2	604-925-3331	70 Morven Drive
Quebec	Montreal	www.centennial.qc.ca	7-CEGEP	Private schools		https://www.cais.ca/page.cfm?p=322&start=1	Centennial Academy	Day	H4A 3H6	514-486-5533	3641 Prud'homme Avenue
Alberta	Calgary	www.cfis.com/		Private schools		https://www.cais.ca/page.cfm?p=1406&start=1	Calgary French and International School*	Day	T3H 5C8		700 77 St SW
British Columbia	Mill Bay	www.brentwood.bc.ca	9-12	Private schools		https://www.cais.ca/page.cfm?p=321&start=1	Brentwood College School	Boarding/Day	V0R 2P1	250-743-5521	2735 Mount Baker Rd
Ontario	Toronto	www.branksome.on.ca	K-12	Private schools		https://www.cais.ca/page.cfm?p=320&start=1	Branksome Hall	Boarding/Day	M4W 1N4	416-920-9741	10 Elm Avenue
Quebec	Sherbrooke	www.bishopscollegeschool.com	7-12	Private schools		https://www.cais.ca/page.cfm?p=319&start=1	Bishop's College School	Boarding/Day	J1M 1Z8	819-566-0227	80 Moulton Road, P.O. Box 5001, Succ.Lennoxville
Ontario	Toronto	www.bayviewglen.ca	K-12	Private schools		https://www.cais.ca/page.cfm?p=318&start=1	Bayview Glen School	Day	M3B 3H9	416-443-1030	275 Duncan Mill Road
Manitoba	Winnipeg	www.balmoralhall.com	K-12	Private schools		https://www.cais.ca/page.cfm?p=316&start=1	Balmoral Hall School	Boarding/Day	R3C 3S1	204-784-1600	630 Westminster Avenue
Saskatchewan	Wilcox	www.notredame.ca	9-12	Private schools		https://www.cais.ca/page.cfm?p=315&start=1	Athol Murray College of Notre Dame	Boarding/Day	S0G 5E0	306-732-2080	P.O. Box 100
Ontario	Ottawa	www.ashbury.ca	4 to 12	Private schools		https://www.cais.ca/page.cfm?p=313&start=1	Ashbury College	Boarding/Day	K1M 0T3	613-749-5954	362 Mariposa Avenue
Nova Scotia	Halifax	www.armbrae.ns.ca	Preschool-12	Private schools		https://www.cais.ca/page.cfm?p=312&start=1	Armbrae Academy	Day	B3H 3Y8	902-423-7920	1400 Oxford Street
Ontario	London	www.matthewshall.ca	JK-8	Private schools		https://www.cais.ca/page.cfm?p=349&start=21	Matthews Hall	Day	N6H 1W2	519-471-1506	1370 Oxford Street West
Alberta	Calgary	www.lycee.ca	K-12	Private schools		https://www.cais.ca/page.cfm?p=347&start=21	Lycee Louis Pasteur	Day	T2T 6G2	403-243-5420	4099 Garrison Blvd SW
Saskatchewan	Regina	www.luthercollege.edu/high-school	9-12	Private schools		https://www.cais.ca/page.cfm?p=1899&start=21	Luther College*	Boarding/Day	S4T 5A5	306.791.9150	1500 Royal Street
Quebec	Montreal	www.lcc.ca	K-12	Private schools		https://www.cais.ca/page.cfm?p=346&start=21	Lower Canada College	Day	H4A 2M5	514-482-9916	4090 avenue Royal
			Toddler - 8	Private schools		https://www.cais.ca/page.cfm?p=1927&start=21	Lakeview Montessori School*	Day			
Ontario	Lakefield	www.lcs.on.ca	9-12	Private schools		https://www.cais.ca/page.cfm?p=345&start=21	Lakefield College School	Boarding/Day	K0L 2H0	705.652.3324	4391 Country Road 29
Newfoundland	St. John's	www.lakecrest.ca	K-9	Private schools		https://www.cais.ca/page.cfm?p=344&start=21	Lakecrest Independent School	Day	A1E 2S7	709-738-1212	58 Patrick Street
Ontario	Etobicoke	www.kcs.on.ca	Nursery-8	Private schools		https://www.cais.ca/page.cfm?p=343&start=21	Kingsway College School	Day	M9A 1A5	416-234-5073	4600 Dundas Street West
Nova Scotia	Windsor	www.kes.ns.ca	6-12	Private schools		https://www.cais.ca/page.cfm?p=342&start=21	King's-Edgehill School	Boarding/Day	B0N 2T0	902-798-2278	33 King's-Edgehill Lane
British Columbia	Vancouver	www.kdhs.org		Private schools		https://www.cais.ca/page.cfm?p=1407&start=21	King David High School*	Day	V5Z 4S9	604-263-9700	5718 Willow Street
Ontario	Barrie	www.kempenfeltbayschool.ca	K-8	Private schools		https://www.cais.ca/page.cfm?p=341&start=21	Kempenfelt Bay School	Day	L4N 9P6	705-739-4731	576 Bryne Drive
Quebec	Montreal	www.jppsbialik.ca	K-11	Private schools		https://www.cais.ca/page.cfm?p=340&start=21	JPPS-Bialik*	Day	H4W 3B8	514-481-2736	6500 Kildare Road
British Columbia	Bowen Island	www.islandpacific.org/	6-9	Private schools		https://www.cais.ca/page.cfm?p=339&start=21	Island Pacific School	Day	V0N 1G0	604-947-9311	671 Carter Road, Box 128
Ontario	Richmond Hill	www.hts.on.ca	K-12	Private schools		https://www.cais.ca/page.cfm?p=338&start=21	Holy Trinity School	Day	L4S 1L4	905-737-1114	11300 Bayview Avenue
Ontario	Hamilton	www.hsc.on.ca	PreK-12, Montessori aged 1.8 -9	Private schools		https://www.cais.ca/page.cfm?p=337&start=21	Hillfield Strathallan College	Day	L9C 1G3	905-389-1367	299 Fennell Avenue West
	Devonshire	www.somersfield.bm/	Pre K-10	Private schools		https://www.cais.ca/page.cfm?p=369&start=41	Somersfield Academy	Day	DV 06	441-236-9797	107 Middle Rd.
