province	city	school_url	school_grades	school_board	school_language	response_url	school_name	school_type	postal_code	phone_number	street_address
ON	Kleinburg 	http://csviamonde.ca/ecoles/lafontaine	Elementary	Conseil scolaire Viamonde	French	http://csviamonde.ca/nosecoles/Pages/School-Detail.aspx?GroupGUID=110&CategoryCode=ELEM&city=Kleinburg	École élémentaire La Fontaine	Elementary	L0J 1C0	905 893-1280	10110, avenue Islington C.P. 279
ON	Barrie 	http://csviamonde.ca/ecoles/lasource	Elementary	Conseil scolaire Viamonde	French	http://csviamonde.ca/nosecoles/Pages/School-Detail.aspx?GroupGUID=102&CategoryCode=ELEM&city=Barrie	École élémentaire La Source	Elementary	L4N 9T2	705 730-6625	70, promenade Madelaine
ON	London 	www.facebook.com/EELaPommeraie	Elementary	Conseil scolaire Viamonde	French	http://csviamonde.ca/nosecoles/Pages/School-Detail.aspx?GroupGUID=138&CategoryCode=ELEM&city=London	École élémentaire La Pommeraie	Elementary	N6P 0C3	226 213-4515	3500, Settlement Trail
ON	Toronto 	http://csviamonde.ca/ecoles/alexandredumas	Elementary	Conseil scolaire Viamonde	French	http://csviamonde.ca/nosecoles/Pages/School-Detail.aspx?GroupGUID=151&CategoryCode=ELEM&city=Toronto	Académie Alexandre-Dumas	Elementary	M1E 2J3	416 283-7749	255, promenade Coronation
ON	Toronto 	http://csviamonde.ca/ecoles/lamosaique	Elementary	Conseil scolaire Viamonde	French	http://csviamonde.ca/nosecoles/Pages/School-Detail.aspx?GroupGUID=117&CategoryCode=ELEM&city=Toronto	École élémentaire La Mosaïque	Elementary	M4J 1Y3	416 465-5757	80 avenue Queensdale
ON	St. Catharines 	http://csviamonde.ca/ecoles/lheritage	Elementary	Conseil scolaire Viamonde	French	http://csviamonde.ca/nosecoles/Pages/School-Detail.aspx?GroupGUID=135&CategoryCode=ELEM&city=St.%20Catharines	École élémentaire L’Héritage	Elementary	L2N 3Y8	905 937-4608	35, promenade Prince Charles
ON	Guelph 	http://csviamonde.ca/ecoles/lodyssee	Elementary	Conseil scolaire Viamonde	French	http://csviamonde.ca/nosecoles/Pages/School-Detail.aspx?GroupGUID=127&CategoryCode=ELEM&city=Guelph	École élémentaire L’Odyssée	Elementary	N1E 3S9	519 837-4420	30, rue Brighton
ON	Waterloo 	http://csviamonde.ca/ecoles/lharmonie	Elementary	Conseil scolaire Viamonde	French	http://csviamonde.ca/nosecoles/Pages/School-Detail.aspx?GroupGUID=126&CategoryCode=ELEM&city=Waterloo	École élémentaire L’Harmonie	Elementary	N2J 2K4	519 746-7224	158, Bridgeport Est
ON	Windsor 	http://csviamonde.ca/ecoles/lenvolee	Elementary	Conseil scolaire Viamonde	French	http://csviamonde.ca/nosecoles/Pages/School-Detail.aspx?GroupGUID=160&CategoryCode=ELEM&city=Windsor	École élémentaire L’Envolée	Elementary	N8Y 1R4	519 259-4860	1799, rue Ottawa
ON	Toronto 	http://csviamonde.ca/ecoles/jeannelajoie	Elementary	Conseil scolaire Viamonde	French	http://csviamonde.ca/nosecoles/Pages/School-Detail.aspx?GroupGUID=112&CategoryCode=ELEM&city=Toronto	École élémentaire Jeanne-Lajoie	Elementary	M4A 2K7	416 397-2080	150, rue Carnforth
ON	Toronto 	http://csviamonde.ca/ecoles/gabrielleroy	Elementary	Conseil scolaire Viamonde	French	http://csviamonde.ca/nosecoles/Pages/School-Detail.aspx?GroupGUID=113&CategoryCode=ELEM&city=Toronto	École élémentaire Gabrielle-Roy	Elementary	M5A 2N7	416 393-1360	14, rue Pembroke
ON	Mississauga 	http://csviamonde.ca/ecoles/horizonjeunesse	Elementary	Conseil scolaire Viamonde	French	http://csviamonde.ca/nosecoles/Pages/School-Detail.aspx?GroupGUID=120&CategoryCode=ELEM&city=Mississauga	École élémentaire Horizon Jeunesse	Elementary	L5J 3R2	905 403-0950	1445, promenade Lewisham
ON	Toronto 	http://csviamonde.ca/ecoles/felixleclerc	Elementary	Conseil scolaire Viamonde	French	http://csviamonde.ca/nosecoles/Pages/School-Detail.aspx?GroupGUID=115&CategoryCode=ELEM&city=Toronto	École élémentaire Félix-Leclerc	Elementary	M9R 3N3	416 397-2075	50, chemin Celestine
ON	Orangeville 	http://csviamonde.ca/ecoles/quatrerivieres	Elementary	Conseil scolaire Viamonde	French	http://csviamonde.ca/nosecoles/Pages/School-Detail.aspx?GroupGUID=106&CategoryCode=ELEM&city=Orangeville	École élémentaire des Quatre-Rivières	Elementary	L9W 3K4	519 940-5145	60, promenade Century
ON	Oakville 	http://csviamonde.ca/ecoles/duchene	Elementary	Conseil scolaire Viamonde	French	http://csviamonde.ca/nosecoles/Pages/School-Detail.aspx?GroupGUID=168&CategoryCode=ELEM&city=Oakville	École élémentaire du Chêne	Elementary	L6H 1B8	905 815-8900	150, promenade Ridge
ON	Barrie 	http://csviamonde.ca/ecoles/romeodallaire	Secondary	Conseil scolaire Viamonde	French	http://csviamonde.ca/nosecoles/Pages/School-Detail.aspx?GroupGUID=279&CategoryCode=SEC&city=Barrie	École secondaire Roméo-Dallaire	Secondary	L4N 9E9	705 792-2341	736, chemin Essa
ON	Penetanguishene 	http://csviamonde.ca/ecoles/lecaron	Secondary	Conseil scolaire Viamonde	French	http://csviamonde.ca/nosecoles/Pages/School-Detail.aspx?GroupGUID=299&CategoryCode=SEC&city=Penetanguishene	École secondaire Le Caron	Secondary	L9M 1N8	705 549-3202	22, rue John
ON	Hamilton 	http://csviamonde.ca/ecoles/georgespvanier	Secondary	Conseil scolaire Viamonde	French	http://csviamonde.ca/nosecoles/Pages/School-Detail.aspx?GroupGUID=229&CategoryCode=SEC&city=Hamilton	École secondaire Georges-P.-Vanier	Secondary	L8S 3S1	905 528-0301	100, rue Macklin Nord
ON	Brampton 	http://csviamonde.ca/ecoles/jeunessansfrontieres	Secondary	Conseil scolaire Viamonde	French	http://csviamonde.ca/nosecoles/Pages/School-Detail.aspx?GroupGUID=208&CategoryCode=SEC&city=Brampton	École secondaire Jeunes sans frontières	Secondary	L6Y 5P4	905 450-1106	7585, promenade Financial
ON	Oakville 	http://csviamonde.ca/ecoles/gaetangervais	Secondary	Conseil scolaire Viamonde	French	http://csviamonde.ca/nosecoles/Pages/School-Detail.aspx?GroupGUID=263&CategoryCode=SEC&city=Oakville	École secondaire Gaétan-Gervais	Secondary	L6H 1B8	905 815-8900	150, promenade Ridge
ON	London 	http://csviamonde.ca/ecoles/gabrieldumont	Secondary	Conseil scolaire Viamonde	French	http://csviamonde.ca/nosecoles/Pages/School-Detail.aspx?GroupGUID=249&CategoryCode=SEC&city=London	École secondaire Gabriel-Dumont	Secondary	N6M 0B1	519 673-4552	2463, boulevard Evans
ON	Sarnia 	http://csviamonde.ca/ecoles/francojeunesse	Secondary	Conseil scolaire Viamonde	French	http://csviamonde.ca/nosecoles/Pages/School-Detail.aspx?GroupGUID=259&CategoryCode=SEC&city=Sarnia	École secondaire Franco-Jeunesse	Secondary	N7S 6K2	519 542-5970	901, Promenade Rapids
ON	Windsor 	http://csviamonde.ca/ecoles/lamothecadillac	Secondary	Conseil scolaire Viamonde	French	http://csviamonde.ca/nosecoles/Pages/School-Detail.aspx?GroupGUID=269&CategoryCode=SEC&city=Windsor	École secondaire de Lamothe-Cadillac	Secondary	N9B 1X4	519 253-0929	1775, rue Totten
ON	Toronto 	http://csviamonde.ca/ecoles/etiennebrule	Secondary	Conseil scolaire Viamonde	French	http://csviamonde.ca/nosecoles/Pages/School-Detail.aspx?GroupGUID=218&CategoryCode=SEC&city=Toronto	École secondaire Étienne-Brûlé	Secondary	M2L 2V3	416 397-2085	300, chemin Banbury
ON	Welland 	http://csviamonde.ca/ecoles/confederation	Secondary	Conseil scolaire Viamonde	French	http://csviamonde.ca/nosecoles/Pages/School-Detail.aspx?GroupGUID=239&CategoryCode=SEC&city=Welland	École secondaire Confédération	Secondary	L3B 4G2	905 732-1361	670, avenue Tanguay
