province	city	school_url	school_grades	school_board	school_language	response_url	school_name	school_type	postal_code	phone_number	street_address
ON				Durham Catholic District School Board		http://www.dcdsb.ca/modules/Facilities/Detail.aspx?id=fbd78e00-02ea-45d1-a316-13304a64ab26	Giffard Centre			905-666-1255	1003 Giffard Street
ON	Pickering	http://fatherfenelon.dcdsb.ca/		Durham Catholic District School Board		http://www.dcdsb.ca/modules/Facilities/Detail.aspx?id=2fb65d1a-ebfc-4f7c-84a7-f2803aef0c2c	Father Fenelon Catholic School		L1W 2K2	905-839-5409	795 Eyer Drive
ON	Ajax	http://doc.dcdsb.ca/		Durham Catholic District School Board		http://www.dcdsb.ca/modules/Facilities/Detail.aspx?id=a78ca113-f095-4bb8-8fc9-85782d029482	Archbishop Denis O'Connor Catholic High School 			905-427-6667	80 Mandrake Street
ON	Whitby	http://allsaints.dcdsb.ca/		Durham Catholic District School Board		http://www.dcdsb.ca/modules/Facilities/Detail.aspx?id=084af01e-19c1-419f-b583-de8d9984d63f	All Saints Catholic Secondary School		L1P 1M1	905-666-7753	3001 Country Lane
ON	Whitby	http://fatherdonmaclellan.dcdsb.ca/		Durham Catholic District School Board		http://www.dcdsb.ca/modules/Facilities/Detail.aspx?id=33d3a95f-1e22-4f83-b11b-3272b2432de2	Father Donald MacLellan Catholic Secondary School		L1N 2C3	905-666-1146	1500 Hopkins Street
ON	Whitby	http://austin.dcdsb.ca/		Durham Catholic District School Board		http://www.dcdsb.ca/modules/Facilities/Detail.aspx?id=bc382523-fec9-43a3-85ea-29dd6730670b	Father Leo J. Austin Catholic Secondary School 		L1R 2A2	905-666-2010	1020 Dryden Boulevard
ON	Oshawa	http://fjvenini.dcdsb.ca/		Durham Catholic District School Board		http://www.dcdsb.ca/modules/Facilities/Detail.aspx?id=ebb38034-b19a-4add-9f6b-997488522b77	Father Joseph Venini Catholic School		LwG 3X9	905-723-2421	120 Glovers Road
ON		http://holyfamily.dcdsb.ca/		Durham Catholic District School Board		http://www.dcdsb.ca/modules/Facilities/Detail.aspx?CategoryIds=&FacilityTypeIds=&Keywords=&Page=2&CloseMap=false&Scroll=true&id=51f3c056-8de8-45f8-8c7d-f692ab85041f	Holy Family Catholic School			705-426-2961	720 Simcoe Street, PO Box 830
ON	Oshawa	http://sal.dcdsb.ca		Durham Catholic District School Board		http://www.dcdsb.ca/modules/Facilities/Detail.aspx?CategoryIds=&FacilityTypeIds=&Keywords=&Page=2&CloseMap=false&Scroll=true&id=86b29482-7a98-41a3-a605-5013d57fb643	Sir Albert Love Catholic School		L1G 6E6	905-728-3971	425 Wilson Road North
ON	Oshawa	http://coffey.dcdsb.ca/		Durham Catholic District School Board		http://www.dcdsb.ca/modules/Facilities/Detail.aspx?CategoryIds=&FacilityTypeIds=&Keywords=&Page=2&CloseMap=false&Scroll=true&id=f6209d05-6d8c-4c98-9b59-88aee570f8a8	Monsignor Philip Coffey Catholic School		L1J 3W6	905-723-4241	1324 Oxford Street
ON	Oshawa	http://pauldwyer.dcdsb.ca/		Durham Catholic District School Board		http://www.dcdsb.ca/modules/Facilities/Detail.aspx?CategoryIds=&FacilityTypeIds=&Keywords=&Page=2&CloseMap=false&Scroll=true&id=ddf5953e-3d1c-4fd3-9011-d4482a08a37a	Monsignor Paul Dwyer Catholic High School 		L1J 7S2	905-723-5255	700 Stevenson Road North
ON	Ajax	http://stbernadette.dcdsb.ca/		Durham Catholic District School Board		http://www.dcdsb.ca/modules/Facilities/Detail.aspx?CategoryIds=&FacilityTypeIds=&Keywords=&Page=2&CloseMap=false&Scroll=true&id=cadf7f54-fa31-4f9e-a45b-34603b4c379b	St. Bernadette Catholic School		L1S 1P2	905-683-0571	41 Bayly Street East
ON	Whitby	http://stbernard.dcdsb.ca/		Durham Catholic District School Board		http://www.dcdsb.ca/modules/Facilities/Detail.aspx?CategoryIds=&FacilityTypeIds=&Keywords=&Page=2&CloseMap=false&Scroll=true&id=bd6b5a6b-76d3-4aaf-af8f-c60191afbe5e	St. Bernard Catholic School		L1R 2A2	905-668-3772	1000 Dryden Boulevard
ON	Ajax	http://notredame.dcdsb.ca/		Durham Catholic District School Board		http://www.dcdsb.ca/modules/Facilities/Detail.aspx?CategoryIds=&FacilityTypeIds=&Keywords=&Page=2&CloseMap=false&Scroll=true&id=e115e548-71cc-4559-a229-06d607bd22f8	Notre Dame Catholic Secondary School		L1T 4G8	905-686-4300	1375 Harwood Ave North
ON	Port Perry	http://gshepherd.dcdsb.ca/		Durham Catholic District School Board		http://www.dcdsb.ca/modules/Facilities/Detail.aspx?CategoryIds=&FacilityTypeIds=&Keywords=&Page=2&CloseMap=false&Scroll=true&id=b74b972d-a647-46c3-b0e1-d5b243b31ec2	Good Shepherd Catholic School		L1W 2K2	905-985-0153	1650 Reach Street
ON	Oshawa	http://jpereyma.dcdsb.ca/		Durham Catholic District School Board		http://www.dcdsb.ca/modules/Facilities/Detail.aspx?CategoryIds=&FacilityTypeIds=&Keywords=&Page=2&CloseMap=false&Scroll=true&id=33876b6c-a9d2-40c9-86bb-60b9cec0e523	Monsignor John Pereyma Catholic Secondary School		L1H 3S6	905-432-8470	316 Conant Street
ON	Ajax	http://brotherandre.dcdsb.ca/		Durham Catholic District School Board		http://www.dcdsb.ca/modules/Facilities/Detail.aspx?CategoryIds=&FacilityTypeIds=&Keywords=&Page=2&CloseMap=false&Scroll=true&id=dc4ade1b-b9ed-43fd-8772-1715e174e97e	St. André Bessette Catholic School		L1T 4Y4	905-619-8021	60 Seggar Avenue
ON	Ajax	http://stcatherine.dcdsb.ca/		Durham Catholic District School Board		http://www.dcdsb.ca/modules/Facilities/Detail.aspx?CategoryIds=&FacilityTypeIds=&Keywords=&Page=3&CloseMap=false&Scroll=true&id=fbdc43db-71a1-4361-af82-643307560dc1	St. Catherine of Siena Catholic School			905-427-6105	15 Bennett Avenue
ON	Brooklin	http://stbridget.dcdsb.ca/		Durham Catholic District School Board		http://www.dcdsb.ca/modules/Facilities/Detail.aspx?CategoryIds=&FacilityTypeIds=&Keywords=&Page=3&CloseMap=false&Scroll=true&id=6390ad9d-2b58-4225-9eb1-87c44bbd88e7	St. Bridget Catholic School			905-655-1875	200 Carnwith Drive West
