province	city	school_url	school_grades	school_board	school_language	response_url	school_name	school_type	postal_code	phone_number	street_address
Ontario	Whitby	http://ddsb.ca/school/thornton/Pages/default.aspx	(K - Grade 8)	Durham District School Board		http://ddsb.ca/Schools/OurSchools/Pages/Dr-R-Thornton-P-S.aspx	Dr. R. Thornton Public School	Elementary School	L1N 3L4	905-723-991	101 Hazelwood Drive
Ontario	Whitby	http://ddsb.ca/school/fairman/Pages/default.aspx	(K - Grade 8)	Durham District School Board		http://ddsb.ca/Schools/OurSchools/Pages/EA-Fairman-P-S.aspx	E.A. Fairman Public School	Elementary School	L1N 2W8	905-668-225	620 Walnut Street
Ontario	Pickering	http://ddsb.ca/school/ebphin/Pages/default.aspx	(K - Grade 8)	Durham District School Board		http://ddsb.ca/Schools/OurSchools/Pages/Elizabeth-B-Phin-P-S.aspx	Elizabeth B. Phin Public School	Elementary School	L1V 1N1	905-509-2277	1500 Rougemount Drive
Ontario	Ajax	http://ddsb.ca/school/eagleridge/Pages/default.aspx	(K - Grade 8)	Durham District School Board		http://ddsb.ca/Schools/OurSchools/Pages/Eagle-Ridge-P-S.aspx	Eagle Ridge Public School	Elementary School	L1T 4N1	905-426-446	425 Delaney Drive
Ontario	Oshawa	http://ddsb.ca/school/adelaide/Pages/default.aspx	(K - Grade 8)	Durham District School Board		http://ddsb.ca/Schools/OurSchools/Pages/Adelaide-McLaughlin-P-S.aspx	Adelaide McLaughlin Public School	Elementary School	L1J 5P1	905-728-052	630 Stevenson Road North
Ontario	Port Perry	http://ddsb.ca/school/epsom/Pages/default.aspx	(K - Grade 8)	Durham District School Board		http://ddsb.ca/Schools/OurSchools/Pages/Epsom-P-S.aspx	Epsom Public School	Elementary School	L9L 1Y2	905-985-725	16051 Marsh Hill Road
Ontario	Ajax	http://ddsb.ca/school/duffinsbay/Pages/default.aspx	(K - Grade 8)	Durham District School Board		http://ddsb.ca/Schools/OurSchools/Pages/Duffins-Bay-P-S.aspx	Duffin's Bay Public School	Elementary School	L1S 3G4	905-683-602	66 Pittmann Crescent
Ontario	Oshawa	http://ddsb.ca/school/phillips/Pages/default.aspx	(K - Grade 8)	Durham District School Board		http://ddsb.ca/Schools/OurSchools/Pages/Dr-SJ-Phillips-P-S.aspx	Dr. S.J. Phillips Public School	Elementary School	L1G 4V5	905-725-423	625 Simcoe Street North
Ontario	Ajax	http://ddsb.ca/school/davinci/Pages/default.aspx	(K - Grade 8)	Durham District School Board		http://ddsb.ca/Schools/OurSchools/Pages/DaVinci-P-S.aspx	da Vinci Public School	Elementary School	L1T 0A9	905-686-277	61 Williamson Drive East
Ontario	Ajax	http://ddsb.ca/school/bondar/Pages/default.aspx	(K - Grade 8)	Durham District School Board		http://ddsb.ca/Schools/OurSchools/Pages/Dr-Roberta-Bondar-P-S.aspx	Dr. Roberta Bondar Public School	Elementary School	L1T 3L3	905-686-108	25 Sullivan Drive
