province	city	school_url	school_grades	school_board	school_language	response_url	school_name	school_type	postal_code	phone_number	street_address
Ontario	Mississauga	http://www.dpcdsb.org/ALLST		Dufferin-Peel Catholic District School Board		http://www3.dpcdsb.org/schools/school-directory	All Saints Separate School		L5L 4E8	905-8286348	4105 Colonial Drive,
Ontario	Mississauga	http://www.dpcdsb.org/ROMER		Dufferin-Peel Catholic District School Board		http://www3.dpcdsb.org/schools/school-directory	Archbishop Romero Catholic SS		L5M4G8	905-4121000	2495 Credit Valley Road,
Ontario	Mississauga	http://www.dpcdsb.org/ASCEN		Dufferin-Peel Catholic District School Board		http://www3.dpcdsb.org/schools/school-directory	Ascension of Our Lord Secondary School		L4T 3H7	905-6761287	7640 Anaka Drive,
Ontario	Brampton	http://www.dpcdsb.org/BFALN		Dufferin-Peel Catholic District School Board		http://www3.dpcdsb.org/schools/school-directory	Bishop Francis Allen School		L6Y 1Z4	905-4574677	325 McMurchy Avenue South,
Ontario	Mississauga	http://www.dpcdsb.org/BSCAL		Dufferin-Peel Catholic District School Board		http://www3.dpcdsb.org/schools/school-directory	Bishop Scalabrini Separate School		L5B 3J5	905-8963665	225 Central Parkway West,
Ontario	Mississauga	http://www.dpcdsb.org/CMART		Dufferin-Peel Catholic District School Board		http://www3.dpcdsb.org/schools/school-directory	Canadian Martyrs Catholic School		L5A 3R7	905-2750094	1185 Mississauga Valley Blvd.,
Ontario	Brampton	http://www.dpcdsb.org/AMBRO		Dufferin-Peel Catholic District School Board		http://www3.dpcdsb.org/schools/school-directory	Cardinal Ambrozic CSS		L6P3A2	905-9132989	10 Castle Oaks Crossing,
Ontario	Brampton	http://www.dpcdsb.org/LEGER		Dufferin-Peel Catholic District School Board		http://www3.dpcdsb.org/schools/school-directory	Cardinal Leger Secondary School		L6W 3K5	905-4532232	75 Mary Street,
Ontario	Brampton	http://www.dpcdsb.org/CNEWM		Dufferin-Peel Catholic District School Board		http://www3.dpcdsb.org/schools/school-directory	Cardinal Newman Catholic School		L6T 1X1	905-7922268	698 Balmoral Drive,
Ontario	Mississauga	http://www.dpcdsb.org/CKING		Dufferin-Peel Catholic District School Board		http://www3.dpcdsb.org/schools/school-directory	Christ the King Catholic School		L5L 5A3	905-5690220	3240 Garthwood Road,
Ontario	Mississauga	http://www.dpcdsb.org/CORPC		Dufferin-Peel Catholic District School Board		http://www3.dpcdsb.org/schools/school-directory	Corpus Christi Separate School		L5B 3N4	905-8977037	4155 Elora Drive,
Ontario	Mississauga	http://www.dpcdsb.org/DMRCY		Dufferin-Peel Catholic District School Board		http://www3.dpcdsb.org/schools/school-directory	Divine Mercy Elementary School		L5M 5C6	905-8125445	2840 Duncairn Drive,
Ontario	Brampton	http://www.dpcdsb.org/CWSUL		Dufferin-Peel Catholic District School Board		http://www3.dpcdsb.org/schools/school-directory	Father C.W. Sullivan School		L6V 2C1	905-4535020	62 Seaborn Road,
Ontario	Brampton	http://www.dpcdsb.org/FCTIP		Dufferin-Peel Catholic District School Board		http://www3.dpcdsb.org/schools/school-directory	Father Clair Tipping School		L6R 1J3	905-7891741	25 Mountainberry Rd.,
Ontario	Mississauga	http://www.dpcdsb.org/ZANON		Dufferin-Peel Catholic District School Board		http://www3.dpcdsb.org/schools/school-directory	Father Daniel Zanon		L5B 4J3	905-2793722	450 Hillcrest Ave.,
Ontario	Brampton	http://www.dpcdsb.org/MCSPI		Dufferin-Peel Catholic District School Board		http://www3.dpcdsb.org/schools/school-directory	Father Francis McSpiritt Catholic Elementary School		L6P 2B1	905-7945031	55 Lexington Road,
Ontario	Mississauga	http://www.dpcdsb.org/GOETZ		Dufferin-Peel Catholic District School Board		http://www3.dpcdsb.org/schools/school-directory	Father Michael Goetz Secondary School		L5B 3K6	905-2770326	330 Central Parkway West,
Ontario	Brampton	http://www.dpcdsb.org/GVANI		Dufferin-Peel Catholic District School Board		http://www3.dpcdsb.org/schools/school-directory	Georges Vanier Catholic School		L6T 3H9	905-7922251	28 Finchgate Boulevard,
Ontario	Brampton	http://www.dpcdsb.org/GSHEP		Dufferin-Peel Catholic District School Board		http://www3.dpcdsb.org/schools/school-directory	Good Shepherd Elementary School		L6R 2H9	905-7911039	28 Red River Drive,
Ontario	Brampton	http://www.dpcdsb.org/GANGL		Dufferin-Peel Catholic District School Board		http://www3.dpcdsb.org/schools/school-directory	Guardian Angels Elementary School		L7A 2H4	905-5950909	62 Heatherdale Dr.,
Ontario	Mississauga	http://www.dpcdsb.org/HCROS		Dufferin-Peel Catholic District School Board		http://www3.dpcdsb.org/schools/school-directory	Holy Cross Separate School		L4T 1Y4	905-6775660	3615 Morning Star Drive,
Ontario	Bolton	http://www.dpcdsb.org/HOFAM		Dufferin-Peel Catholic District School Board		http://www3.dpcdsb.org/schools/school-directory	Holy Family Elementary School		L7E 1P7	905-8571300	61 Allan Drive,
Ontario	Brampton	http://www.dpcdsb.org/HNMRY		Dufferin-Peel Catholic District School Board		http://www3.dpcdsb.org/schools/school-directory	Holy Name of Mary Catholic Secondary School		L6S 3J7	905-4585541	115 Glenvale Blvd.,
Ontario	Brampton	http://www.dpcdsb.org/SPRIT		Dufferin-Peel Catholic District School Board		http://www3.dpcdsb.org/schools/school-directory	Holy Spirit Elementary School		L6P1W9	905-7948039	25 Bloomsbury Avenue,
Ontario	Mississauga	http://www.dpcdsb.org/IONAS		Dufferin-Peel Catholic District School Board		http://www3.dpcdsb.org/schools/school-directory	Iona Catholic Secondary School		L5J 2M4	905-8230136	2170 South Sheridan Way,
Ontario	Mississauga	http://www.dpcdsb.org/CABOT		Dufferin-Peel Catholic District School Board		http://www3.dpcdsb.org/schools/school-directory	John Cabot Catholic Secondary School		L4W 3L6	905-2791554	635 Willowbank Trail,
Ontario	Brampton	http://www.dpcdsb.org/LBPEA		Dufferin-Peel Catholic District School Board		http://www3.dpcdsb.org/schools/school-directory	Lester B. Pearson Catholic School		L6S 2G1	905-7934861	140 Howden Boulevard,
Ontario	Mississauga	http://www.dpcdsb.org/LOYOL		Dufferin-Peel Catholic District School Board		http://www3.dpcdsb.org/schools/school-directory	Loyola Catholic Secondary School		L5L6B1	905-8209822	4010 Sladeview Cres.,
Ontario	Mississauga	http://www.dpcdsb.org/MAFIX		Dufferin-Peel Catholic District School Board		http://www3.dpcdsb.org/schools/school-directory	Mary Fix Catholic School		L5B 2M4	905-2703140	486 Paisley Boulevard West,
Ontario	Mississauga	http://www.dpcdsb.org/ANDRE		Dufferin-Peel Catholic District School Board		http://www3.dpcdsb.org/schools/school-directory	Metropolitan Andrei Separate School		L5A 3G6	905-2704151	515 Mississauga Valley Blvd,
Ontario	Brampton	http://www.dpcdsb.org/NDAME		Dufferin-Peel Catholic District School Board		http://www3.dpcdsb.org/schools/school-directory	Notre Dame Secondary School		L6Z 4L5	905-8402802	2 Notre Dame Avenue,
