province	city	school_url	school_grades	school_board	school_language	response_url	school_name	school_type	postal_code	phone_number	street_address
 Ontario	Oakville	http://elem.hcdsb.org/stgregory/	Elementary	Halton Catholic District School Board		http://www.hcdsb.org/Schools/Profiles/Pages/St-Gregory-the-Great-Elementary-School.aspx	St. Gregory the Great Elementary School	Elementary School	 L6M0T7	905-257-9432	138 Sixteen Mile Drive
 Ontario	Burlington	http://schools.hcdsb.org/ascn	Elementary	Halton Catholic District School Board		http://www.hcdsb.org/Schools/Profiles/Pages/Ascension-Elementary-School.aspx	Ascension Elementary School	Elementary School	 L7L 1V3	905-333-3374	5205 New Street
 Ontario	Oakville	http://schools.hcdsb.org/bern	Elementary	Halton Catholic District School Board		http://www.hcdsb.org/Schools/Profiles/Pages/St-Bernadette-Elementary-School.aspx	St. Bernadette Elementary School	Elementary School	 L6M 3A4	905-827-7235	1201 Heritage Way
 Ontario	Oakville	http://schools.hcdsb.org/moth	Elementary	Halton Catholic District School Board		http://www.hcdsb.org/Schools/Profiles/Pages/Mother-Teresa-Elementary-School.aspx	Mother Teresa Elementary School	Elementary School	 L6M 3N2	905-825-6382	1190 Westview Terrace
 Ontario	Burlington	http://www.hcdsb.org/schools/mark	Elementary	Halton Catholic District School Board		http://www.hcdsb.org/Schools/Profiles/Pages/St-Mark-Elementary-School.aspx	St. Mark Elementary School	Elementary School	 L7P 4G1	905-336-3911	2145 Upper Middle Road
 Ontario	Burlington	http://ntdm.hcdsb.org	Secondary	Halton Catholic District School Board		http://www.hcdsb.org/Schools/Profiles/Pages/Notre-Dame-Secondary-School.aspx	Notre Dame Secondary School	Secondary School	 L7M 3X6	905-335-1544	2333 Headon Forest Drive
 Ontario	Burlington	http://schools.hcdsb.org/gabr	Elementary	Halton Catholic District School Board		http://www.hcdsb.org/Schools/Profiles/Pages/St-Gabriel-Elementary-School.aspx	St. Gabriel Elementary School	Elementary School	 L7P 1S9	905-332-3333	2227 Parkway Drive
 Ontario	Burlington	http://schools.hcdsb.org/cdnm	Elementary	Halton Catholic District School Board		http://www.hcdsb.org/Schools/Profiles/Pages/Canadian-Martyrs-Elementary-School.aspx	Canadian Martyrs Elementary School	Elementary School	 L7M 1K1	905-336-5792	3201 Lansdown Drive
 Ontario	Burlington	http://schools.hcdsb.org/timb	Elementary	Halton Catholic District School Board		http://www.hcdsb.org/Schools/Profiles/Pages/St-Timothy-Elementary-School.aspx	St. Timothy Elementary School	Elementary School	 L7M 4C7	905-332-5253	2141 Deer Run Avenue
 Ontario	Oakville	http://www.haltonalc.com		Halton Catholic District School Board		http://www.hcdsb.org/Schools/Profiles/Pages/Thomas-Merton-Centre-for-ConEd-(Oakville).aspx	Thomas Merton Centre for ConEd (Oakville)		 L6K 3W8	905-849-7555	171 Speers Road
 Ontario	Milton	http://www.haltonalc.com		Halton Catholic District School Board		http://www.hcdsb.org/Schools/Profiles/Pages/Thomas-Merton-Centre-for-ConEd-(Milton).aspx	Thomas Merton Centre for ConEd (Milton)		 L9T 3Z3	905-693-6676	875 Main Street East
 Ontario	Burlington	http://www.haltonalc.com		Halton Catholic District School Board		http://www.hcdsb.org/Schools/Profiles/Pages/Thomas-Merton-Centre-for-ConEd%20(Burlington).aspx	Thomas Merton Centre for ConEd (Burlington)		 L7R4B8	905-632-5858	760 Brant Street
 Ontario	Milton	http://schools.hcdsb.org/quen	Elementary	Halton Catholic District School Board		http://www.hcdsb.org/Schools/Profiles/Pages/Queen-of-Heaven-Elementary-School.aspx	Queen of Heaven Elementary School	Elementary School	 L9T 7M4	289-851-9329	311 Savoline Blvd
 Ontario	Milton	http://schools.hcdsb.org/bene	Elementary	Halton Catholic District School Board		http://www.hcdsb.org/Schools/Profiles/Pages/St-Benedict-Elementary-School.aspx	St. Benedict Elementary School	Elementary School	 L9T 8N2	289-851-9353	80 McLaughlin Avenue
 Ontario	Milton	http://schools.hcdsb.org/olfa	Elementary	Halton Catholic District School Board		http://www.hcdsb.org/Schools/Profiles/Pages/Lady-of-Fatima-Elementary-School.aspx	Our Lady of Fatima Elementary School	Elementary School	 L9T 6Z3	905-864-0720	709 Bolingbroke Drive
 Ontario	Oakville	http://schools.hcdsb.org/vinc	Elementary	Halton Catholic District School Board		http://www.hcdsb.org/Schools/Profiles/Pages/St-Vincent-Elementary-School.aspx	St. Vincent Elementary School	Elementary School	 L6J 2A4	905-849-0777	1280 Braeside Drive
 Ontario	Milton	http://schools.hcdsb.org/lucm	Elementary	Halton Catholic District School Board		http://www.hcdsb.org/Schools/Profiles/Pages/Lumen-Christi-Elementary-School.aspx	Lumen Christi Elementary School	Elementary School	 L9T 0Z1	905-636-9692	841 Savoline Blvd.
 Ontario	Oakville	http://sta.hcdsb.org	Secondary	Halton Catholic District School Board		http://www.hcdsb.org/Schools/Profiles/Pages/St-Thomas-Aquinas-Secondary-School-.aspx	St. Thomas Aquinas Secondary School	Secondary School	 L6K 2W1	905-842-9494	124 Dorval Drive
 Ontario	Oakville	http://schools.hcdsb.org/joso	Elementary	Halton Catholic District School Board		http://www.hcdsb.org/Schools/Profiles/Pages/St-Joseph-(Oakville)-Elementary-School.aspx	St. Joseph (Oakville) Elementary School	Elementary School	 L6L 4N4	905-827-4231	477 Warminster Drive
 Ontario	Oakville	http://schools.hcdsb.org/luke	Elementary	Halton Catholic District School Board		http://www.hcdsb.org/Schools/Profiles/Pages/St-Luke-Elementary-School.aspx	St. Luke Elementary School	Elementary School	 L6J 7G5	905-829-1700	2750 Kingsway Drive
 Ontario	Oakville	http://schools.hcdsb.org/stja	Elementary	Halton Catholic District School Board		http://www.hcdsb.org/Schools/Profiles/Pages/St-James-Elementary-School.aspx	St. James Elementary School	Elementary School	 L6K 2S2	905-339-0731	255 Morden Road
 Ontario	Oakville	http://schools.hcdsb.org/domi	Elementary	Halton Catholic District School Board		http://www.hcdsb.org/Schools/Profiles/Pages/St-Dominic-Elementary-School.aspx	St. Dominic Elementary School	Elementary School	 L6L 2B1	905-827-4401	2405 Rebecca Street
 Ontario	Oakville	http://schools.hcdsb.org/jofa	Elementary	Halton Catholic District School Board		http://www.hcdsb.org/Schools/Profiles/Pages/St-Joan-of-Arc-Elementary-School-.aspx	St. Joan of Arc Elementary School	Elementary School	 L6M 4T7	905-847-3581	2912 Westoak Trails
 Ontario	Oakville	http://schools.hcdsb.org/matt	Elementary	Halton Catholic District School Board		http://www.hcdsb.org/Schools/Profiles/Pages/St-Matthew-Elementary-School-.aspx	St. Matthew Elementary School	Elementary School	 L6M 2G3	905-847-0088	1050 Nottinghill Gate
 Ontario	Oakville	http://schools.hcdsb.org/mary	Elementary	Halton Catholic District School Board		http://www.hcdsb.org/Schools/Profiles/Pages/St-Mary-Elementary-School.aspx	St. Mary Elementary School	Elementary School	 L6M 0B7	905-469-0038	2175 Colonel William Parkway
 Ontario	Oakville	http://schools.hcdsb.org/pope	Elementary	Halton Catholic District School Board		http://www.hcdsb.org/Schools/Profiles/Pages/St-John-Paul-II-Elementary-School.aspx	St. John Paul II Elementary School	Elementary School	 L6M 4Z2	905-827-8894	2130 Kingsridge Drive
 Ontario	Oakville	http://loyola.hcdsb.org	Secondary	Halton Catholic District School Board		http://www.hcdsb.org/Schools/Profiles/Pages/St-Ignatius-of-Loyola-Secondary-School.aspx	St. Ignatius of Loyola Secondary School	Secondary School	 L6M 1X7	905-847-0595	1550 Nottinghill Gate
