province	city	school_url	school_grades	school_board	school_language	response_url	school_name	school_type	postal_code	phone_number	street_address
ON	Milton	http://btr.hdsb.ca	JK - 08	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1109	Bruce Trail Public School	Public School	 L9T 6N8	905-864-1300	1199 Costigan Rd
ON	Burlington	http://ald.hdsb.ca	09 - 12	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=2005	Aldershot High School	High School	 L7T 1E5	905-637-2383	50 Fairwood Pl W
ON	Burlington	http://alx.hdsb.ca	JK - 08	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1103	Alexander's Public School	Public School	 L7L 0B9	905-331-3175	2223 Sutton Dr
ON	Burlington	http://bch.hdsb.ca	09 - 12	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=2007	Burlington Central High School	High School	 L7S 1K4	905-634-7768	1433 Baldwin St
ON	Burlington	http://bru.hdsb.ca	JK - 06	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1108	Bruce T. Lindley Public School	Public School	 L7P 4K5	905-335-0679	2510 Cavendish Dr
ON	Georgetown	http://cem.hdsb.ca	06 - 08	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1112	Centennial Public School	Public School	 L7G 4G1	905-877-6976	233 Delrex Blvd
ON	Oakville	http://crw.hdsb.ca/	JK - 08	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1111	Captain R. Wilson Public School	Public School	 L6M 4S7	905-465-3881	2145 Grand Oak Trail
ON	Burlington	http://chn.hdsb.ca	JK - 08	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1127	C.H. Norton Public School	Public School	 L7M 4B6	905-332-3897	2120 Cleaver Ave
ON	Burlington	http://bch.hdsb.ca	07 - 08	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1007	Burlington Central Elem. School	Elem. School	 L7S 1K4	905-634-7768	1433 Baldwin St
ON	Oakville	http://abb.hdsb.ca	JK - 08	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1100	Abbey Lane Public School	Public School	 L6M 1S4	905-827-5552	1160 Old Abbey Lane
ON	Milton	http://www.hdsb.ca/boyne	JK - 08	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1115	Boyne Public School	Public School	 L9E 0B5	905-864-9641	1110 Farmstead Dr
ON	Milton	http://ajm.hdsb.ca	JK - 08	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1107	Anne J. MacArthur PS	MacArthur PS	 L9T 8J6	905-878-2076	820 Farmstead Dr
ON	Burlington	http://avp.hdsb.ca	JK - 08	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1099	Alton Village Public School	Public School	 L7M 0W1	905-332-4206	3290 Steeplechase Dr
ON	Burlington	http://brh.hdsb.ca	JK - 08	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1101	Brant Hills Public School	Public School	 L7P 4C3	905-336-2330	2330 Duncaster Dr
ON	Oakville	http://brd.hdsb.ca	JK - 08	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1104	Brookdale Public School	Public School	 L6L 2C3	905-827-2741	1195 Bridge Rd
ON	Oakville	http://wos.hdsb.ca	09 - 12	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=2041	White Oaks Secondary School	Secondary School	 L6H 1Z5	905-845-5200	1330 Montclair Dr
ON	Burlington	http://tec.hdsb.ca	JK - 08	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1300	Tecumseh Public School	Public School	 L7N 2M3	905-639-8330	3141 Woodward Ave
ON	Oakville	http://tab.hdsb.ca	09 - 12	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=2037	Thomas A. Blakelock High School	High School	 L6L 1Y9	905-827-1158	1160 Rebecca St
ON	Milton	http://tjs.hdsb.ca/	JK - 08	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1302	Tiger Jeet Singh Public School	Public School	 L9T 7P6	905-878-2255	650 Yates Dr
ON	Burlington	http://tom.hdsb.ca	JK - 06	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1303	Tom Thomson Public School	Public School	 L7R 1Z6	905-639-2010	2171 Prospect St
ON	Oakville	http://whm.hdsb.ca	JK - 08	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1318	W.H. Morden Public School	Public School	 L6K 2S3	905-844-9616	180 Morden Rd
ON	Milton	http://wid.hdsb.ca	06 - 08	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1320	W.I. Dick Middle School	Middle School	 L9T 1W8	905-878-8119	351 Highside Dr
ON	Oakville	http://wes.hdsb.ca	JK - 08	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1315	West Oak Public School	Public School	 L6M 3K1	905-469-6119	2071 Fourth Line
ON	Campbellville	http://brv.hdsb.ca	JK - 08	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1106	Brookville Public School	Public School	 L0P 1B0	905-854-2424	11325 Guelph Line
ON	Georgetown	http://ste.hdsb.ca	06 - 08	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1288	Stewarttown Middle School	Middle School	 L7G 4S5	905-873-1637	13068 15 Side Rd
ON	Oakville	http://sun.hdsb.ca	01 - 08	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1292	Sunningdale Public School	Public School	 L6H 1T4	905-844-9941	1434 Oxford Ave
ON	Georgetown	http://scp.hdsb.ca	JK - 08	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1277	Silver Creek Public School	Public School	 L7G 5V6	905-877-0151	170 Eaton St
ON	Oakville	http://she.hdsb.ca	JK - 05	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1276	Sheridan Public School	Public School	 L6H 3H4	905-845-3925	1555 Lancaster Dr
ON	Burlington	http://sem.hdsb.ca	JK - 08	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1278	Sir Ernest Macmillan Public School	Public School	 L7M 1V8	905-336-7602	1350 Headon Rd
ON	Burlington	http://rye.hdsb.ca	JK - 06	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1270	Ryerson Public School	Public School	 L7N 2Z9	905-632-1766	565 Woodview Rd
ON	Milton	http://sha.hdsb.ca	JK - 08	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1274	Sam Sherratt Public School	Public School	 L9T 4N4	905-878-1556	649 Laurier Ave
ON	Burlington	http://rbh.hdsb.ca/	09 - 12	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=2038	Robert Bateman High School	High School	 L7L 1V3	905-632-5151	5151 New St
ON	Acton	http://rol.hdsb.ca	JK - 05	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1262	Robert Little Public School	Public School	 L7J 1B9	519-853-2540	41 SCHOOL LANE
ON	Burlington	http://rom.hdsb.ca	JK - 08	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1266	Rolling Meadows Public School	Public School	 L7P 2H5	905-332-6000	1522 Mountain Grove Ave
ON	Oakville	http://riv.hdsb.ca	JK - 08	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1264	River Oaks Public School	Public School	 L6H 3S9	905-842-7430	2173 Munn's Ave
ON	Oakville	http://pos.hdsb.ca	JK - 08	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1259	Post's Corners Public School	Public School	 L6H 6B5	905-845-1661	2220 Caldwell Dr
ON	Milton	http://rob.hdsb.ca	JK - 05	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1261	Robert Baldwin Public School	Public School	 L9T 3J9	905-878-8833	180 Wilson Dr
ON	Burlington	http://pil.hdsb.ca	01 - 08	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1256	Pineland Public School	Public School	 L7L 3K7	905-634-2311	5121 Meadowhill Rd
ON	Georgetown	http://piv.hdsb.ca	JK - 05	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1258	Pineview Public School	Public School	 L7G 4S5	905-877-4363	13074 5 Side Rd
ON	Oakville	http://pin.hdsb.ca	01 - 08	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1254	Pine Grove Public School	Public School	 L6L 5A8	905-844-6371	529 Fourth Line
ON	Burlington	http://paj.hdsb.ca	JK - 06	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1252	Pauline Johnson Public School	Public School	 L7L 1X7	905-632-2492	4350 Longmoor Dr
ON	Oakville	http://pwe.hdsb.ca	JK - 08	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1253	Pilgrim Wood Public School	Public School	 L6M 2W7	905-825-9808	1551 Pilgrims Way
ON	Oakville	http://pal.hdsb.ca/	JK - 08	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1246	Palermo Public School	Public School	 L6M 5H4	905-469-1138	2561 Valleyridge Dr
ON	Georgetown	http://par.hdsb.ca	JK - 05	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1250	Park Public School	Public School	 L7G 2B6	905-877-9301	6 Hyde Park Dr
ON	Burlington	http://paf.hdsb.ca	JK - 06	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1251	Paul A. Fisher Public School	Public School	 L7P 3J8	905-335-2542	2175 Cavendish Dr
ON	Milton	http://plr.hdsb.ca/	JK - 08	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1243	P.L. Robertson Public School	Public School	 L9T 2C9	905-878-3166	840 Scott Blvd
ON	Burlington	http://opp.hdsb.ca/	JK - 08	Halton District School Board		https://www.hdsb.ca:443/schooldetails/SchoolDetails.aspx?sc=1241	Orchard Park Public School	Public School	 L7L 7J3	905-331-7233	5151 Dryden Ave
