province	city	school_url	school_grades	school_board	school_language	response_url	school_name	school_type	postal_code	phone_number	street_address
Quebec	Vaudreuil-Dorion	http://www.academievaudrin.ca	Preschool to 6 (Coed)	private schools	English & French	http://www.ourkids.net/school/academie-vaudrin-academy-vaudreuil-dorion/533	Académie Vaudrin Academy	Progressive,  Montessori	J7V 0B7	(450) 510-5454 Ext. 2	1255 Emile-Bouchard
Quebec	Laval	http://www.northstaracademy.ca	7 to 12 (Coed)	private schools	English & French	http://www.ourkids.net/school/north-star-academy-laval/628	North Star Academy	Traditional	H7W 0C6	(450) 973-9797	950 Élodie-Boucher
Quebec	Montreal	http://www.lcc.ca	K to 12 (Coed)	private schools	English & French	http://www.ourkids.net/school/lower-canada-college-montreal/81	Lower Canada College	Liberal Arts,  International Baccalaureate	H4A 2M5	(514) 482-9797 Ext. 294	4090 Royal Avenue
Quebec	Stanstead	http://www.stansteadcollege.com	7 to 12 (Coed)	private schools	English	http://www.ourkids.net/school/stanstead-college/122	Stanstead College	Traditional	J0B 3E0	(819) 876-2223	450 Dufferin Street
Quebec	Montreal	http://www.kells.ca	K to 11 (Coed)	private schools	English	http://www.ourkids.net/school/kells-academy-montreal/60	Kells Academy	Traditional	H4B 1T1	(514) 485-8565 Ext. 225	6865 De Maisonneuve West
Quebec	Montreal	http://www.psnm.qc.ca	7 to 11 (Girls)	private schools	French	http://www.ourkids.net/school/pensionnat-du-saint-nom-de-marie-montreal/868	Pensionnat du Saint-Nom-de-Marie	Liberal Arts,  International Baccalaureate	H2V 2C5	(514) 735-5261 Ext. 3045	628
Quebec	Kirkland	http://www.kuperacademy.ca	K to 11 (Coed)	private schools	English	http://www.ourkids.net/school/kuper-academy-kirkland/63	Kuper Academy	Traditional	H9H 5K5	(514) 426-3007 Ext. 235	2975 Edmond
Quebec	Montreal	http://www.emimontreal.ca	Preschool to 6 (Coed)	private schools	French	http://www.ourkids.net/school/ecole-montessori-international-de-montral/1083	École Montessori International de Montréal	Montessori	H4N 2S1	(514)331-1244	10025 boul. de l'Acadie
Quebec	Montreal	http://www.centennial.qc.ca	7 to 11 (Coed)	private schools	English	http://www.ourkids.net/school/centennial-academy-montreal/43	Centennial Academy	Traditional	H4A 3H6	(514) 486-5533 Ext. 236	3641
Quebec	Montreal	http://www.trafalgar.qc.ca	7 to 11 (Girls)	private schools	English	http://www.ourkids.net/school/trafalgar-school-for-girls-montreal/135	Trafalgar School For Girls	Liberal Arts	H3G 2J7	(514) 935-2644 Ext. 227	3495 Simpson Street
Quebec	Montreal	http://www.villamaria.qc.ca	7 to 11 (Girls); 7 to 7 (Boys)	private schools	English	http://www.ourkids.net/school/villa-maria-montreal/508	Villa Maria	Traditional	H4A 3K4	(514) 484-4950 Ext. 3222	4245 Decarie Boulevard
Quebec	Westmount	http://www.ecs.qc.ca	K to 11 (Girls)	private schools	English	http://www.ourkids.net/school/miss-edgars-miss-cramps-school-westmount/92	Miss Edgar's & Miss Cramp's School	Progressive	H3Y 3H6	(514) 935-6357 Ext. 254	525 Mount Pleasant Avenue
Alberta	Calgary	http://www.montessorialberta.com	Preschool to K (Coed)	Montessori schools	English	http://www.ourkids.net/school/montessori-alberta/1088	Montessori Alberta	Montessori	T2N 0Z3	(403) 970-8320	1407 7th Avenue NW
Quebec	Montreal	http://www.priory.qc.ca	K to 6 (Coed)	private schools	English & French	http://www.ourkids.net/school/the-priory-school-montreal/124	The Priory School	Traditional	H3Y 1R9	(514) 935-5966 Ext. 224	3120 The Boulevard
Quebec	Coaticook	http://www.crivier.qc.ca	7 to 11 (Coed)	private schools	French	http://www.ourkids.net/school/collge-rivier/1035	Collège Rivier	Traditional	J1A 2R2	(819) 849-4833 Ext. 225	343
Quebec	Montreal	http://www.prepinternational.com	5 to 11 (Coed)	private schools	English	http://www.ourkids.net/school/college-prep-international-montreal/272	College Prep International	Traditional	H4B 1S3	(514) 489-7287	7475 Sherbrooke Street West
Quebec	Waterville	http://www.moncfd.com	7 to 12 (Girls)	private schools	French	http://www.ourkids.net/school/College-Francois-delaplace-waterville/866	Collège François-Delaplace	Traditional	J0B 3H0	(819) 837-2882 Ext. 236	365 Compton Street East
St. Maarten	Cupecoy	http://www.ciaschool.com	JK to 12 (Coed)	Montessori schools	English	http://www.ourkids.net/school/caribbean-international-academy-st-maarten/1089	Caribbean International Academy -St. Maarten	Traditional	00000	(721) 545-3871 Ext. 24	#4 Tigres Road
Alberta	Calgary	http://www.rivervalleyschool.ca	Preschool to 6 (Coed)	Montessori schools	English	http://www.ourkids.net/school/river-valley-school-calgary/454	River Valley School	Progressive,  Montessori	T3B 2E7	(403) 246-2275 Ext. 225	3127 Bowwood Drive NW
British Columbia	Langley	http://www.rootsandwingsbc.com	Nursery/Toddler to 9 (Coed)	Montessori schools	English	http://www.ourkids.net/school/roots-and-wings-montessori-school-langley/516	Roots and Wings Montessori School	Montessori	V2Z 1W5	(604) 510-2588	20315 16 Avenue
British Columbia	Vancouver	http://www.westsidemontessoriacademy.ca	Preschool to 7 (Coed)	Montessori schools	English	http://www.ourkids.net/school/westside-montessori-academy-vancouver/490	Westside Montessori Academy	Montessori	V5M 3E4	(604) 434-9611	3075 Slocan Street
Ontario	Richmond Hill	http://www.yorkmontessorischool.com	Nursery/Toddler to SK (Coed)	Montessori schools	English	http://www.ourkids.net/school/york-montessori-school-richmond-hill/1003	York Montessori School	Montessori	L4S 1P1	(905) 508-2000	10533 Leslie Street
British Columbia	Vancouver	http://www.monkeyseemonkeydo.ca	Preschool to SK (Coed)	Montessori schools	English	http://www.ourkids.net/school/monkey-see-monkey-do-montessori-/1044	Monkey See Monkey Do Montessori	Montessori	V6S 1L5	(778) 371-4659	3525 W. 24th Ave.
Ontario	Markham	http://www.tcmps.com	Nursery/Toddler to 12 (Coed)	Montessori schools	English	http://www.ourkids.net/school/town-centre-montessori-private-schools-markham/9	Town Centre Montessori Private Schools	Progressive,  International Baccalaureate	L3R 7P3	(905) 470-1200	155 Clayton Drive
