province	city	school_url	school_grades	school_board	school_language	response_url	school_name	school_type	postal_code	phone_number	street_address
ON	Brampton			Peel District School Board		http://www.peelschools.org/schools/Pages/profile.aspx?sid=2382	AEC - Brampton Campus	Brampton Campus	L6Y4M3	905-270-6000	7700 Hurontario St., Suite 300
ON	Caledon	http://schools.peelschools.org/1459	Kindergarten Grade 1 Grade 2 Grade 3 Grade 4 Grade 5 Grade 6 Grade 7 Grade 8	Peel District School Board		http://www.peelschools.org/schools/Pages/profile.aspx?sid=1459	Caledon Central Public School	Public School	L7K1Y7	519-927-5231	18357 Kennedy Rd.
ON	Mississauga	http://schools.peelschools.org/1548	Kindergarten Grade 1 Grade 2 Grade 3 Grade 4 Grade 5	Peel District School Board		http://www.peelschools.org/schools/Pages/profile.aspx?sid=1548	Willow Way Public School	Public School	L5M3W5	905-567-0237	1715 Willow Way
ON	Brampton	http://schools.peelschools.org/1480	Kindergarten Grade 1 Grade 2 Grade 3 Grade 4 Grade 5	Peel District School Board		http://www.peelschools.org/schools/Pages/profile.aspx?sid=1480	Worthington Public School	Public School	L7A1N9	905-495-8336	71 Worthington Avenue
ON	Mississauga	http://schools.peelschools.org/1314	Kindergarten Grade 1 Grade 2 Grade 3 Grade 4 Grade 5	Peel District School Board		http://www.peelschools.org/schools/Pages/profile.aspx?sid=1314	Churchill Meadows Public School	Public School	L5M6R8	905-363-2338	3310 McDowell Drive
ON	Brampton	http://schools.peelschools.org/1429	Kindergarten Grade 1 Grade 2 Grade 3 Grade 4 Grade 5	Peel District School Board		http://www.peelschools.org/schools/Pages/profile.aspx?sid=1429	Grenoble Public School	Public School	L6S1V8	905-791-2333	33 Greenbriar Rd.
ON	Mississauga	http://schools.peelschools.org/1173	Kindergarten Grade 6 Grade 7 Grade 8	Peel District School Board		http://www.peelschools.org/schools/Pages/profile.aspx?sid=1173	Glenhaven Sr. Public School	Public School	L4X2M9	905-625-5250	3570 Havenwood Dr.
ON	Brampton	http://schools.peelschools.org/1427	Kindergarten Grade 1 Grade 2 Grade 3 Grade 4 Grade 5	Peel District School Board		http://www.peelschools.org/schools/Pages/profile.aspx?sid=1427	Goldcrest Public School	Public School	L6S1G3	905-791-8558	24 Goldcrest Rd.
ON	Mississauga	http://schools.peelschools.org/1231	Kindergarten Grade 1 Grade 2 Grade 3 Grade 4 Grade 5	Peel District School Board		http://www.peelschools.org/schools/Pages/profile.aspx?sid=1231	Westacres Public School	Public School	L4Y1N3	905-277-0912	2165 Breezy Brae Drive
ON	Caledon	http://schools.peelschools.org/1460	Kindergarten Grade 1 Grade 2 Grade 3 Grade 4 Grade 5 Grade 6 Grade 7 Grade 8	Peel District School Board		http://www.peelschools.org/schools/Pages/profile.aspx?sid=1460	Caledon East Public School	Public School	L7C1P6	905-584-2701	15 Jean Street
ON	Brampton	http://schools.peelschools.org/1424	Kindergarten Grade 6 Grade 7 Grade 8	Peel District School Board		http://www.peelschools.org/schools/Pages/profile.aspx?sid=1424	Williams Parkway Sr. Public School	Public School	L6S3J8	905-791-4324	1285 Williams Pkwy.
ON	Mississauga	http://schools.peelschools.org/1569	Kindergarten Grade 6 Grade 7 Grade 8	Peel District School Board		http://www.peelschools.org/schools/Pages/profile.aspx?sid=1569	Lisgar Middle School	Middle School	L5N6S9	905-785-0105	6755 Lisgar Drive
