province	city	school_url	school_grades	school_board	school_language	response_url	school_name	school_type	postal_code	phone_number	street_address
ON	Weston	http://allsaints.tcdsb.org	Elementary	Toronto Catholic District School Board		https://www.tcdsb.org/school/Alphabeticalschooldirectory/Pages/default.aspx	All Saints	Elementary	M9P 3A7	416-397-6139	1435 Royal York Road
ON	Mills	http://annunciation.tcdsb.org	Elementary	Toronto Catholic District School Board		https://www.tcdsb.org/school/Alphabeticalschooldirectory/Pages/default.aspx	Annunciation	Elementary	M3A 2M8	416-397-6089	65 Avonwick Gate Don
ON	Scarborough	http://stagatha.tcdsb.org	Elementary	Toronto Catholic District School Board		https://www.tcdsb.org/school/Alphabeticalschooldirectory/Pages/default.aspx	St Agatha	Elementary	M1M 2T6	416-397-6040	49 Cathedral Bluffs Drive
ON	Willowdale	http://stagnes.tcdsb.org	Elementary	Toronto Catholic District School Board		https://www.tcdsb.org/school/Alphabeticalschooldirectory/Pages/default.aspx	St Agnes	Elementary	M2M 2T2	416-393-5021	280 Otonabee Avenue
ON	Agincourt	http://staidan.tcdsb.org	Elementary	Toronto Catholic District School Board		https://www.tcdsb.org/school/Alphabeticalschooldirectory/Pages/default.aspx	St Aidan	Elementary	M1W 2S2	416-393-5588	3521 Finch Avenue East
ON	Scarborough	http://stalbert.tcdsb.org	Elementary	Toronto Catholic District School Board		https://www.tcdsb.org/school/Alphabeticalschooldirectory/Pages/default.aspx	St Albert	Elementary	M1K 4H2	416-393-5584	1125 Midland Avenue
ON	Toronto	http://stalphonsus.tcdsb.org	Elementary	Toronto Catholic District School Board		https://www.tcdsb.org/school/Alphabeticalschooldirectory/Pages/default.aspx	St Alphonsus	Elementary	M6C 3N9	416-393-5066	60 Atlas Avenue
ON	Etobicoke	http://stambrose.tcdsb.org	Elementary	Toronto Catholic District School Board		https://www.tcdsb.org/school/Alphabeticalschooldirectory/Pages/default.aspx	St Ambrose	Elementary	M8W 2N9	416-393-5039	20 Coules Court
ON	Toronto	http://standre.tcdsb.org	Elementary	Toronto Catholic District School Board		https://www.tcdsb.org/school/Alphabeticalschooldirectory/Pages/default.aspx	St Andre	Elementary	M3L 1C9	416-397-6452	36 Yvonne Avenue
ON	Rexdale	http://standrew.tcdsb.org	Elementary	Toronto Catholic District School Board		https://www.tcdsb.org/school/Alphabeticalschooldirectory/Pages/default.aspx	St Andrew	Elementary	M9V 3A8	416-229-7052	2533 Kipling Avenue
ON	Rexdale	http://stangela.tcdsb.org	Elementary	Toronto Catholic District School Board		https://www.tcdsb.org/school/Alphabeticalschooldirectory/Pages/default.aspx	St Angela	Elementary	M9V 3Z5	416-397-6041	220 Mount Olive Drive
ON	York	http://stanselm.tcdsb.org	Elementary	Toronto Catholic District School Board		https://www.tcdsb.org/school/Alphabeticalschooldirectory/Pages/default.aspx	St Anselm	Elementary	M4G 3J9	416-397-6320	182 Bessborough Drive East
ON	Toronto	http://stanthony.tcdsb.org	Elementary	Toronto Catholic District School Board		https://www.tcdsb.org/school/Alphabeticalschooldirectory/Pages/default.aspx	St Anthony	Elementary	M6H 1L9	416-393-5793	130 Shanly Street
ON	Willowdale	http://stantoinedaniel.tcdsb.org	Elementary	Toronto Catholic District School Board		https://www.tcdsb.org/school/Alphabeticalschooldirectory/Pages/default.aspx	St Antoine Daniel	Elementary	M2N 2J2	416-393-5157	160 Finch Avenue West
ON	Downsview	http://staugustine.tcdsb.org	Elementary	Toronto Catholic District School Board		https://www.tcdsb.org/school/Alphabeticalschooldirectory/Pages/default.aspx	St Augustine	Elementary	M3N 1S9	416-393-5156	98 Shoreham Drive
ON	Etobicoke	http://bishopallen.tcdsb.org	Secondary	Toronto Catholic District School Board		https://www.tcdsb.org/school/Alphabeticalschooldirectory/Pages/default.aspx	Bishop Allen Academy	Secondary	M8Y 2T3	416-397-6074	721 Royal York Road
ON	Toronto	http://bishopmarroccothomasmerton.tcdsb.org	Secondary	Toronto Catholic District School Board		https://www.tcdsb.org/school/Alphabeticalschooldirectory/Pages/default.aspx	Bishop Marrocco/Thomas Merton	Secondary	M6P 1A3	416-393-5977	1515 Bloor Street West
ON	Toronto	http://blessedarchbishopromero.tcdsb.org	Secondary	Toronto Catholic District School Board		https://www.tcdsb.org/school/Alphabeticalschooldirectory/Pages/default.aspx	Blessed Archbishop Romero	Secondary	M6N 2H4	416-393-5010	99 Humber Boulevard
ON	Toronto	http://blessedcardinalnewman.tcdsb.org	Secondary	Toronto Catholic District School Board		https://www.tcdsb.org/school/Alphabeticalschooldirectory/Pages/default.aspx	Blessed Cardinal Newman	Secondary	M1M3X4	416-393-5110	100 Brimley Road South
ON	Downsview	http://blessedmargherita.tcdsb.org	Elementary	Toronto Catholic District School Board		https://www.tcdsb.org/school/Alphabeticalschooldirectory/Pages/default.aspx	Blessed Margherita	Elementary	M3L 1Z5	416-393-5430	108 Spenvalley Drive
ON	Scarborough	http://BlessedPierGiorgioFrassati.tcdsb.org	Elementary	Toronto Catholic District School Board		https://www.tcdsb.org/school/Alphabeticalschooldirectory/Pages/default.aspx	Blessed Pier Giorgio Frassati	Elementary	M1X 1X4	416-397-6168	8 Seasons Drive
ON	Toronto	http://blessedpopepaulvi.tcdsb.org	Elementary	Toronto Catholic District School Board		https://www.tcdsb.org/school/Alphabeticalschooldirectory/Pages/default.aspx	Blessed Pope Paul VI	Elementary	M6N 2X8	416-393-5842	270 Laughton Avenue
ON	Toronto	http://blessedsacrament.tcdsb.org	Elementary	Toronto Catholic District School Board		https://www.tcdsb.org/school/Alphabeticalschooldirectory/Pages/default.aspx	Blessed Sacrament	Elementary	M5M 1H9	416-393-5809	24 Bedford Park Avenue
ON	Willowdale	http://blessedtrinity.tcdsb.org	Elementary	Toronto Catholic District School Board		https://www.tcdsb.org/school/Alphabeticalschooldirectory/Pages/default.aspx	Blessed Trinity	Elementary	M2K 1G3	416-393-5832	3205 Bayview Avenue
ON	Willowdale	http://brebeufcollege.tcdsb.org	Secondary	Toronto Catholic District School Board		https://www.tcdsb.org/school/Alphabeticalschooldirectory/Pages/default.aspx	Brebeuf	Secondary	M2M 3Y6	416-397-6404	211 Steeles Avenue East
ON	Scarborough	http://stbarbara.tcdsb.org	Elementary	Toronto Catholic District School Board		https://www.tcdsb.org/school/Alphabeticalschooldirectory/Pages/default.aspx	St Barbara	Elementary	M1G 1Y2	416-393-5952	25 Janray Drive
ON	Scarborough	http://stbarnabas.tcdsb.org	Elementary	Toronto Catholic District School Board		https://www.tcdsb.org/school/Alphabeticalschooldirectory/Pages/default.aspx	St Barnabas	Elementary	M1B 1H3	416-397-6980	30 Washburn Way
ON	Agincourt	http://stbartholomew.tcdsb.org	Elementary	Toronto Catholic District School Board		https://www.tcdsb.org/school/Alphabeticalschooldirectory/Pages/default.aspx	St Bartholomew	Elementary	M1S 2E2	416-397-6086	51 Heather Road
ON	York	http://stbasilthegreat.tcdsb.org	Secondary	Toronto Catholic District School Board		https://www.tcdsb.org/school/Alphabeticalschooldirectory/Pages/default.aspx	St Basil-The-Great	Secondary	M9M 3B2	416-393-5452	20 Starview Lane North
ON	Scarborough	http://stbede.tcdsb.org	Elementary	Toronto Catholic District School Board		https://www.tcdsb.org/school/Alphabeticalschooldirectory/Pages/default.aspx	St Bede	Elementary	M1B 5H3	416-397-6066	521 Sewells Road
ON	Rexdale	http://stbenedict.tcdsb.org	Elementary	Toronto Catholic District School Board		https://www.tcdsb.org/school/Alphabeticalschooldirectory/Pages/default.aspx	St Benedict	Elementary	M9W 4K9	416-393-5045	2202 Kipling Avenue
ON	Toronto	http://stbernard.tcdsb.org	Elementary	Toronto Catholic District School Board		https://www.tcdsb.org/school/Alphabeticalschooldirectory/Pages/default.aspx	St Bernard	Elementary	M6M 4W4	416-393-5116	12 Duckworth Street
ON	Mills	http://stbonaventure.tcdsb.org	Elementary	Toronto Catholic District School Board		https://www.tcdsb.org/school/Alphabeticalschooldirectory/Pages/default.aspx	St Bonaventure	Elementary	M3C 2K9	416-393-5117	1340 Leslie Street Don
ON	Scarborough	http://stboniface.tcdsb.org	Elementary	Toronto Catholic District School Board		https://www.tcdsb.org/school/Alphabeticalschooldirectory/Pages/default.aspx	St Boniface	Elementary	M1M 2J1	416-393-5487	20 Markanna Drive
ON	Hill	http://stbrendan.tcdsb.org	Elementary	Toronto Catholic District School Board		https://www.tcdsb.org/school/Alphabeticalschooldirectory/Pages/default.aspx	St Brendan	Elementary	M1C 1Z9	416-393-5593	186 Centennial Road West
