province	city	school_url	school_grades	school_board	school_language	response_url	school_name	school_type	postal_code	phone_number	street_address
 ON	 Toronto	http://schools.tdsb.on.ca/blakestreet	(GR. JK-06)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5287	Blake Street Junior Public School		M4J 1A7	(416) 393-9415	21 Boultbee Ave
 ON	 Scarborough	http://schools.tdsb.on.ca/birchmountpark	(GR. 09-12)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4118	Birchmount Park Collegiate Institute		M1N 2G2	(416) 396-6704	3663 Danforth Ave
 ON	 Scarborough	http://schools.tdsb.on.ca/birchcliffhts	(GR. JK-08)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4342	Birch Cliff Heights Public School		M1N 2J1	(416) 396-6065	120 Highview Ave
 ON	 Scarborough	http://schools.tdsb.on.ca/beverlyglen/	(GR. JK-06)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4334	Beverly Glen Junior Public School		M1W 1W4	(416) 396-6055	85 Beverly Glen Blvd
 ON	 Toronto	http://schools.tdsb.on.ca/beverley	(GR. JK-08)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5313	Beverley School		M5T 1L4	(416) 397-2750	64 Baldwin St
 ON	 North York	http://schools.tdsb.on.ca/africentricschool	(GR. JK-08)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3949	Africentric Alternative School		M3M 2W9	(416) 395-5251	1430 Sheppard Ave W
 ON	 North York	http://schools.tdsb.on.ca/blacksmith/	(GR. JK-05)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3028	Blacksmith Public School		M3N 1V5	(416) 395-2060	45 Blacksmith Cres
 ON	 Scarborough	http://schools.tdsb.on.ca/blantyre/	(GR. JK-08)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4348	Blantyre Public School		M1N 2S4	(416) 396-6070	290 Blantyre Ave
 ON	 Scarborough		(GR. JK-06)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4332	Berner Trail Junior Public School		M1B 1B3	(416) 396-6050	120 Berner Trail
 ON	 Scarborough	http://schoolweb.tdsb.on.ca/bendalejr/Home.aspx	(GR. JK-06)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4330	Bendale Junior Public School		M1H 1M4	(416) 396-6045	61 Benshire Dr
 ON	 North York	http://www.ayjackson.ca	(GR. 09-12)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3432	A Y Jackson Secondary School		M2H 2G6	(416) 395-3140	50 Francine Dr
 ON	 North York		(GR. JK-05)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3296	Yorkwoods Public School		M3N 1K1	(416) 395-2990	25 Yorkwoods Gate
 ON	 East York	http://schools.tdsb.on.ca/bessborough	(GR. JK-08)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=1412	Bessborough Drive Elementary and Middle School		M4G 3K2	(416) 396-2315	211 Bessborough Dr
 ON	 East York	http://schools.tdsb.on.ca/benningtonheights	(GR. JK-06)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=1409	Bennington Heights Elementary School		M4G 1B1	(416) 396-2310	76 Bennington Heights Dr
 ON	 Scarborough	http://schools.tdsb.on.ca/birchcliff	(GR. JK-08)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4336	Birch Cliff Public School		M1N 1S2	(416) 396-6060	1650 Kingston Rd
 ON	 Toronto	http://schools.tdsb.on.ca/adambeck	(GR. JK-06)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5306	Adam Beck Junior Public School		M4E 3M8	(416) 393-1682	400 Scarborough Rd
 ON	 North York	http://schools.tdsb.on.ca/yorkmillsci/	(GR. 10-12)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3450	York Mills Collegiate Institute		M3B 1W6	(416) 395-3340	490 York Mills Rd
 ON	 York	http://www.yorkmemorial.ca	(GR. 09-12)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=6697	York Memorial Collegiate Institute		M6M 1T9	(416) 394-3000	2690 Eglinton Ave W
 ON	 Scarborough		(GR. JK-06)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4798	Woburn Junior Public School		M1G 3N2	(416) 396-6670	40 Dormington Dr
 ON	 North York	http://www.yorkdale.net	(GR. 09-12)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3549	Yorkdale Adult Learning Centre		M6A 1L6	(416) 395-3350	38 Orfus Rd
 ON	 North York	http://schools.tdsb.on.ca/beverleyheights	(GR. 06-08)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3211	Beverley Heights Middle School		M3M 1S5	(416) 395-3000	26 Troutbrooke Dr
 ON	 Toronto	http://schools.tdsb.on.ca/Withrow	(GR. JK-06)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5285	Withrow Avenue Junior Public School		M4K 1E5	(416) 393-9440	25 Bain Ave
 ON	 North York	http://schools.tdsb.on.ca/woodbine	(GR. 07-08)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3345	Woodbine Middle School		M2J 3B6	(416) 395-3110	2900 Don Mills Rd
 ON	 North York	http://www.yorkdale.net	(GR. 09-12)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3947	Yorkdale Secondary School		M6A 1L6	(416) 395-3350	38 Orfus Rd
 ON	 Toronto	http://schools.tdsb.on.ca/winona	(GR. 07-08)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5286	Winona Drive Senior Public School		M6G 3S8	(416) 393-1680	101 Winona Dr
 ON	 North York	http://schools.tdsb.on.ca/wilmington	(GR. JK-04)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3064	Wilmington Elementary School		M3H 5L1	(416) 395-2180	330 Wilmington Ave
 ON	 York	http://www.yorkhumber.com	(GR. 09-12)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=6594	York Humber High School		M6M 2E6	(416) 394-3280	100 Emmett Ave
 ON	 Scarborough	http://www.woburnci.ca	(GR. 09-12)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4202	Woburn Collegiate Institute		M1G 3M3	(416) 396-4575	2222 Ellesmere Rd
 ON	 Toronto	http://schools.tdsb.on.ca/winchester	(GR. SK-08)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5284	Winchester Junior and Senior Public School		M4X 1C7	(416) 393-1270	15 Prospect St
 ON	 North York	http://schools.tdsb.on.ca/yorkview/	(GR. JK-05)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3294	Yorkview Public School		M2R 1K1	(416) 395-2980	130 Yorkview Dr
 ON	 North York	http://www.wlmac.ca	(GR. 09-12)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3444	William Lyon Mackenzie Collegiate Institute		M3H 5R2	(416) 395-3330	20 Tillplain Rd
 ON	 North York	http://schools.tdsb.on.ca/willowdale	(GR. 06-08)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3288	Willowdale Middle School		M2R 1P6	(416) 395-2970	225 Senlac Rd
 ON	 Scarborough	http://schools.tdsb.on.ca/churchillci	(GR. 09-12)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4196	Winston Churchill Collegiate Institute		M1P 2P7	(416) 396-6883	2239 Lawrence Ave E
 ON	 Toronto	http://schools.tdsb.on.ca/williamjmccordic	(GR. JK-08)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5314	William J McCordic School		M4C 1T4	(416) 397-2720	45 Balfour Ave
 ON	 East York		(GR. JK-05)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=1196	William Burgess Elementary School		M4J 2P5	(416) 396-2490	100 Torrens Ave
 ON	 Toronto	http://schools.tdsb.on.ca/whitney/	(GR. JK-06)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5307	Whitney Junior Public School		M4T 1C7	(416) 393-9380	119 Rosedale Heights Dr
 ON	 North York	http://schools.tdsb.on.ca/windfields	(GR. 07-09)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3342	Windfields Junior High School		M2L 2V2	(416) 395-3100	375 Banbury Rd
 ON	 North York	http://schools.tdsb.on.ca/zionheights/	(GR. 06-08)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3348	Zion Heights Middle School		M2H 1J9	(416) 395-3120	5900 Leslie St
 ON	 Scarborough	http://schools.tdsb.on.ca/whitehaven	(GR. JK-08)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4795	White Haven Public School		M1S 2Z1	(416) 396-6645	105 Invergordon Ave
 ON	 Scarborough	http://www.wexfordcsa.ca/	(GR. 09-12)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4190	Wexford Collegiate School for the Arts		M1R 2H7	(416) 396-6874	1176 Pharmacy Ave
 ON	 Scarborough	http://schools.tdsb.on.ca/willowparkjps/home.htm	(GR. JK-06)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4792	Willow Park Junior Public School		M1G 1P1	(416) 396-6665	45 Windover Dr
 ON	 Scarborough	http://schools.tdsb.on.ca/williamgdavis	(GR. JK-06)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4770	William G Davis Junior Public School		M1C 3L6	(416) 396-6650	128 East Ave
 ON	 Etobicoke	http://schools.tdsb.on.ca/westway/	(GR. JK-05)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=2037	Westway Junior School		M9R 1K8	(416) 394-7970	25 Poynter Dr
 ON	 East York	http://schoolweb.tdsb.on.ca/westwoodms	(GR. 06-08)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=1593	Westwood Middle School		M4K 3M6	(416) 396-2480	994 Carlaw Ave
 ON	 Toronto	http://www.wilkinsonps.org/	(GR. JK-06)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5282	Wilkinson Junior Public School		M4J 3N7	(416) 393-9575	53 Donlands Ave
 ON	 York	http://www.westonci.ca	(GR. 09-12)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=6988	Weston Collegiate Institute		M9N 2Y9	(416) 394-3250	100 Pine St
 ON	 Toronto	http://www.wtcs.ca/	(GR. 09-12)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5625	Western Technical-Commercial School		M6P 3E3	(416) 393-0500	125 Evelyn Cres
 ON	 Etobicoke	http://schools.tdsb.on.ca/westmount/	(GR. JK-05)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=2050	Westmount Junior School		M9P 1E9	(416) 394-7720	95 Chapman Rd
 ON	 Toronto	http://schoolweb.tdsb.on.ca/williamsonroad/Home.aspx	(GR. JK-06)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5283	Williamson Road Junior Public School		M4E 1K5	(416) 393-1740	24 Williamson Rd
 ON	 Scarborough	http://schools.tdsb.on.ca/williammiller/	(GR. JK-08)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4774	William G Miller Public School		M1E 3Y3	(416) 396-6655	60 Bennett Rd
 ON	 Scarborough	http://schools.tdsb.on.ca/wexford	(GR. JK-08)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4768	Wexford Public School		M1R 2H1	(416) 396-6640	1050 Pharmacy Ave
 ON	 Scarborough	http://schools.tdsb.on.ca/westhillps	(GR. JK-08)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4762	West Hill Public School		M1E 3G1	(416) 396-6630	299 Morningside Ave
 ON	 Toronto	http://schoolweb.tdsb.on.ca/westprep/home.aspx	(GR. JK-06)	Toronto District School Board		http://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5338	West Preparatory Junior Public School		M6C 2J6	(416) 393-1633	70 Ridge Hill Dr
