province	city	school_url/0	school_grades	school_board	school_language	response_url	school_name	school_type	postal_code	phone_number	street_address
Ontario	Stouffville	http://pf.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-catholique-pape-francois-stouffville/	École catholique Pape-François	Élémentaires	 L4A 3R1	: 905-642-3440	276, boulevard Sunset
Ontario	Mississauga	http://ag.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-sainte-famille-mississauga/ecole-elementaire-catholique-ange-gabriel-mississauga/	École élémentaire catholique Ange-Gabriel	Élémentaires	 L5N 7L2	: 905-814-9122	1830, boulevard Meadowvale
Ontario	Caledon	http://eecbo.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-sainte-famille-mississauga/ecole-elementaire-catholique-brampton-ouest-caledon/	École élémentaire catholique Brampton-Ouest	Élémentaires		: 289-541-9501	55, Abbotside Way
Ontario	Kitchener	http://cl.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-pere-rene-de-galinee-cambridge/ecole-elementaire-catholique-cardinal-leger-kitchener/	École élémentaire catholique Cardinal-Léger	Élémentaires	 N2E 2S3	: 519-742-2261	345, The Country Way
Ontario	Oshawa	http://cc.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-saint-charles-garnier-whitby/ecole-elementaire-catholique-corpus-christi-oshawa/	École élémentaire catholique Corpus-Christi	Élémentaires	 L1J 6L7	: 905-728-0491	362, avenue Hillside
Ontario	Toronto	http://bb.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-elementaire-catholique-du-bon-berger-toronto/	École élémentaire catholique du Bon-Berger	Élémentaires	 M4J 3G4	: 416-461-2674	343, avenue Jones
Ontario	Welland	http://scw.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-jean-vanier-welland/ecole-elementaire-catholique-du-sacre-coeur-welland/	École élémentaire catholique du Sacré-Coeur	Élémentaires	 L3C 4W5	: 905-734-8133	310, rue Fitch
Ontario	Toronto	http://sct.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-saint-frere-andre-toronto/ecole-elementaire-catholique-du-sacre-coeur-toronto/	École élémentaire catholique du Sacré-Coeur	Élémentaires	 M6G 1T3	: 416-393-5219	98, rue Essex
Ontario	Georgetown	http://scgt.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-sainte-famille-mississauga/ecole-elementaire-catholique-du-sacre-coeur-georgetown/	École élémentaire catholique du Sacré-Coeur	Élémentaires	 L7G 5P7	: 905-873-0510	34, promenade Miller
Ontario	Barrie	http://fa.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-nouvelle-alliance-barrie/ecole-elementaire-catholique-frere-andre-barrie/	École élémentaire catholique Frère-André	Élémentaires	 L4M 6L1	: 705-726-1324	273, chemin Cundles Est
Ontario	Toronto	http://gec.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-monseigneur-de-charbonnel-toronto/ecole-elementaire-catholique-georges-etienne-cartier-toronto/	École élémentaire catholique Georges-Étienne-Cartier	Élémentaires	 M4L 3C6	: 416-393-5314	250, chemin Gainsborough
Ontario	St.Catharines	http://ic.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-jean-vanier-welland/ecole-elementaire-catholique-immaculee-conception-st-catharines/	École élémentaire catholique Immaculée-Conception	Élémentaires	 L2R 3E2	: 905-682-6732	153, rue Church
Ontario	East Gwillimbury	https://jb.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-renaissance-aurora/ecole-elementaire-catholique-jean-beliveau-east-gwillimbury/	École élémentaire catholique Jean-Béliveau	Élémentaires	 L9N 0H3	: 289-383-6257	19300, chemin Concession 2
Ontario	Whitby	http://jpii.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-saint-charles-garnier-whitby/ecole-elementaire-catholique-jean-paul-ii-whitby/	École élémentaire catholique Jean-Paul II	Élémentaires	 L1N 2A3	: 905-665-5393	1001, avenue Hutchison
Ontario	Maple	http://lpp.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-renaissance-aurora/ecole-elementaire-catholique-le-petit-prince-maple/	École élémentaire catholique Le-Petit-Prince	Élémentaires	 L6A 1Y3	: 905-832-3153	79, chemin Avro
Ontario	Borden	http://mb.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-nouvelle-alliance-barrie/ecole-elementaire-catholique-marguerite-bourgeois-borden/	École élémentaire catholique Marguerite-Bourgeois	Élémentaires	 L0M 1C0	: 705-424-0049	117, chemin Waterloo Est
Ontario	Waterloo	http://meb.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-pere-rene-de-galinee-cambridge/ecole-elementaire-catholique-mere-elisabeth-bruyere-waterloo/	École élémentaire catholique Mère-Élisabeth-Bruyère	Élémentaires	 N2J 3W4	: 519-880-9859	280, promenade Glenridge
Ontario	Hamilton	http://mdl.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-academie-catholique-mere-teresa-hamilton/ecole-elementaire-catholique-monseigneur-de-laval-hamilton/	École élémentaire catholique Monseigneur-de-Laval	Élémentaires	 L9C 1N4	: 905-387-6448	135, avenue Bendamere
Ontario	Peterborough	http://mj.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-saint-charles-garnier-whitby/ecole-elementaire-catholique-monseigneur-jamot-peterborough/	École élémentaire catholique Monseigneur-Jamot	Élémentaires	 K9J 2C4	: 705-742-7571	186, rue Romaine
Ontario	Hamilton	http://nd.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-academie-catholique-mere-teresa-hamilton/ecole-elementaire-catholique-notre-dame-hamilton/	École élémentaire catholique Notre-Dame	Élémentaires	 L8M 2A2	: 905-545-3393	400, avenue Cumberland
Ontario	Toronto	http://nddg.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-saint-frere-andre-toronto/ecole-elementaire-catholique-notre-dame-de-grace-toronto/	École élémentaire catholique Notre-Dame-de-Grâce	Élémentaires	 M9R 1Y5	: 416-396-2845	59, chemin Clement
Ontario	Collingwood	http://nddlh.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-nouvelle-alliance-barrie/ecole-elementaire-catholique-notre-dame-de-la-huronie-collingwood/	École élémentaire catholique Notre-Dame-de-la-Huronie	Élémentaires	 L9Y 0G6	: 705-444-1764	55, chemin Findlay
Ontario	Ajax	http://nddlja.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-saint-charles-garnier-whitby/ecole-elementaire-catholique-notre-dame-de-la-jeunesse-ajax/	École élémentaire catholique Notre-Dame-de-la-Jeunesse	Élémentaires	 L1S 6S5	: 905-428-1460	71, avenue Ritchie
Ontario	Niagara Falls	http://nddljnf.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-jean-vanier-welland/ecole-elementaire-catholique-notre-dame-de-la-jeunesse-niagara-falls/	École élémentaire catholique Notre-Dame-de-la-Jeunesse	Élémentaires	 L2G 4S1	: 905-357-2311	7374, croissant Wilson
Ontario	Mississauga	http://rl.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-sainte-famille-mississauga/ecole-elementaire-catholique-rene-lamoureux-mississauga/	École élémentaire catholique René-Lamoureux	Élémentaires	 L4Z 1G5	: 905-270-0785	385, boulevard Meadows
Ontario	Niagara Falls	http://sa.csdccs.edu.on.ca	Primaire	Conseil scolaire de district catholique Centre-Sud	French	https://www.csdccs.edu.on.ca/ecole/ecole-secondaire-catholique-jean-vanier-welland/ecole-elementaire-catholique-saint-antoine-niagara-falls/	École élémentaire catholique Saint-Antoine	Élémentaires	 L2E 6A8	: 905-356-2522	4572, chemin Portage
