province	city	school_url	school_grades	school_board	school_language	response_url	school_name	school_type	postal_code	phone_number	street_address
ON	Unionville	http://ast.ycdsb.ca	Elementry	York Catholic District School Board		http://www.ycdsb.ca/schools/default.htm	All Saints CES	Elementry	L6C 2P9	905-887-8780	130 Castlemore Ave.
ON	Thornhill	http://bsi.ycdsb.ca	Elementry	York Catholic District School Board		http://www.ycdsb.ca/schools/default.htm	Blessed Scalabrini CES	Elementry	L4J 3B6	905-886-3272	290 York Hill Blvd.
ON	Maple	http://bty.ycdsb.ca	Elementry	York Catholic District School Board		http://www.ycdsb.ca/schools/default.htm	Blessed Trinity CES	Elementry	L6A 2R2	905-303-7150	230 Hawker Rd.
ON	Newmarket	http://cms.ycdsb.ca	Elementry	York Catholic District School Board		http://www.ycdsb.ca/schools/default.htm	Canadian Martyrs CES	Elementry	L3Y 6R5	905-895-8530	170 London Rd.
ON	Richmond Hill	http://ctk.ycdsb.ca	Elementry	York Catholic District School Board		http://www.ycdsb.ca/schools/default.htm	Christ the King CES	Elementry	L4B 2E1	905-771-6036	329 Valleymede Dr.
ON	Richmond Hill	http://cci.ycdsb.ca	Elementry	York Catholic District School Board		http://www.ycdsb.ca/schools/default.htm	Corpus Christi CES	Elementry	L4S 1C6	905-770-8713	35 Squire Dr.
ON	Maple	http://dmy.ycdsb.ca	Elementry	York Catholic District School Board		http://www.ycdsb.ca/schools/default.htm	Divine Mercy CES	Elementry	L6A 1Z1	905-832-2555	251 Melville Ave.
ON	Richmond Hill	http://ffm.ycdsb.ca	Elementry	York Catholic District School Board		http://www.ycdsb.ca/schools/default.htm	Father Frederick McGinn CES	Elementry	L4E 4W2	905-223-8767	61 Brockdale St.
ON	Richmond Hill	http://fhn.ycdsb.ca	Elementry	York Catholic District School Board		http://www.ycdsb.ca/schools/default.htm	Father Henri Nouwen CES	Elementry	L4C 0E6	905-884-8086	121 Larratt Lane
ON	Maple	http://fjk.ycdsb.ca	Elementry	York Catholic District School Board		http://www.ycdsb.ca/schools/default.htm	Father John Kelly CES	Elementry	L6A 1P4	905-832-5353	9350 Keele St.
ON	East Gwillimbury	http://gsd.ycdsb.ca	Elementry	York Catholic District School Board		http://www.ycdsb.ca/schools/default.htm	Good Shepherd CES	Elementry	L9N 0H2	905-895-0303	19112 2nd Concession Rd.
ON	Woodbridge	http://gna.ycdsb.ca	Elementry	York Catholic District School Board		http://www.ycdsb.ca/schools/default.htm	Guardian Angels CES	Elementry	L4H 0Z5	905-303-5441	200 Lawford Rd.
ON	Thornhill	http://hfy.ycdsb.ca	Elementry	York Catholic District School Board		http://www.ycdsb.ca/schools/default.htm	Holy Family CES	Elementry	L4J 2T6	905-882-4844	21 Mullen Dr.
