province	city	school_url	school_grades	school_board	school_language	response_url	school_name	school_type	postal_code	phone_number	street_address
ON	Markham	http://cornellvillage.ps.yrdsb.ca/	 JK-8	York Region District School Board		http://www.yrdsb.ca/Schools/Pages/School-Profile.aspx?SchoolID=445	Cornell Village P.S.	Elementary School	L6B 1B5	(905) 471-1694 (647) 795-7624	186 Country Glen Rd.
ON	Keswick	http://deerpark.ps.yrdsb.ca/	 JK-8	York Region District School Board		http://www.yrdsb.ca/Schools/Pages/School-Profile.aspx?SchoolID=129	Deer Park P.S.	Elementary School	L4P 3C8	(905) 476-4185 (647) 795-7551	605 Varney Rd.
ON	Newmarket	http://denne.ps.yrdsb.ca/	 JK-8	York Region District School Board		http://www.yrdsb.ca/Schools/Pages/School-Profile.aspx?SchoolID=131	Denne P.S.	Elementary School	L3Y 6L1	(905) 853-2303 (647) 795-7549	330 Burford St.
ON	Richmond Hill	http://crosbyheights.ps.yrdsb.ca/	 JK-8	York Region District School Board		http://www.yrdsb.ca/Schools/Pages/School-Profile.aspx?SchoolID=331	Crosby Heights P.S.	Elementary School	L4C 3K8	(905) 884-5281 (647) 795-7698	190 Neal Dr.
ON	Markham	http://davidsuzuki.ps.yrdsb.ca/	 JK-8	York Region District School Board		http://www.yrdsb.ca/Schools/Pages/School-Profile.aspx?SchoolID=469	David Suzuki P.S.	Elementary School	L6B 0L9	(905) 209-0435 (647) 795-7629	45 Riverwalk Drive
ON	Richmond Hill	http://adrienneclarkson.ps.yrdsb.ca/	" 2-8(FI)
									("	York Region District School Board		http://www.yrdsb.ca/Schools/Pages/School-Profile.aspx?SchoolID=227	Adrienne Clarkson P.S.	Elementary School	L4B 1X3	(905) 709-3554 (647) 795-7581	68 Queens College Drive
ON	Newmarket	http://crossland.ps.yrdsb.ca/	 JK-8	York Region District School Board		http://www.yrdsb.ca/Schools/Pages/School-Profile.aspx?SchoolID=127	Crossland P.S.	Elementary School	L3X 1H8	(905) 830-0500 (647) 795-7548	255 Brimson Dr.
ON	Markham	http://coppardglen.ps.yrdsb.ca/	" JK-8(E),1-2(FI)
									("	York Region District School Board		http://www.yrdsb.ca/Schools/Pages/School-Profile.aspx?SchoolID=437	Coppard Glen P.S.	Elementary School	L3S 2T5	(905) 471-0419 (647) 795-7733	131 Coppard Ave.
ON	Markham	http://coledale.ps.yrdsb.ca/	 JK-8	York Region District School Board		http://www.yrdsb.ca/Schools/Pages/School-Profile.aspx?SchoolID=430	Coledale P.S.	Elementary School	L3R 7W8	(905) 940-0123 (647) 795-7625	60 Coledale Rd.
ON	Woodbridge	http://woodbridgecollege.yrdsb.ca/	" 9-12 (Sem)
									("	York Region District School Board		http://www.yrdsb.ca/Schools/Pages/School-Profile.aspx?SchoolID=319	Woodbridge College	Secondary School	L4L 1J3	(905) 851-2843 (647) 795-7707	71 Bruce St.
ON	Newmarket	http://clearmeadow.ps.yrdsb.ca/	 JK-8	York Region District School Board		http://www.yrdsb.ca/Schools/Pages/School-Profile.aspx?SchoolID=136	Clearmeadow P.S.	Elementary School	L3X 2E4	(905) 868-8081 (647) 795-7547	200 Clearmeadow Blvd.
ON	Thornhill	http://charlton.ps.yrdsb.ca/	 JK-8	York Region District School Board		http://www.yrdsb.ca/Schools/Pages/School-Profile.aspx?SchoolID=233	Charlton P.S.	Elementary School	L4J 6J5	(905) 738-5497 (647) 795-7670	121 Joseph Aaron Blvd.
ON	Richmond Hill	http://charleshowitt.ps.yrdsb.ca/	 JK-8	York Region District School Board		http://www.yrdsb.ca/Schools/Pages/School-Profile.aspx?SchoolID=327	Charles Howitt P.S.	Elementary School	L4C 6T7	(905) 889-2522 (647) 795-7586	30 Pearson Ave.
ON	Markham	http://castlemore.ps.yrdsb.ca/	 JK-8	York Region District School Board		http://www.yrdsb.ca/Schools/Pages/School-Profile.aspx?SchoolID=435	Castlemore P.S.	Elementary School	L6C 2R5	(905) 887-1543 (647) 795-7622	256 Ridgecrest Road
ON	Markham	http://cedarwood.ps.yrdsb.ca/	 JK-8	York Region District School Board		http://www.yrdsb.ca/Schools/Pages/School-Profile.aspx?SchoolID=443	Cedarwood P.S.	Elementary School	L3S 4R8	(905) 294-5756 (647) 795-7618	399 Elson St.
ON	Markham	http://centralpark.ps.yrdsb.ca/	 JK-8	York Region District School Board		http://www.yrdsb.ca/Schools/Pages/School-Profile.aspx?SchoolID=431	Central Park P.S.	Elementary School	L3P 7G2	(905) 940-1444 (647) 795-7619	100 Central Park Dr.
ON	Thornhill	http://carrvillemills.ps.yrdsb.ca	 JK-8	York Region District School Board		http://www.yrdsb.ca/Schools/Pages/School-Profile.aspx?SchoolID=349	Carrville Mills P.S.	Elementary School	L4J 8W5	(905) 709-2646 (647) 795-7709	270 Apple Blossom Drive
ON	Stouffville	http://stouffvilledistrict.ss.yrdsb.ca/	 9-12 (Sem)	York Region District School Board		http://www.yrdsb.ca/Schools/Pages/School-Profile.aspx?SchoolID=210	Stouffville D.S.S.	Secondary School	L4A 0A4	(905) 640-1433 (647) 795-7626	801 Hoover Park Drive
ON	Thornhill	http://westmount.ci.yrdsb.ca/	 9-12 (Sem)	York Region District School Board		http://www.yrdsb.ca/Schools/Pages/School-Profile.aspx?SchoolID=414	Westmount C.I.	Secondary School	L4J 8G3	(905) 882-0277 (647) 795-7702	1000 New Westminster Dr.
ON	Thornhill	http://vaughan.ss.yrdsb.ca/	 9-12(E)9-12(FI)	York Region District School Board		http://www.yrdsb.ca/Schools/Pages/School-Profile.aspx?SchoolID=317	Vaughan S.S.	Secondary School	L4J 7R4	(905) 660-1397 (647) 795-7697	1401 Clark Ave. W.
ON	Unionville	http://unionville.hs.yrdsb.ca/	 9-12 (Sem)	York Region District School Board		http://www.yrdsb.ca/Schools/Pages/School-Profile.aspx?SchoolID=416	Unionville H.S.	Secondary School	L3R 8G5	(905) 479-2787 (647) 795-7616	201 Town Centre Blvd.
ON	Woodbridge	http://tommydouglas.ss.yrdsb.ca/	 9-11	York Region District School Board		http://www.yrdsb.ca/Schools/Pages/School-Profile.aspx?SchoolID=308	Tommy Douglas S.S.	Secondary School	L4H 4E9	(289) 342-0001 (647) 795-7747	4020 Major Mackenzie Drive
ON	Thornhill	http://thornlea.ss.yrdsb.ca/	 9-12 (Sem)	York Region District School Board		http://www.yrdsb.ca/Schools/Pages/School-Profile.aspx?SchoolID=412	Thornlea S.S.	Secondary School	L3T 4N4	(905) 889-9696 (647) 795-7692	8075 Bayview Ave.
ON	Thornhill	http://thornhill.ss.yrdsb.ca	 9-12 (Sem)	York Region District School Board		http://www.yrdsb.ca/Schools/Pages/School-Profile.aspx?SchoolID=408	Thornhill S.S.	Secondary School	L3T 2E5	(905) 889-5453 (647) 795-7595	167 Dudley Ave.
ON	Sutton	http://suttondistrict.hs.yrdsb.ca/	 9-12 (Sem)	York Region District School Board		http://www.yrdsb.ca/Schools/Pages/School-Profile.aspx?SchoolID=113	Sutton D.H.S.	Secondary School	L0E 1R0	(905) 722-3281 (647) 795-7575	20798 Dalton Rd.
ON	Richmond Hill	http://richmondhill.hs.yrdsb.ca/	 9-12 (Sem)	York Region District School Board		http://www.yrdsb.ca/Schools/Pages/School-Profile.aspx?SchoolID=316	Richmond Hill H.S.	Secondary School	L4S 1A2	(905) 884-2131 (647) 795-7682	201 Yorkland St.
ON	Markham	http://trudeau.hs.yrdsb.ca/	 9-12(sem)	York Region District School Board		http://www.yrdsb.ca/Schools/Pages/School-Profile.aspx?SchoolID=403	Pierre Elliott Trudeau H.S.	Secondary School	L6C 2E6	(905) 887-2216 (647) 795-7555	90 Bur Oak Ave.
ON	Markham	http://middlefield.ci.yrdsb.ca/	 9-12 (Sem)	York Region District School Board		http://www.yrdsb.ca/Schools/Pages/School-Profile.aspx?SchoolID=405	Middlefield C.I.	Secondary School	L3S 3L5	(905) 472-8900 (647) 795-7687	525 Highglen Ave.
ON	Newmarket	http://mulock.ss.yrdsb.ca/	 9-12 (Sem)	York Region District School Board		http://www.yrdsb.ca/Schools/Pages/School-Profile.aspx?SchoolID=112	Sir William Mulock S.S.	Secondary School	L3X 2M7	(905) 967-1045 (647) 795-7560	705 Columbus Way
ON	Thornhill	http://stephenlewis.ss.yrdsb.ca/	 9-12 (Sem)	York Region District School Board		http://www.yrdsb.ca/Schools/Pages/School-Profile.aspx?SchoolID=318	Stephen Lewis S.S.	Secondary School	L4J 8X2	(905) 326-7994 (647) 795-7672	555 Autumn Hill Blvd.
ON	Richmond Hill	http://richmondgreen.ss.yrdsb.ca/	 9-12 (Sem)	York Region District School Board		http://www.yrdsb.ca/Schools/Pages/School-Profile.aspx?SchoolID=201	Richmond Green S.S.	Secondary School	L4S 2T9	(905) 780-7858 (647) 795-7662	1 William F. Bell Parkway
